Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,tomislavgrad,3,1174
2023,NUMBER,federation_of_bih,4,154944
2023,NUMBER,una-sana_canton,4,17510
2023,NUMBER,bihac,4,3933
2023,NUMBER,bosanska_krupa,4,1672
2023,NUMBER,bosanski_petrovac,4,453
2023,NUMBER,buzim,4,1044
2023,NUMBER,cazin,4,4036
2023,NUMBER,kljuc,4,1144
2023,NUMBER,sanski_most,4,2706
2023,NUMBER,velika_kladusa,4,2522
2023,NUMBER,posavina_canton,4,2606
2023,NUMBER,domaljevac-samac,4,253
2023,NUMBER,odzak,4,1134
2023,NUMBER,orasje,4,1219
2023,NUMBER,tuzla_canton,4,33863
2023,NUMBER,banovici,4,1948
2023,NUMBER,celic,4,719
2023,NUMBER,doboj-istok,4,807
2023,NUMBER,gracanica,4,3457
2023,NUMBER,gradacac,4,2695
2023,NUMBER,kalesija,4,2687
2023,NUMBER,kladanj,4,1023
2023,NUMBER,lukavac,4,3309
2023,NUMBER,sapna,4,839
2023,NUMBER,srebrenik,4,3052
2023,NUMBER,teocak,4,485
2023,NUMBER,tuzla,4,7999
2023,NUMBER,zivinice,4,4843
2023,NUMBER,zenica-doboj_canton,4,28049
2023,NUMBER,breza,4,1102
2023,NUMBER,doboj-jug,4,337
2023,NUMBER,kakanj,4,3099
2023,NUMBER,maglaj,4,1746
2023,NUMBER,olovo,4,787
2023,NUMBER,tesanj,4,3473
2023,NUMBER,usora,4,461
2023,NUMBER,vares,4,588
2023,NUMBER,visoko,4,3164
2023,NUMBER,zavidovici,4,2920
2023,NUMBER,zenica,4,8336
2023,NUMBER,zepce,4,2036
2023,NUMBER,bosnian-podrinje_canton,4,1719
2023,NUMBER,foca-fbih,4,132
2023,NUMBER,gorazde,4,1529
2023,NUMBER,pale-fbih,4,58
2023,NUMBER,central_bosnia_canton,4,17704
2023,NUMBER,bugojno,4,2159
2023,NUMBER,busovaca,4,1372
2023,NUMBER,dobretici,4,93
2023,NUMBER,donji_vakuf,4,1043
2023,NUMBER,fojnica,4,867
2023,NUMBER,gornji_vakuf-uskoplje,4,1283
2023,NUMBER,jajce,4,1738
2023,NUMBER,kiseljak,4,1547
2023,NUMBER,kresevo,4,382
2023,NUMBER,novi_travnik,4,1661
2023,NUMBER,travnik,4,3594
2023,NUMBER,vitez,4,1965
2023,NUMBER,herzegovina-neretva_canton,4,14116
2023,NUMBER,capljina,4,1540
2023,NUMBER,citluk,4,807
2023,NUMBER,mostar,4,7152
2023,NUMBER,jablanica,4,781
2023,NUMBER,konjic,4,1888
2023,NUMBER,neum,4,263
2023,NUMBER,prozor,4,728
2023,NUMBER,ravno,4,181
2023,NUMBER,stolac,4,776
2023,NUMBER,west_herzegovina_canton,4,4716
2023,NUMBER,grude,4,768
2023,NUMBER,ljubuski,4,1365
2023,NUMBER,posusje,4,986
2023,NUMBER,siroki_brijeg,4,1597
2023,NUMBER,sarajevo_canton,4,30523
