Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
2002,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2130
2002,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,569
2002,Broj,Ukupno,Kanton Sarajevo,Živorođeni,3840
2002,Broj,Ukupno,Kanton 10,Živorođeni,571
2002,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11829
2002,Broj,M,Unsko-sanski kanton,Živorođeni,1650
2002,Broj,M,Posavski kanton,Živorođeni,184
2002,Broj,M,Tuzlanski kanton,Živorođeni,2575
2002,Broj,M,Zeničko-dobojski kanton,Živorođeni,2140
2002,Broj,M,Bosansko-podrinjski kanton,Živorođeni,126
2002,Broj,M,Srednjobosanski kanton,Živorođeni,1491
2002,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1092
2002,Broj,M,Zapadno-hercegovački kanton,Živorođeni,273
2002,Broj,M,Kanton Sarajevo,Živorođeni,2009
2002,Broj,M,Kanton 10,Živorođeni,289
2002,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,11229
2002,Broj,Ž,Unsko-sanski kanton,Živorođeni,1558
2002,Broj,Ž,Posavski kanton,Živorođeni,179
2002,Broj,Ž,Tuzlanski kanton,Živorođeni,2504
2002,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2055
2002,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,104
2002,Broj,Ž,Srednjobosanski kanton,Živorođeni,1382
2002,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1038
2002,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,296
2002,Broj,Ž,Kanton Sarajevo,Živorođeni,1831
2002,Broj,Ž,Kanton 10,Živorođeni,282
2003,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22953
2003,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,3156
2003,Broj,Ukupno,Posavski kanton,Živorođeni,313
2003,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4931
2003,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,4106
2003,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,206
2003,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2871
2003,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2131
2003,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,795
2003,Broj,Ukupno,Kanton Sarajevo,Živorođeni,3881
2003,Broj,Ukupno,Kanton 10,Živorođeni,563
2003,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11961
2003,Broj,M,Unsko-sanski kanton,Živorođeni,1631
2003,Broj,M,Posavski kanton,Živorođeni,157
2003,Broj,M,Tuzlanski kanton,Živorođeni,2527
2003,Broj,M,Zeničko-dobojski kanton,Živorođeni,2124
2003,Broj,M,Bosansko-podrinjski kanton,Živorođeni,106
2003,Broj,M,Srednjobosanski kanton,Živorođeni,1505
2003,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1122
2003,Broj,M,Zapadno-hercegovački kanton,Živorođeni,427
2003,Broj,M,Kanton Sarajevo,Živorođeni,2083
2003,Broj,M,Kanton 10,Živorođeni,279
2003,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10992
2003,Broj,Ž,Unsko-sanski kanton,Živorođeni,1525
2003,Broj,Ž,Posavski kanton,Živorođeni,156
2003,Broj,Ž,Tuzlanski kanton,Živorođeni,2404
2003,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,1982
2003,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,100
2003,Broj,Ž,Srednjobosanski kanton,Živorođeni,1366
2003,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1009
2003,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,368
2003,Broj,Ž,Kanton Sarajevo,Živorođeni,1798
2003,Broj,Ž,Kanton 10,Živorođeni,284
2004,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22098
2004,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,2954
2004,Broj,Ukupno,Posavski kanton,Živorođeni,308
2004,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4683
2004,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,3984
2004,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,204
2004,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2750
2004,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,1983
2004,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,772
2004,Broj,Ukupno,Kanton Sarajevo,Živorođeni,3863
2004,Broj,Ukupno,Kanton 10,Živorođeni,597
2004,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11476
2004,Broj,M,Unsko-sanski kanton,Živorođeni,1550
2004,Broj,M,Posavski kanton,Živorođeni,142
2004,Broj,M,Tuzlanski kanton,Živorođeni,2371
2004,Broj,M,Zeničko-dobojski kanton,Živorođeni,2030
2004,Broj,M,Bosansko-podrinjski kanton,Živorođeni,109
2004,Broj,M,Srednjobosanski kanton,Živorođeni,1452
2004,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,969
2004,Broj,M,Zapadno-hercegovački kanton,Živorođeni,416
2004,Broj,M,Kanton Sarajevo,Živorođeni,2035
2004,Broj,M,Kanton 10,Živorođeni,318
2004,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10774
2004,Broj,Ž,Unsko-sanski kanton,Živorođeni,1404
2004,Broj,Ž,Posavski kanton,Živorođeni,166
2004,Broj,Ž,Tuzlanski kanton,Živorođeni,2312
2004,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,1954
2004,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,95
2004,Broj,Ž,Srednjobosanski kanton,Živorođeni,1298
2004,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1014
2004,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,356
2004,Broj,Ž,Kanton Sarajevo,Živorođeni,1828
2004,Broj,Ž,Kanton 10,Živorođeni,279
2005,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21795
2005,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,2891
2005,Broj,Ukupno,Posavski kanton,Živorođeni,284
2005,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4674
2005,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,3912
2005,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,205
2005,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2668
2005,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,1929
2005,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,667
2005,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4004
2005,Broj,Ukupno,Kanton 10,Živorođeni,561
2005,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11213
2005,Broj,M,Unsko-sanski kanton,Živorođeni,1447
2005,Broj,M,Posavski kanton,Živorođeni,142
2005,Broj,M,Tuzlanski kanton,Živorođeni,2462
2005,Broj,M,Zeničko-dobojski kanton,Živorođeni,1984
2005,Broj,M,Bosansko-podrinjski kanton,Živorođeni,105
2005,Broj,M,Srednjobosanski kanton,Živorođeni,1357
2005,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,993
2005,Broj,M,Zapadno-hercegovački kanton,Živorođeni,360
2005,Broj,M,Kanton Sarajevo,Živorođeni,2066
2005,Broj,M,Kanton 10,Živorođeni,297
2005,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10582
2005,Broj,Ž,Unsko-sanski kanton,Živorođeni,1444
2005,Broj,Ž,Posavski kanton,Živorođeni,142
2005,Broj,Ž,Tuzlanski kanton,Živorođeni,2212
2005,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,1928
2005,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,100
2005,Broj,Ž,Srednjobosanski kanton,Živorođeni,1311
2005,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,936
2005,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,307
2005,Broj,Ž,Kanton Sarajevo,Živorođeni,1938
2005,Broj,Ž,Kanton 10,Živorođeni,264
2006,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21503
2006,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,2790
2006,Broj,Ukupno,Posavski kanton,Živorođeni,265
2006,Broj,Ukupno,Tuzlanski kanton,Živorođeni,4652
2006,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,3842
2006,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,175
2006,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2616
2006,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,1826
2006,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,656
2006,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4131
2006,Broj,Ukupno,Kanton 10,Živorođeni,550
2006,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11150
2006,Broj,M,Unsko-sanski kanton,Živorođeni,1469
2006,Broj,M,Posavski kanton,Živorođeni,140
2006,Broj,M,Tuzlanski kanton,Živorođeni,2414
2006,Broj,M,Zeničko-dobojski kanton,Živorođeni,1976
2006,Broj,M,Bosansko-podrinjski kanton,Živorođeni,97
2006,Broj,M,Srednjobosanski kanton,Živorođeni,1351
2006,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,951
2006,Broj,M,Zapadno-hercegovački kanton,Živorođeni,327
2006,Broj,M,Kanton Sarajevo,Živorođeni,2130
2006,Broj,M,Kanton 10,Živorođeni,295
2006,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10353
2006,Broj,Ž,Unsko-sanski kanton,Živorođeni,1321
2006,Broj,Ž,Posavski kanton,Živorođeni,125
2006,Broj,Ž,Tuzlanski kanton,Živorođeni,2238
2006,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,1866
2006,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,78
2006,Broj,Ž,Srednjobosanski kanton,Živorođeni,1265
2006,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,875
2006,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,329
2006,Broj,Ž,Kanton Sarajevo,Živorođeni,2001
