Year,UNIT_MEASURE,Administrativna oblast,Literacy,Spol,Value
2013,Broj,novi_grad_sarajevo,Nepoznato,Ž,425
2013,Broj,Novi Travnik,Nepoznato,Ž,222
2013,Broj,novo_sarajevo,Nepoznato,Ž,153
2013,Broj,Odžak,Nepoznato,Ž,171
2013,Broj,Olovo,Nepoznato,Ž,101
2013,Broj,Orašje,Nepoznato,Ž,153
2013,Broj,pale-fbih,Nepoznato,Ž,3
2013,Broj,Posušje,Nepoznato,Ž,142
2013,Broj,Prozor,Nepoznato,Ž,194
2013,Broj,Ravno,Nepoznato,Ž,24
2013,Broj,Sanski Most,Nepoznato,Ž,321
2013,Broj,Sapna,Nepoznato,Ž,67
2013,Broj,Srebrenik,Nepoznato,Ž,329
2013,Broj,stari_grad_sarajevo,Nepoznato,Ž,124
2013,Broj,Stolac,Nepoznato,Ž,100
2013,Broj,Široki Brijeg,Nepoznato,Ž,261
2013,Broj,Teočak,Nepoznato,Ž,36
2013,Broj,Tešanj,Nepoznato,Ž,220
2013,Broj,Tomislavgrad,Nepoznato,Ž,222
2013,Broj,Travnik,Nepoznato,Ž,538
2013,Broj,trnovo-fbih,Nepoznato,Ž,4
2013,Broj,Tuzla,Nepoznato,Ž,432
2013,Broj,Usora,Nepoznato,Ž,36
2013,Broj,Vareš,Nepoznato,Ž,53
2013,Broj,Velika Kladuša,Nepoznato,Ž,222
2013,Broj,Visoko,Nepoznato,Ž,155
2013,Broj,Vitez,Nepoznato,Ž,235
2013,Broj,vogosca,Nepoznato,Ž,92
2013,Broj,Zavidovići,Nepoznato,Ž,237
2013,Broj,Zenica,Nepoznato,Ž,438
2013,Broj,Žepče,Nepoznato,Ž,186
2013,Broj,Živinice,Nepoznato,Ž,266
