Year,UNIT_MEASURE,Starosna dob,Value
2019,Broj,49,
2019,Broj,50,
2019,Broj,51,
2019,Broj,52,
2019,Broj,53,
2019,Broj,54,
2019,Broj,55,
2019,Broj,56,
2019,Broj,57,
2019,Broj,58,
2019,Broj,59,
2019,Broj,60,
2019,Broj,61,
2019,Broj,62,
2019,Broj,63,
2019,Broj,64,
2019,Broj,65,
2019,Broj,66,
2019,Broj,67,
2019,Broj,68,
2019,Broj,69,
2019,Broj,70,
2019,Broj,71,
2019,Broj,72,
2019,Broj,73,
2019,Broj,74,
2019,Broj,75,
2019,Broj,76,
2019,Broj,77,
2019,Broj,78,
2019,Broj,79,
2019,Broj,80,
2019,Broj,81,
2019,Broj,82,
2019,Broj,83,
2019,Broj,84,
2019,Broj,85,
2019,Broj,86,
2019,Broj,87,
2019,Broj,88,
2019,Broj,89,
2019,Broj,90,
2019,Broj,91,
2019,Broj,92,
2019,Broj,93,
2019,Broj,94,
2019,Broj,95,
2019,Broj,96,
2019,Broj,97,
2019,Broj,98,
2019,Broj,99,
2019,Broj,100,
2020,Broj,1,
2020,Broj,2,
2020,Broj,3,
2020,Broj,4,
2020,Broj,5,
2020,Broj,6,
2020,Broj,7,
2020,Broj,8,
2020,Broj,9,
2020,Broj,10,
2020,Broj,11,
2020,Broj,12,
2020,Broj,13,
2020,Broj,14,
2020,Broj,15,
2020,Broj,16,
2020,Broj,17,
2020,Broj,18,
2020,Broj,19,
2020,Broj,20,
2020,Broj,21,
2020,Broj,22,
2020,Broj,23,
2020,Broj,24,
2020,Broj,25,
2020,Broj,26,
2020,Broj,27,
2020,Broj,28,
2020,Broj,29,
2020,Broj,30,
2020,Broj,31,
2020,Broj,32,
2020,Broj,33,
2020,Broj,34,
2020,Broj,35,
2020,Broj,36,
2020,Broj,37,
2020,Broj,38,
2020,Broj,39,
2020,Broj,40,
2020,Broj,41,
2020,Broj,42,
2020,Broj,43,
2020,Broj,44,
2020,Broj,45,
2020,Broj,46,
2020,Broj,47,
2020,Broj,48,
2020,Broj,49,
2020,Broj,50,
2020,Broj,51,
2020,Broj,52,
2020,Broj,53,
2020,Broj,54,
2020,Broj,55,
2020,Broj,56,
2020,Broj,57,
2020,Broj,58,
2020,Broj,59,
2020,Broj,60,
2020,Broj,61,
2020,Broj,62,
2020,Broj,63,
2020,Broj,64,
2020,Broj,65,
2020,Broj,66,
2020,Broj,67,
2020,Broj,68,
2020,Broj,69,
2020,Broj,70,
2020,Broj,71,
2020,Broj,72,
2020,Broj,73,
2020,Broj,74,
2020,Broj,75,
2020,Broj,76,
2020,Broj,77,
2020,Broj,78,
2020,Broj,79,
2020,Broj,80,
2020,Broj,81,
2020,Broj,82,
2020,Broj,83,
2020,Broj,84,
2020,Broj,85,
2020,Broj,86,
2020,Broj,87,
2020,Broj,88,
2020,Broj,89,
2020,Broj,90,
2020,Broj,91,
2020,Broj,92,
2020,Broj,93,
2020,Broj,94,
2020,Broj,95,
2020,Broj,96,
2020,Broj,97,
2020,Broj,98,
2020,Broj,99,
2020,Broj,100,
