Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2017,Broj,Kanton 10,Gimnazija,Oba spola,
2017,Broj,Kanton 10,technical_high_schools,Oba spola,
2017,Broj,Kanton 10,vocational_high_schools,Oba spola,
2017,Broj,Kanton 10,Umjetničke škole,Oba spola,
2017,Broj,Kanton 10,religious_schools,Oba spola,
2017,Broj,Kanton 10,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Kanton 10,Gimnazija,Oba spola,
2018,Broj,Kanton 10,technical_high_schools,Oba spola,
2018,Broj,Kanton 10,vocational_high_schools,Oba spola,
2018,Broj,Kanton 10,Umjetničke škole,Oba spola,
2018,Broj,Kanton 10,religious_schools,Oba spola,
2018,Broj,Kanton 10,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Kanton 10,Gimnazija,Oba spola,
2019,Broj,Kanton 10,technical_high_schools,Oba spola,
2019,Broj,Kanton 10,vocational_high_schools,Oba spola,
2019,Broj,Kanton 10,Umjetničke škole,Oba spola,
2019,Broj,Kanton 10,religious_schools,Oba spola,
2019,Broj,Kanton 10,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Kanton 10,Gimnazija,Oba spola,
2020,Broj,Kanton 10,technical_high_schools,Oba spola,
2020,Broj,Kanton 10,vocational_high_schools,Oba spola,
2020,Broj,Kanton 10,Umjetničke škole,Oba spola,
2020,Broj,Kanton 10,religious_schools,Oba spola,
2020,Broj,Kanton 10,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2016,Broj,Federacija Bosne i Hercegovine,technical_high_schools,M,
2016,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,M,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2016,Broj,Federacija Bosne i Hercegovine,religious_schools,M,
2016,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,M,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2017,Broj,Federacija Bosne i Hercegovine,technical_high_schools,M,
2017,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,M,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2017,Broj,Federacija Bosne i Hercegovine,religious_schools,M,
2017,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,M,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2018,Broj,Federacija Bosne i Hercegovine,technical_high_schools,M,
2018,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,M,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2018,Broj,Federacija Bosne i Hercegovine,religious_schools,M,
2018,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,M,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2019,Broj,Federacija Bosne i Hercegovine,technical_high_schools,M,
2019,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,M,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2019,Broj,Federacija Bosne i Hercegovine,religious_schools,M,
2019,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,M,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2020,Broj,Federacija Bosne i Hercegovine,technical_high_schools,M,
2020,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,M,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2020,Broj,Federacija Bosne i Hercegovine,religious_schools,M,
2020,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,M,
2016,Broj,Unsko-sanski kanton,Gimnazija,M,
2016,Broj,Unsko-sanski kanton,technical_high_schools,M,
2016,Broj,Unsko-sanski kanton,vocational_high_schools,M,
2016,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2016,Broj,Unsko-sanski kanton,religious_schools,M,
2016,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,M,
2017,Broj,Unsko-sanski kanton,Gimnazija,M,
2017,Broj,Unsko-sanski kanton,technical_high_schools,M,
2017,Broj,Unsko-sanski kanton,vocational_high_schools,M,
2017,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2017,Broj,Unsko-sanski kanton,religious_schools,M,
2017,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,M,
2018,Broj,Unsko-sanski kanton,Gimnazija,M,
2018,Broj,Unsko-sanski kanton,technical_high_schools,M,
2018,Broj,Unsko-sanski kanton,vocational_high_schools,M,
2018,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2018,Broj,Unsko-sanski kanton,religious_schools,M,
2018,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,M,
2019,Broj,Unsko-sanski kanton,Gimnazija,M,
2019,Broj,Unsko-sanski kanton,technical_high_schools,M,
2019,Broj,Unsko-sanski kanton,vocational_high_schools,M,
2019,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2019,Broj,Unsko-sanski kanton,religious_schools,M,
2019,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,M,
2020,Broj,Unsko-sanski kanton,Gimnazija,M,
2020,Broj,Unsko-sanski kanton,technical_high_schools,M,
2020,Broj,Unsko-sanski kanton,vocational_high_schools,M,
2020,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2020,Broj,Unsko-sanski kanton,religious_schools,M,
2020,Broj,Unsko-sanski kanton,high_schools_for_students_with_disabilities,M,
2016,Broj,Posavski kanton,Gimnazija,M,
2016,Broj,Posavski kanton,technical_high_schools,M,
2016,Broj,Posavski kanton,vocational_high_schools,M,
