Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2022,Broj,Bosansko-podrinjski kanton,Stručne škole,103
2023,Broj,Bosansko-podrinjski kanton,Gimnazija,106
2023,Broj,Bosansko-podrinjski kanton,Tehničke škole,486
2023,Broj,Bosansko-podrinjski kanton,Stručne škole,93
2016,Broj,Srednjobosanski kanton,Gimnazija,2287
2016,Broj,Srednjobosanski kanton,Tehničke škole,5589
2016,Broj,Srednjobosanski kanton,Stručne škole,2265
2016,Broj,Srednjobosanski kanton,Umjetničke škole,91
2016,Broj,Srednjobosanski kanton,Vjerske škole,378
2017,Broj,Srednjobosanski kanton,Gimnazija,2021
2017,Broj,Srednjobosanski kanton,Tehničke škole,5389
2017,Broj,Srednjobosanski kanton,Stručne škole,2156
2017,Broj,Srednjobosanski kanton,Umjetničke škole,91
2017,Broj,Srednjobosanski kanton,Vjerske škole,430
2018,Broj,Srednjobosanski kanton,Gimnazija,1614
2018,Broj,Srednjobosanski kanton,Tehničke škole,4590
2018,Broj,Srednjobosanski kanton,Stručne škole,1606
2018,Broj,Srednjobosanski kanton,Umjetničke škole,83
2018,Broj,Srednjobosanski kanton,Vjerske škole,427
2019,Broj,Srednjobosanski kanton,Gimnazija,1416
2019,Broj,Srednjobosanski kanton,Tehničke škole,4549
2019,Broj,Srednjobosanski kanton,Stručne škole,1403
2019,Broj,Srednjobosanski kanton,Umjetničke škole,73
2019,Broj,Srednjobosanski kanton,Vjerske škole,437
2020,Broj,Srednjobosanski kanton,Gimnazija,1254
2020,Broj,Srednjobosanski kanton,Tehničke škole,4716
2020,Broj,Srednjobosanski kanton,Stručne škole,1382
2020,Broj,Srednjobosanski kanton,Umjetničke škole,70
2020,Broj,Srednjobosanski kanton,Vjerske škole,447
2021,Broj,Srednjobosanski kanton,Gimnazija,1098
2021,Broj,Srednjobosanski kanton,Tehničke škole,4818
2021,Broj,Srednjobosanski kanton,Stručne škole,1677
2021,Broj,Srednjobosanski kanton,Umjetničke škole,74
2021,Broj,Srednjobosanski kanton,Vjerske škole,430
2022,Broj,Srednjobosanski kanton,Gimnazija,1174
2022,Broj,Srednjobosanski kanton,Tehničke škole,5678
2022,Broj,Srednjobosanski kanton,Stručne škole,1496
2022,Broj,Srednjobosanski kanton,Umjetničke škole,84
2022,Broj,Srednjobosanski kanton,Vjerske škole,435
2023,Broj,Srednjobosanski kanton,Gimnazija,1164
2023,Broj,Srednjobosanski kanton,Tehničke škole,5552
2023,Broj,Srednjobosanski kanton,Stručne škole,1522
2023,Broj,Srednjobosanski kanton,Umjetničke škole,73
2023,Broj,Srednjobosanski kanton,Vjerske škole,438
2016,Broj,Hercegovačko-neretvanski kanton,Gimnazija,2616
2016,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,4329
2016,Broj,Hercegovačko-neretvanski kanton,Stručne škole,1210
2016,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,154
2016,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,260
2016,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,45
2017,Broj,Hercegovačko-neretvanski kanton,Gimnazija,2425
2017,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,4035
2017,Broj,Hercegovačko-neretvanski kanton,Stručne škole,1216
2017,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,108
2017,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,265
2017,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,40
2018,Broj,Hercegovačko-neretvanski kanton,Gimnazija,2167
2018,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,3875
2018,Broj,Hercegovačko-neretvanski kanton,Stručne škole,1129
2018,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,150
2018,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,264
2018,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,29
2019,Broj,Hercegovačko-neretvanski kanton,Gimnazija,1908
2019,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,3968
2019,Broj,Hercegovačko-neretvanski kanton,Stručne škole,1026
2019,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,145
2019,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,248
2019,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,33
2020,Broj,Hercegovačko-neretvanski kanton,Gimnazija,1844
2020,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,3848
2020,Broj,Hercegovačko-neretvanski kanton,Stručne škole,942
2020,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,151
2020,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,238
2020,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,32
2021,Broj,Hercegovačko-neretvanski kanton,Gimnazija,1798
2021,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,3991
2021,Broj,Hercegovačko-neretvanski kanton,Stručne škole,932
2021,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,142
2021,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,227
2021,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,31
2022,Broj,Hercegovačko-neretvanski kanton,Gimnazija,1777
2022,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,4185
2022,Broj,Hercegovačko-neretvanski kanton,Stručne škole,934
2022,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,143
2022,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,233
2022,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,12
2023,Broj,Hercegovačko-neretvanski kanton,Gimnazija,1511
2023,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,4614
2023,Broj,Hercegovačko-neretvanski kanton,Stručne škole,693
