Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2023,Број,Херцеговачко-неретвански кантон,4,14116
2023,Број,Чапљина,4,1540
2023,Број,Читлук,4,807
2023,Број,Мостар,4,7152
2023,Број,Јабланица,4,781
2023,Број,Коњиц,4,1888
2023,Број,Неум,4,263
2023,Број,Прозор,4,728
2023,Број,Равно,4,181
2023,Број,Столац,4,776
2023,Број,Западнохерцеговчки кантон,4,4716
2023,Број,Груде,4,768
2023,Број,Љубушки,4,1365
2023,Број,Посушје,4,986
2023,Број,Широки Бријег,4,1597
2023,Број,Кантон Сарајево,4,30523
2023,Број,Сарајево-Центар,4,3832
2023,Број,Сарајево-Хаџићи,4,1873
2023,Број,Сарајево-Илиџа,4,5079
2023,Број,Сарајево-Илијаш,4,1476
2023,Број,Сарајево-Нови Град,4,8817
2023,Број,Сарајево-Ново Сарајево,4,4557
2023,Број,Сарајево-Стари Град,4,2674
2023,Број,Трново-ФБиХ,4,63
2023,Број,Сарајево-Вогошћа,4,2152
2023,Број,Кантон 10,4,4138
2023,Број,Босанско Грахово,4,100
2023,Број,Дрвар,4,390
2023,Број,Гламоч,4,172
2023,Број,kupres,4,275
2023,Број,Ливно,4,1740
2023,Број,Томиславград,4,1461
2023,Број,Федерација Босне и Херцеговине,5,67486
2023,Број,Унско-сански кантон,5,9711
2023,Број,Бихаћ,5,1737
2023,Број,Босанска Крупа,5,911
2023,Број,Босански Петровац,5,185
2023,Број,Бужим,5,800
2023,Број,Цазин,5,2592
2023,Број,Кључ,5,586
2023,Број,Сански Мост,5,1405
2023,Број,Велика Кладуша,5,1495
2023,Број,Посавски кантон,5,1588
2023,Број,Домаљевац-Шамац,5,216
2023,Број,Оџак,5,644
2023,Број,Орашје,5,728
2023,Број,Тузлански кантон,5,11199
2023,Број,Бановићи,5,510
2023,Број,Челић,5,376
2023,Број,Добој-Исток,5,278
2023,Број,Грачаница,5,1143
2023,Број,Градачац,5,1367
2023,Број,Калесија,5,1166
2023,Број,Кладањ,5,434
2023,Број,Лукавац,5,753
2023,Број,Сапна,5,413
2023,Број,Сребреник,5,1047
2023,Број,Теочак,5,327
2023,Број,Тузла,5,1782
2023,Број,Живинице,5,1603
2023,Број,Зеничко-добојски кантон,5,10450
2023,Број,Бреза,5,329
2023,Број,Добој-Југ,5,145
2023,Број,Какањ,5,1112
2023,Број,Маглај,5,601
2023,Број,Олово,5,294
2023,Број,Тешањ,5,1440
2023,Број,Усора,5,258
2023,Број,Вареш,5,173
2023,Број,Високо,5,1238
2023,Број,Завидовићи,5,955
2023,Број,Зеница,5,2672
2023,Број,Жепче,5,1233
2023,Број,Босанско-подрињски кантон,5,565
2023,Број,Фоча-ФБиХ,5,43
2023,Број,Горажде,5,499
2023,Број,Пале-ФБиХ,5,23
2023,Број,Средњобосански кантон,5,9194
2023,Број,Бугојно,5,1132
2023,Број,Бусовача,5,651
2023,Број,Добретићи,5,57
2023,Број,Доњи Вакуф,5,527
2023,Број,Фојница,5,380
2023,Број,Горњи Вакуф-Ускопље,5,863
2023,Број,Јајце,5,1004
2023,Број,Кисељак,5,669
2023,Број,Крешево,5,182
2023,Број,Нови Травник,5,878
2023,Број,Травник,5,1869
2023,Број,Витез,5,982
2023,Број,Херцеговачко-неретвански кантон,5,7861
2023,Број,Чапљина,5,978
2023,Број,Читлук,5,747
2023,Број,Мостар,5,3595
2023,Број,Јабланица,5,340
2023,Број,Коњиц,5,803
2023,Број,Неум,5,185
2023,Број,Прозор,5,546
2023,Број,Равно,5,123
2023,Број,Столац,5,544
2023,Број,Западнохерцеговчки кантон,5,3764
2023,Број,Груде,5,663
2023,Број,Љубушки,5,1081
2023,Број,Посушје,5,860
2023,Број,Широки Бријег,5,1160
2023,Број,Кантон Сарајево,5,9905
2023,Број,Сарајево-Центар,5,1042
2023,Број,Сарајево-Хаџићи,5,735
2023,Број,Сарајево-Илиџа,5,1845
2023,Број,Сарајево-Илијаш,5,616
2023,Број,Сарајево-Нови Град,5,2831
2023,Број,Сарајево-Ново Сарајево,5,1204
2023,Број,Сарајево-Стари Град,5,875
2023,Број,Трново-ФБиХ,5,33
2023,Број,Сарајево-Вогошћа,5,724
2023,Број,Кантон 10,5,3249
2023,Број,Босанско Грахово,5,44
2023,Број,Дрвар,5,143
2023,Број,Гламоч,5,123
2023,Број,kupres,5,227
2023,Број,Ливно,5,1297
2023,Број,Томиславград,5,1415
2023,Број,Федерација Босне и Херцеговине,6,30205
2023,Број,Унско-сански кантон,6,5226
2023,Број,Бихаћ,6,785
2023,Број,Босанска Крупа,6,468
2023,Број,Босански Петровац,6,86
2023,Број,Бужим,6,523
2023,Број,Цазин,6,1509
2023,Број,Кључ,6,268
2023,Број,Сански Мост,6,767
2023,Број,Велика Кладуша,6,820
2023,Број,Посавски кантон,6,803
2023,Број,Домаљевац-Шамац,6,120
2023,Број,Оџак,6,332
2023,Број,Орашје,6,351
2023,Број,Тузлански кантон,6,4894
2023,Број,Бановићи,6,188
2023,Број,Челић,6,180
2023,Број,Добој-Исток,6,126
2023,Број,Грачаница,6,563
2023,Број,Градачац,6,815
2023,Број,Калесија,6,537
2023,Број,Кладањ,6,157
2023,Број,Лукавац,6,185
2023,Број,Сапна,6,244
2023,Број,Сребреник,6,455
2023,Број,Теочак,6,178
2023,Број,Тузла,6,574
2023,Број,Живинице,6,692
2023,Број,Зеничко-добојски кантон,6,3802
2023,Број,Бреза,6,99
2023,Број,Добој-Југ,6,36
2023,Број,Какањ,6,413
2023,Број,Маглај,6,304
2023,Број,Олово,6,84
2023,Број,Тешањ,6,576
2023,Број,Усора,6,105
2023,Број,Вареш,6,54
2023,Број,Високо,6,449
2023,Број,Завидовићи,6,318
2023,Број,Зеница,6,868
2023,Број,Жепче,6,496
2023,Број,Босанско-подрињски кантон,6,206
2023,Број,Фоча-ФБиХ,6,16
2023,Број,Горажде,6,177
2023,Број,Пале-ФБиХ,6,13
2023,Број,Средњобосански кантон,6,4056
2023,Број,Бугојно,6,519
2023,Број,Бусовача,6,231
2023,Број,Добретићи,6,30
2023,Број,Доњи Вакуф,6,251
2023,Број,Фојница,6,117
2023,Број,Горњи Вакуф-Ускопље,6,484
2023,Број,Јајце,6,471
2023,Број,Кисељак,6,281
2023,Број,Крешево,6,64
2023,Број,Нови Травник,6,382
2023,Број,Травник,6,890
