Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
2016,Number,M,Una-Sana Canton,Deaths,1074
2016,Number,M,Posavina Canton,Deaths,261
2016,Number,M,Tuzla Canton,Deaths,2029
2016,Number,M,Zenica-Doboj Canton,Deaths,1807
2016,Number,M,Bosnian-Podrinje Canton,Deaths,171
2016,Number,M,Central Bosnia Canton,Deaths,1223
2016,Number,M,Herzegovina-Neretva Canton,Deaths,1069
2016,Number,M,West Herzegovina Canton,Deaths,433
2016,Number,M,Sarajevo Canton,Deaths,2042
2016,Number,M,Canton 10,Deaths,429
2016,Number,F,Federation of Bosnia and Herzegovina,Deaths,10567
2016,Number,F,Una-Sana Canton,Deaths,1116
2016,Number,F,Posavina Canton,Deaths,241
2016,Number,F,Tuzla Canton,Deaths,2024
2016,Number,F,Zenica-Doboj Canton,Deaths,1637
2016,Number,F,Bosnian-Podrinje Canton,Deaths,147
2016,Number,F,Central Bosnia Canton,Deaths,1119
2016,Number,F,Herzegovina-Neretva Canton,Deaths,1153
2016,Number,F,West Herzegovina Canton,Deaths,454
2016,Number,F,Sarajevo Canton,Deaths,2253
2016,Number,F,Canton 10,Deaths,423
2017,Number,Total,Federation of Bosnia and Herzegovina,Deaths,21689
2017,Number,Total,Una-Sana Canton,Deaths,2205
2017,Number,Total,Posavina Canton,Deaths,434
2017,Number,Total,Tuzla Canton,Deaths,4350
2017,Number,Total,Zenica-Doboj Canton,Deaths,3537
2017,Number,Total,Bosnian-Podrinje Canton,Deaths,282
2017,Number,Total,Central Bosnia Canton,Deaths,2406
2017,Number,Total,Herzegovina-Neretva Canton,Deaths,2339
2017,Number,Total,West Herzegovina Canton,Deaths,892
2017,Number,Total,Sarajevo Canton,Deaths,4400
2017,Number,Total,Canton 10,Deaths,844
2017,Number,M,Federation of Bosnia and Herzegovina,Deaths,10979
2017,Number,M,Una-Sana Canton,Deaths,1060
2017,Number,M,Posavina Canton,Deaths,223
2017,Number,M,Tuzla Canton,Deaths,2256
2017,Number,M,Zenica-Doboj Canton,Deaths,1812
2017,Number,M,Bosnian-Podrinje Canton,Deaths,145
2017,Number,M,Central Bosnia Canton,Deaths,1252
2017,Number,M,Herzegovina-Neretva Canton,Deaths,1214
2017,Number,M,West Herzegovina Canton,Deaths,433
2017,Number,M,Sarajevo Canton,Deaths,2161
2017,Number,M,Canton 10,Deaths,423
2017,Number,F,Federation of Bosnia and Herzegovina,Deaths,10710
2017,Number,F,Una-Sana Canton,Deaths,1145
2017,Number,F,Posavina Canton,Deaths,211
2017,Number,F,Tuzla Canton,Deaths,2094
2017,Number,F,Zenica-Doboj Canton,Deaths,1725
2017,Number,F,Bosnian-Podrinje Canton,Deaths,137
2017,Number,F,Central Bosnia Canton,Deaths,1154
2017,Number,F,Herzegovina-Neretva Canton,Deaths,1125
2017,Number,F,West Herzegovina Canton,Deaths,459
2017,Number,F,Sarajevo Canton,Deaths,2239
2017,Number,F,Canton 10,Deaths,421
2018,Number,Total,Federation of Bosnia and Herzegovina,Deaths,21442
2018,Number,Total,Una-Sana Canton,Deaths,2260
2018,Number,Total,Posavina Canton,Deaths,496
2018,Number,Total,Tuzla Canton,Deaths,4233
2018,Number,Total,Zenica-Doboj Canton,Deaths,3421
2018,Number,Total,Bosnian-Podrinje Canton,Deaths,276
2018,Number,Total,Central Bosnia Canton,Deaths,2416
2018,Number,Total,Herzegovina-Neretva Canton,Deaths,2234
2018,Number,Total,West Herzegovina Canton,Deaths,857
2018,Number,Total,Sarajevo Canton,Deaths,4437
2018,Number,Total,Canton 10,Deaths,812
2018,Number,M,Federation of Bosnia and Herzegovina,Deaths,10756
2018,Number,M,Una-Sana Canton,Deaths,1162
2018,Number,M,Posavina Canton,Deaths,265
2018,Number,M,Tuzla Canton,Deaths,2150
2018,Number,M,Zenica-Doboj Canton,Deaths,1730
2018,Number,M,Bosnian-Podrinje Canton,Deaths,130
2018,Number,M,Central Bosnia Canton,Deaths,1207
2018,Number,M,Herzegovina-Neretva Canton,Deaths,1112
2018,Number,M,West Herzegovina Canton,Deaths,391
2018,Number,M,Sarajevo Canton,Deaths,2184
2018,Number,M,Canton 10,Deaths,425
2018,Number,F,Federation of Bosnia and Herzegovina,Deaths,10686
2018,Number,F,Una-Sana Canton,Deaths,1098
2018,Number,F,Posavina Canton,Deaths,231
2018,Number,F,Tuzla Canton,Deaths,2083
2018,Number,F,Zenica-Doboj Canton,Deaths,1691
2018,Number,F,Bosnian-Podrinje Canton,Deaths,146
2018,Number,F,Central Bosnia Canton,Deaths,1209
2018,Number,F,Herzegovina-Neretva Canton,Deaths,1122
2018,Number,F,West Herzegovina Canton,Deaths,466
2018,Number,F,Sarajevo Canton,Deaths,2253
2018,Number,F,Canton 10,Deaths,387
2019,Number,Total,Federation of Bosnia and Herzegovina,Deaths,22024
2019,Number,Total,Una-Sana Canton,Deaths,2328
2019,Number,Total,Posavina Canton,Deaths,485
2019,Number,Total,Tuzla Canton,Deaths,4339
2019,Number,Total,Zenica-Doboj Canton,Deaths,3640
2019,Number,Total,Bosnian-Podrinje Canton,Deaths,322
2019,Number,Total,Central Bosnia Canton,Deaths,2470
2019,Number,Total,Herzegovina-Neretva Canton,Deaths,2276
2019,Number,Total,West Herzegovina Canton,Deaths,875
2019,Number,Total,Sarajevo Canton,Deaths,4425
2019,Number,Total,Canton 10,Deaths,864
2019,Number,M,Federation of Bosnia and Herzegovina,Deaths,11140
2019,Number,M,Una-Sana Canton,Deaths,1190
2019,Number,M,Posavina Canton,Deaths,253
2019,Number,M,Tuzla Canton,Deaths,2209
2019,Number,M,Zenica-Doboj Canton,Deaths,1877
2019,Number,M,Bosnian-Podrinje Canton,Deaths,157
2019,Number,M,Central Bosnia Canton,Deaths,1217
2019,Number,M,Herzegovina-Neretva Canton,Deaths,1136
2019,Number,M,West Herzegovina Canton,Deaths,439
2019,Number,M,Sarajevo Canton,Deaths,2232
2019,Number,M,Canton 10,Deaths,430
2019,Number,F,Federation of Bosnia and Herzegovina,Deaths,10884
2019,Number,F,Una-Sana Canton,Deaths,1138
2019,Number,F,Posavina Canton,Deaths,232
2019,Number,F,Tuzla Canton,Deaths,2130
2019,Number,F,Zenica-Doboj Canton,Deaths,1763
2019,Number,F,Bosnian-Podrinje Canton,Deaths,165
2019,Number,F,Central Bosnia Canton,Deaths,1253
2019,Number,F,Herzegovina-Neretva Canton,Deaths,1140
2019,Number,F,West Herzegovina Canton,Deaths,436
2019,Number,F,Sarajevo Canton,Deaths,2193
2019,Number,F,Canton 10,Deaths,434
2020,Number,Total,Federation of Bosnia and Herzegovina,Deaths,26026
2020,Number,Total,Una-Sana Canton,Deaths,2677
2020,Number,Total,Posavina Canton,Deaths,572
2020,Number,Total,Tuzla Canton,Deaths,5259
2020,Number,Total,Zenica-Doboj Canton,Deaths,4571
2020,Number,Total,Bosnian-Podrinje Canton,Deaths,357
2020,Number,Total,Central Bosnia Canton,Deaths,2868
2020,Number,Total,Herzegovina-Neretva Canton,Deaths,2471
2020,Number,Total,West Herzegovina Canton,Deaths,1064
2020,Number,Total,Sarajevo Canton,Deaths,5254
2020,Number,Total,Canton 10,Deaths,933
2020,Number,M,Federation of Bosnia and Herzegovina,Deaths,13525
2020,Number,M,Una-Sana Canton,Deaths,1382
2020,Number,M,Posavina Canton,Deaths,284
2020,Number,M,Tuzla Canton,Deaths,2691
2020,Number,M,Zenica-Doboj Canton,Deaths,2431
2020,Number,M,Bosnian-Podrinje Canton,Deaths,196
2020,Number,M,Central Bosnia Canton,Deaths,1539
2020,Number,M,Herzegovina-Neretva Canton,Deaths,1271
2020,Number,M,West Herzegovina Canton,Deaths,552
2020,Number,M,Sarajevo Canton,Deaths,2704
2020,Number,M,Canton 10,Deaths,475
2020,Number,F,Federation of Bosnia and Herzegovina,Deaths,12501
2020,Number,F,Una-Sana Canton,Deaths,1295
2020,Number,F,Posavina Canton,Deaths,288
2020,Number,F,Tuzla Canton,Deaths,2568
2020,Number,F,Zenica-Doboj Canton,Deaths,2140
2020,Number,F,Bosnian-Podrinje Canton,Deaths,161
2020,Number,F,Central Bosnia Canton,Deaths,1329
2020,Number,F,Herzegovina-Neretva Canton,Deaths,1200
2020,Number,F,West Herzegovina Canton,Deaths,512
2020,Number,F,Sarajevo Canton,Deaths,2550
2020,Number,F,Canton 10,Deaths,458
2021,Number,Total,Federation of Bosnia and Herzegovina,Deaths,29086
2021,Number,Total,Una-Sana Canton,Deaths,2806
2021,Number,Total,Posavina Canton,Deaths,587
2021,Number,Total,Tuzla Canton,Deaths,5769
2021,Number,Total,Zenica-Doboj Canton,Deaths,4986
2021,Number,Total,Bosnian-Podrinje Canton,Deaths,388
2021,Number,Total,Central Bosnia Canton,Deaths,3048
2021,Number,Total,Herzegovina-Neretva Canton,Deaths,2995
2021,Number,Total,West Herzegovina Canton,Deaths,1208
2021,Number,Total,Sarajevo Canton,Deaths,6241
2021,Number,Total,Canton 10,Deaths,1058
2021,Number,M,Federation of Bosnia and Herzegovina,Deaths,14853
2021,Number,M,Una-Sana Canton,Deaths,1393
2021,Number,M,Posavina Canton,Deaths,290
2021,Number,M,Tuzla Canton,Deaths,2921
2021,Number,M,Zenica-Doboj Canton,Deaths,2625
2021,Number,M,Bosnian-Podrinje Canton,Deaths,191
2021,Number,M,Central Bosnia Canton,Deaths,1594
2021,Number,M,Herzegovina-Neretva Canton,Deaths,1553
2021,Number,M,West Herzegovina Canton,Deaths,623
2021,Number,M,Sarajevo Canton,Deaths,3122
2021,Number,M,Canton 10,Deaths,541
2021,Number,F,Federation of Bosnia and Herzegovina,Deaths,14233
2021,Number,F,Una-Sana Canton,Deaths,1413
2021,Number,F,Posavina Canton,Deaths,297
2021,Number,F,Tuzla Canton,Deaths,2848
2021,Number,F,Zenica-Doboj Canton,Deaths,2361
2021,Number,F,Bosnian-Podrinje Canton,Deaths,197
2021,Number,F,Central Bosnia Canton,Deaths,1454
2021,Number,F,Herzegovina-Neretva Canton,Deaths,1442
2021,Number,F,West Herzegovina Canton,Deaths,585
2021,Number,F,Sarajevo Canton,Deaths,3119
2021,Number,F,Canton 10,Deaths,517
2022,Number,Total,Federation of Bosnia and Herzegovina,Deaths,23187
2022,Number,Total,Una-Sana Canton,Deaths,2270
2022,Number,Total,Posavina Canton,Deaths,464
2022,Number,Total,Tuzla Canton,Deaths,4657
2022,Number,Total,Zenica-Doboj Canton,Deaths,3729
2022,Number,Total,Bosnian-Podrinje Canton,Deaths,339
2022,Number,Total,Central Bosnia Canton,Deaths,2604
2022,Number,Total,Herzegovina-Neretva Canton,Deaths,2409
2022,Number,Total,West Herzegovina Canton,Deaths,1033
2022,Number,Total,Sarajevo Canton,Deaths,4839
2022,Number,Total,Canton 10,Deaths,843
2022,Number,M,Federation of Bosnia and Herzegovina,Deaths,11711
2022,Number,M,Una-Sana Canton,Deaths,1089
2022,Number,M,Posavina Canton,Deaths,231
2022,Number,M,Tuzla Canton,Deaths,2390
2022,Number,M,Zenica-Doboj Canton,Deaths,1885
2022,Number,M,Bosnian-Podrinje Canton,Deaths,170
2022,Number,M,Central Bosnia Canton,Deaths,1352
2022,Number,M,Herzegovina-Neretva Canton,Deaths,1216
2022,Number,M,West Herzegovina Canton,Deaths,536
2022,Number,M,Sarajevo Canton,Deaths,2411
2022,Number,M,Canton 10,Deaths,431
2022,Number,F,Federation of Bosnia and Herzegovina,Deaths,11476
2022,Number,F,Una-Sana Canton,Deaths,1181
2022,Number,F,Posavina Canton,Deaths,233
2022,Number,F,Tuzla Canton,Deaths,2267
2022,Number,F,Zenica-Doboj Canton,Deaths,1844
2022,Number,F,Bosnian-Podrinje Canton,Deaths,169
2022,Number,F,Central Bosnia Canton,Deaths,1252
2022,Number,F,Herzegovina-Neretva Canton,Deaths,1193
2022,Number,F,West Herzegovina Canton,Deaths,497
2022,Number,F,Sarajevo Canton,Deaths,2428
2022,Number,F,Canton 10,Deaths,412
1996,Number,Total,Federation of Bosnia and Herzegovina,natural_change,18861
1996,Number,Total,Una-Sana Canton,natural_change,2983
1996,Number,Total,Posavina Canton,natural_change,-87
1996,Number,Total,Tuzla Canton,natural_change,4474
1996,Number,Total,Zenica-Doboj Canton,natural_change,4750
1996,Number,Total,Bosnian-Podrinje Canton,natural_change,285
1996,Number,Total,Central Bosnia Canton,natural_change,2746
1996,Number,Total,Herzegovina-Neretva Canton,natural_change,1487
1996,Number,Total,West Herzegovina Canton,natural_change,276
1996,Number,Total,Sarajevo Canton,natural_change,1616
1996,Number,Total,Canton 10,natural_change,331
1997,Number,Total,Federation of Bosnia and Herzegovina,natural_change,17394
1997,Number,Total,Una-Sana Canton,natural_change,3768
1997,Number,Total,Posavina Canton,natural_change,-126
1997,Number,Total,Tuzla Canton,natural_change,3339
1997,Number,Total,Zenica-Doboj Canton,natural_change,3740
1997,Number,Total,Bosnian-Podrinje Canton,natural_change,250
1997,Number,Total,Central Bosnia Canton,natural_change,2348
1997,Number,Total,Herzegovina-Neretva Canton,natural_change,1045
1997,Number,Total,West Herzegovina Canton,natural_change,354
1997,Number,Total,Sarajevo Canton,natural_change,2300
1997,Number,Total,Canton 10,natural_change,376
1998,Number,Total,Federation of Bosnia and Herzegovina,natural_change,14863
1998,Number,Total,Una-Sana Canton,natural_change,3161
1998,Number,Total,Posavina Canton,natural_change,-97
1998,Number,Total,Tuzla Canton,natural_change,3311
1998,Number,Total,Zenica-Doboj Canton,natural_change,3030
1998,Number,Total,Bosnian-Podrinje Canton,natural_change,155
1998,Number,Total,Central Bosnia Canton,natural_change,1949
1998,Number,Total,Herzegovina-Neretva Canton,natural_change,877
1998,Number,Total,West Herzegovina Canton,natural_change,250
1998,Number,Total,Sarajevo Canton,natural_change,2005
1998,Number,Total,Canton 10,natural_change,222
1999,Number,Total,Federation of Bosnia and Herzegovina,natural_change,12028
1999,Number,Total,Una-Sana Canton,natural_change,2726
1999,Number,Total,Posavina Canton,natural_change,71
1999,Number,Total,Tuzla Canton,natural_change,3015
1999,Number,Total,Zenica-Doboj Canton,natural_change,2037
1999,Number,Total,Bosnian-Podrinje Canton,natural_change,119
1999,Number,Total,Central Bosnia Canton,natural_change,1642
1999,Number,Total,Herzegovina-Neretva Canton,natural_change,433
1999,Number,Total,West Herzegovina Canton,natural_change,50
1999,Number,Total,Sarajevo Canton,natural_change,1692
1999,Number,Total,Canton 10,natural_change,243
2000,Number,Total,Federation of Bosnia and Herzegovina,natural_change,8270
2000,Number,Total,Una-Sana Canton,natural_change,1717
2000,Number,Total,Posavina Canton,natural_change,29
2000,Number,Total,Tuzla Canton,natural_change,2489
2000,Number,Total,Zenica-Doboj Canton,natural_change,1400
2000,Number,Total,Bosnian-Podrinje Canton,natural_change,36
2000,Number,Total,Central Bosnia Canton,natural_change,1272
2000,Number,Total,Herzegovina-Neretva Canton,natural_change,421
2000,Number,Total,West Herzegovina Canton,natural_change,-4
2000,Number,Total,Sarajevo Canton,natural_change,832
2000,Number,Total,Canton 10,natural_change,78
2001,Number,Total,Federation of Bosnia and Herzegovina,natural_change,7125
2001,Number,Total,Una-Sana Canton,natural_change,1556
2001,Number,Total,Posavina Canton,natural_change,-24
2001,Number,Total,Tuzla Canton,natural_change,2312
2001,Number,Total,Zenica-Doboj Canton,natural_change,1405
2001,Number,Total,Bosnian-Podrinje Canton,natural_change,64
2001,Number,Total,Central Bosnia Canton,natural_change,1079
2001,Number,Total,Herzegovina-Neretva Canton,natural_change,343
2001,Number,Total,West Herzegovina Canton,natural_change,-24
2001,Number,Total,Sarajevo Canton,natural_change,438
2001,Number,Total,Canton 10,natural_change,-24
2002,Number,Total,Federation of Bosnia and Herzegovina,natural_change,6070
2002,Number,Total,Una-Sana Canton,natural_change,1199
2002,Number,Total,Posavina Canton,natural_change,-53
2002,Number,Total,Tuzla Canton,natural_change,2017
2002,Number,Total,Zenica-Doboj Canton,natural_change,1190
2002,Number,Total,Bosnian-Podrinje Canton,natural_change,-6
2002,Number,Total,Central Bosnia Canton,natural_change,906
2002,Number,Total,Herzegovina-Neretva Canton,natural_change,477
2002,Number,Total,West Herzegovina Canton,natural_change,16
2002,Number,Total,Sarajevo Canton,natural_change,449
2002,Number,Total,Canton 10,natural_change,-125
2003,Number,Total,Federation of Bosnia and Herzegovina,natural_change,4904
2003,Number,Total,Una-Sana Canton,natural_change,1064
2003,Number,Total,Posavina Canton,natural_change,-92
2003,Number,Total,Tuzla Canton,natural_change,1611
2003,Number,Total,Zenica-Doboj Canton,natural_change,1060
2003,Number,Total,Bosnian-Podrinje Canton,natural_change,-48
2003,Number,Total,Central Bosnia Canton,natural_change,779
2003,Number,Total,Herzegovina-Neretva Canton,natural_change,287
2003,Number,Total,West Herzegovina Canton,natural_change,73
2003,Number,Total,Sarajevo Canton,natural_change,353
2003,Number,Total,Canton 10,natural_change,-183
2004,Number,Total,Federation of Bosnia and Herzegovina,natural_change,3976
2004,Number,Total,Una-Sana Canton,natural_change,794
2004,Number,Total,Posavina Canton,natural_change,-95
2004,Number,Total,Tuzla Canton,natural_change,1309
2004,Number,Total,Zenica-Doboj Canton,natural_change,916
2004,Number,Total,Bosnian-Podrinje Canton,natural_change,-55
2004,Number,Total,Central Bosnia Canton,natural_change,609
2004,Number,Total,Herzegovina-Neretva Canton,natural_change,243
2004,Number,Total,West Herzegovina Canton,natural_change,69
2004,Number,Total,Sarajevo Canton,natural_change,300
2004,Number,Total,Canton 10,natural_change,-114
2005,Number,Total,Federation of Bosnia and Herzegovina,natural_change,2696
2005,Number,Total,Una-Sana Canton,natural_change,669
2005,Number,Total,Posavina Canton,natural_change,-178
2005,Number,Total,Tuzla Canton,natural_change,1155
2005,Number,Total,Zenica-Doboj Canton,natural_change,708
2005,Number,Total,Bosnian-Podrinje Canton,natural_change,-35
2005,Number,Total,Central Bosnia Canton,natural_change,471
2005,Number,Total,Herzegovina-Neretva Canton,natural_change,-101
2005,Number,Total,West Herzegovina Canton,natural_change,-65
2005,Number,Total,Sarajevo Canton,natural_change,253
2005,Number,Total,Canton 10,natural_change,-181
2006,Number,Total,Federation of Bosnia and Herzegovina,natural_change,3006
2006,Number,Total,Una-Sana Canton,natural_change,691
2006,Number,Total,Posavina Canton,natural_change,-145
2006,Number,Total,Tuzla Canton,natural_change,1311
2006,Number,Total,Zenica-Doboj Canton,natural_change,669
2006,Number,Total,Bosnian-Podrinje Canton,natural_change,-99
2006,Number,Total,Central Bosnia Canton,natural_change,476
2006,Number,Total,Herzegovina-Neretva Canton,natural_change,-63
2006,Number,Total,West Herzegovina Canton,natural_change,-42
2006,Number,Total,Sarajevo Canton,natural_change,426
2006,Number,Total,Canton 10,natural_change,-218
2007,Number,Total,Federation of Bosnia and Herzegovina,natural_change,2348
2007,Number,Total,Una-Sana Canton,natural_change,685
2007,Number,Total,Posavina Canton,natural_change,-218
2007,Number,Total,Tuzla Canton,natural_change,1032
2007,Number,Total,Zenica-Doboj Canton,natural_change,592
2007,Number,Total,Bosnian-Podrinje Canton,natural_change,-112
2007,Number,Total,Central Bosnia Canton,natural_change,439
2007,Number,Total,Herzegovina-Neretva Canton,natural_change,-269
2007,Number,Total,West Herzegovina Canton,natural_change,-15
2007,Number,Total,Sarajevo Canton,natural_change,458
2007,Number,Total,Canton 10,natural_change,-244
2008,Number,Total,Federation of Bosnia and Herzegovina,natural_change,3513
2008,Number,Total,Una-Sana Canton,natural_change,885
2008,Number,Total,Posavina Canton,natural_change,-196
2008,Number,Total,Tuzla Canton,natural_change,1108
2008,Number,Total,Zenica-Doboj Canton,natural_change,1059
2008,Number,Total,Bosnian-Podrinje Canton,natural_change,-38
2008,Number,Total,Central Bosnia Canton,natural_change,365
2008,Number,Total,Herzegovina-Neretva Canton,natural_change,-184
2008,Number,Total,West Herzegovina Canton,natural_change,18
2008,Number,Total,Sarajevo Canton,natural_change,782
2008,Number,Total,Canton 10,natural_change,-286
2009,Number,Total,Federation of Bosnia and Herzegovina,natural_change,2978
2009,Number,Total,Una-Sana Canton,natural_change,685
2009,Number,Total,Posavina Canton,natural_change,-236
2009,Number,Total,Tuzla Canton,natural_change,1013
2009,Number,Total,Zenica-Doboj Canton,natural_change,997
2009,Number,Total,Bosnian-Podrinje Canton,natural_change,-54
2009,Number,Total,Central Bosnia Canton,natural_change,300
2009,Number,Total,Herzegovina-Neretva Canton,natural_change,-241
2009,Number,Total,West Herzegovina Canton,natural_change,-50
2009,Number,Total,Sarajevo Canton,natural_change,885
2009,Number,Total,Canton 10,natural_change,-321
2010,Number,Total,Federation of Bosnia and Herzegovina,natural_change,2049
2010,Number,Total,Una-Sana Canton,natural_change,544
2010,Number,Total,Posavina Canton,natural_change,-241
2010,Number,Total,Tuzla Canton,natural_change,896
2010,Number,Total,Zenica-Doboj Canton,natural_change,646
2010,Number,Total,Bosnian-Podrinje Canton,natural_change,-34
2010,Number,Total,Central Bosnia Canton,natural_change,171
2010,Number,Total,Herzegovina-Neretva Canton,natural_change,-287
2010,Number,Total,West Herzegovina Canton,natural_change,19
2010,Number,Total,Sarajevo Canton,natural_change,567
2010,Number,Total,Canton 10,natural_change,-232
2011,Number,Total,Federation of Bosnia and Herzegovina,natural_change,1182
2011,Number,Total,Una-Sana Canton,natural_change,356
2011,Number,Total,Posavina Canton,natural_change,-251
2011,Number,Total,Tuzla Canton,natural_change,604
2011,Number,Total,Zenica-Doboj Canton,natural_change,480
2011,Number,Total,Bosnian-Podrinje Canton,natural_change,-78
2011,Number,Total,Central Bosnia Canton,natural_change,68
2011,Number,Total,Herzegovina-Neretva Canton,natural_change,-258
2011,Number,Total,West Herzegovina Canton,natural_change,7
2011,Number,Total,Sarajevo Canton,natural_change,603
2011,Number,Total,Canton 10,natural_change,-349
2012,Number,Total,Federation of Bosnia and Herzegovina,natural_change,768
2012,Number,Total,Una-Sana Canton,natural_change,142
2012,Number,Total,Posavina Canton,natural_change,-257
2012,Number,Total,Tuzla Canton,natural_change,681
2012,Number,Total,Zenica-Doboj Canton,natural_change,434
2012,Number,Total,Bosnian-Podrinje Canton,natural_change,-46
2012,Number,Total,Central Bosnia Canton,natural_change,65
2012,Number,Total,Herzegovina-Neretva Canton,natural_change,-288
2012,Number,Total,West Herzegovina Canton,natural_change,-47
2012,Number,Total,Sarajevo Canton,natural_change,415
2012,Number,Total,Canton 10,natural_change,-331
2013,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-186
2013,Number,Total,Una-Sana Canton,natural_change,-91
2013,Number,Total,Posavina Canton,natural_change,-302
2013,Number,Total,Tuzla Canton,natural_change,562
2013,Number,Total,Zenica-Doboj Canton,natural_change,68
2013,Number,Total,Bosnian-Podrinje Canton,natural_change,-46
2013,Number,Total,Central Bosnia Canton,natural_change,-29
2013,Number,Total,Herzegovina-Neretva Canton,natural_change,-335
2013,Number,Total,West Herzegovina Canton,natural_change,-110
2013,Number,Total,Sarajevo Canton,natural_change,519
2013,Number,Total,Canton 10,natural_change,-422
2014,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-207
2014,Number,Total,Una-Sana Canton,natural_change,51
2014,Number,Total,Posavina Canton,natural_change,-293
2014,Number,Total,Tuzla Canton,natural_change,566
2014,Number,Total,Zenica-Doboj Canton,natural_change,35
2014,Number,Total,Bosnian-Podrinje Canton,natural_change,-54
2014,Number,Total,Central Bosnia Canton,natural_change,-108
2014,Number,Total,Herzegovina-Neretva Canton,natural_change,-340
2014,Number,Total,West Herzegovina Canton,natural_change,-47
2014,Number,Total,Sarajevo Canton,natural_change,351
2014,Number,Total,Canton 10,natural_change,-368
2015,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-2157
2015,Number,Total,Una-Sana Canton,natural_change,-101
2015,Number,Total,Posavina Canton,natural_change,-272
2015,Number,Total,Tuzla Canton,natural_change,-205
2015,Number,Total,Zenica-Doboj Canton,natural_change,-87
2015,Number,Total,Bosnian-Podrinje Canton,natural_change,-99
2015,Number,Total,Central Bosnia Canton,natural_change,-315
2015,Number,Total,Herzegovina-Neretva Canton,natural_change,-606
2015,Number,Total,West Herzegovina Canton,natural_change,-161
2015,Number,Total,Sarajevo Canton,natural_change,150
2015,Number,Total,Canton 10,natural_change,-461
2016,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-1450
2016,Number,Total,Una-Sana Canton,natural_change,-85
2016,Number,Total,Posavina Canton,natural_change,-358
2016,Number,Total,Tuzla Canton,natural_change,-150
2016,Number,Total,Zenica-Doboj Canton,natural_change,8
2016,Number,Total,Bosnian-Podrinje Canton,natural_change,-84
2016,Number,Total,Central Bosnia Canton,natural_change,-207
2016,Number,Total,Herzegovina-Neretva Canton,natural_change,-389
2016,Number,Total,West Herzegovina Canton,natural_change,-178
2016,Number,Total,Sarajevo Canton,natural_change,479
2016,Number,Total,Canton 10,natural_change,-486
2017,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-1865
2017,Number,Total,Una-Sana Canton,natural_change,-148
2017,Number,Total,Posavina Canton,natural_change,-280
2017,Number,Total,Tuzla Canton,natural_change,-384
2017,Number,Total,Zenica-Doboj Canton,natural_change,48
2017,Number,Total,Bosnian-Podrinje Canton,natural_change,-41
2017,Number,Total,Central Bosnia Canton,natural_change,-239
2017,Number,Total,Herzegovina-Neretva Canton,natural_change,-627
2017,Number,Total,West Herzegovina Canton,natural_change,-183
2017,Number,Total,Sarajevo Canton,natural_change,456
2017,Number,Total,Canton 10,natural_change,-467
2018,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-2543
2018,Number,Total,Una-Sana Canton,natural_change,-456
2018,Number,Total,Posavina Canton,natural_change,-345
2018,Number,Total,Tuzla Canton,natural_change,-510
2018,Number,Total,Zenica-Doboj Canton,natural_change,67
2018,Number,Total,Bosnian-Podrinje Canton,natural_change,-36
2018,Number,Total,Central Bosnia Canton,natural_change,-376
2018,Number,Total,Herzegovina-Neretva Canton,natural_change,-444
2018,Number,Total,West Herzegovina Canton,natural_change,-97
2018,Number,Total,Sarajevo Canton,natural_change,93
2018,Number,Total,Canton 10,natural_change,-439
2019,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-4005
2019,Number,Total,Una-Sana Canton,natural_change,-593
2019,Number,Total,Posavina Canton,natural_change,-361
2019,Number,Total,Tuzla Canton,natural_change,-703
2019,Number,Total,Zenica-Doboj Canton,natural_change,-303
2019,Number,Total,Bosnian-Podrinje Canton,natural_change,-122
2019,Number,Total,Central Bosnia Canton,natural_change,-541
2019,Number,Total,Herzegovina-Neretva Canton,natural_change,-644
2019,Number,Total,West Herzegovina Canton,natural_change,-146
2019,Number,Total,Sarajevo Canton,natural_change,-86
2019,Number,Total,Canton 10,natural_change,-506
2020,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-8815
2020,Number,Total,Una-Sana Canton,natural_change,-1125
2020,Number,Total,Posavina Canton,natural_change,-444
2020,Number,Total,Tuzla Canton,natural_change,-1834
2020,Number,Total,Zenica-Doboj Canton,natural_change,-1312
2020,Number,Total,Bosnian-Podrinje Canton,natural_change,-184
2020,Number,Total,Central Bosnia Canton,natural_change,-1014
2020,Number,Total,Herzegovina-Neretva Canton,natural_change,-939
2020,Number,Total,West Herzegovina Canton,natural_change,-308
2020,Number,Total,Sarajevo Canton,natural_change,-1048
2020,Number,Total,Canton 10,natural_change,-607
2021,Number,Total,Federation of Bosnia and Herzegovina,natural_change,-12213
2021,Number,Total,Una-Sana Canton,natural_change,-1409
2021,Number,Total,Posavina Canton,natural_change,-448
2021,Number,Total,Tuzla Canton,natural_change,-2415
2021,Number,Total,Zenica-Doboj Canton,natural_change,-1814
2021,Number,Total,Bosnian-Podrinje Canton,natural_change,-238
2021,Number,Total,Central Bosnia Canton,natural_change,-1223
2021,Number,Total,Herzegovina-Neretva Canton,natural_change,-1402
2021,Number,Total,West Herzegovina Canton,natural_change,-393
