Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
2008,Number,M,Central Bosnia Canton,Live births,1322
2008,Number,M,Herzegovina-Neretva Canton,Live births,1015
2008,Number,M,West Herzegovina Canton,Live births,381
2008,Number,M,Sarajevo Canton,Live births,2373
2008,Number,M,Canton 10,Live births,237
2008,Number,F,Federation of Bosnia and Herzegovina,Live births,11137
2008,Number,F,Una-Sana Canton,Live births,1509
2008,Number,F,Posavina Canton,Live births,124
2008,Number,F,Tuzla Canton,Live births,2361
2008,Number,F,Zenica-Doboj Canton,Live births,2066
2008,Number,F,Bosnian-Podrinje Canton,Live births,91
2008,Number,F,Central Bosnia Canton,Live births,1242
2008,Number,F,Herzegovina-Neretva Canton,Live births,901
2008,Number,F,West Herzegovina Canton,Live births,370
2008,Number,F,Sarajevo Canton,Live births,2248
2008,Number,F,Canton 10,Live births,225
2009,Number,Total,Federation of Bosnia and Herzegovina,Live births,22807
2009,Number,Total,Una-Sana Canton,Live births,2842
2009,Number,Total,Posavina Canton,Live births,255
2009,Number,Total,Tuzla Canton,Live births,4898
2009,Number,Total,Zenica-Doboj Canton,Live births,4186
2009,Number,Total,Bosnian-Podrinje Canton,Live births,236
2009,Number,Total,Central Bosnia Canton,Live births,2462
2009,Number,Total,Herzegovina-Neretva Canton,Live births,1870
2009,Number,Total,West Herzegovina Canton,Live births,722
2009,Number,Total,Sarajevo Canton,Live births,4898
2009,Number,Total,Canton 10,Live births,438
2009,Number,M,Federation of Bosnia and Herzegovina,Live births,11823
2009,Number,M,Una-Sana Canton,Live births,1468
2009,Number,M,Posavina Canton,Live births,135
2009,Number,M,Tuzla Canton,Live births,2552
2009,Number,M,Zenica-Doboj Canton,Live births,2192
2009,Number,M,Bosnian-Podrinje Canton,Live births,125
2009,Number,M,Central Bosnia Canton,Live births,1280
2009,Number,M,Herzegovina-Neretva Canton,Live births,931
2009,Number,M,West Herzegovina Canton,Live births,368
2009,Number,M,Sarajevo Canton,Live births,2548
2009,Number,M,Canton 10,Live births,224
2009,Number,F,Federation of Bosnia and Herzegovina,Live births,10984
2009,Number,F,Una-Sana Canton,Live births,1374
2009,Number,F,Posavina Canton,Live births,120
2009,Number,F,Tuzla Canton,Live births,2346
2009,Number,F,Zenica-Doboj Canton,Live births,1994
2009,Number,F,Bosnian-Podrinje Canton,Live births,111
2009,Number,F,Central Bosnia Canton,Live births,1182
2009,Number,F,Herzegovina-Neretva Canton,Live births,939
2009,Number,F,West Herzegovina Canton,Live births,354
2009,Number,F,Sarajevo Canton,Live births,2350
2009,Number,F,Canton 10,Live births,214
2010,Number,Total,Federation of Bosnia and Herzegovina,Live births,22305
2010,Number,Total,Una-Sana Canton,Live births,2673
2010,Number,Total,Posavina Canton,Live births,241
2010,Number,Total,Tuzla Canton,Live births,4826
2010,Number,Total,Zenica-Doboj Canton,Live births,3980
2010,Number,Total,Bosnian-Podrinje Canton,Live births,231
2010,Number,Total,Central Bosnia Canton,Live births,2444
2010,Number,Total,Herzegovina-Neretva Canton,Live births,1903
2010,Number,Total,West Herzegovina Canton,Live births,789
2010,Number,Total,Sarajevo Canton,Live births,4704
2010,Number,Total,Canton 10,Live births,514
2010,Number,M,Federation of Bosnia and Herzegovina,Live births,11520
2010,Number,M,Una-Sana Canton,Live births,1361
2010,Number,M,Posavina Canton,Live births,132
2010,Number,M,Tuzla Canton,Live births,2512
2010,Number,M,Zenica-Doboj Canton,Live births,2008
2010,Number,M,Bosnian-Podrinje Canton,Live births,113
2010,Number,M,Central Bosnia Canton,Live births,1282
2010,Number,M,Herzegovina-Neretva Canton,Live births,1018
2010,Number,M,West Herzegovina Canton,Live births,398
2010,Number,M,Sarajevo Canton,Live births,2423
2010,Number,M,Canton 10,Live births,273
2010,Number,F,Federation of Bosnia and Herzegovina,Live births,10785
2010,Number,F,Una-Sana Canton,Live births,1312
2010,Number,F,Posavina Canton,Live births,109
2010,Number,F,Tuzla Canton,Live births,2314
2010,Number,F,Zenica-Doboj Canton,Live births,1972
2010,Number,F,Bosnian-Podrinje Canton,Live births,118
2010,Number,F,Central Bosnia Canton,Live births,1162
2010,Number,F,Herzegovina-Neretva Canton,Live births,885
2010,Number,F,West Herzegovina Canton,Live births,391
2010,Number,F,Sarajevo Canton,Live births,2281
2010,Number,F,Canton 10,Live births,241
2011,Number,Total,Federation of Bosnia and Herzegovina,Live births,21161
2011,Number,Total,Una-Sana Canton,Live births,2496
2011,Number,Total,Posavina Canton,Live births,228
2011,Number,Total,Tuzla Canton,Live births,4417
2011,Number,Total,Zenica-Doboj Canton,Live births,3760
2011,Number,Total,Bosnian-Podrinje Canton,Live births,191
2011,Number,Total,Central Bosnia Canton,Live births,2300
2011,Number,Total,Herzegovina-Neretva Canton,Live births,1817
2011,Number,Total,West Herzegovina Canton,Live births,772
2011,Number,Total,Sarajevo Canton,Live births,4722
2011,Number,Total,Canton 10,Live births,458
2011,Number,M,Federation of Bosnia and Herzegovina,Live births,10981
2011,Number,M,Una-Sana Canton,Live births,1312
2011,Number,M,Posavina Canton,Live births,112
2011,Number,M,Tuzla Canton,Live births,2305
2011,Number,M,Zenica-Doboj Canton,Live births,1945
2011,Number,M,Bosnian-Podrinje Canton,Live births,99
2011,Number,M,Central Bosnia Canton,Live births,1219
2011,Number,M,Herzegovina-Neretva Canton,Live births,946
2011,Number,M,West Herzegovina Canton,Live births,401
2011,Number,M,Sarajevo Canton,Live births,2411
2011,Number,M,Canton 10,Live births,231
2011,Number,F,Federation of Bosnia and Herzegovina,Live births,10180
2011,Number,F,Una-Sana Canton,Live births,1184
2011,Number,F,Posavina Canton,Live births,116
2011,Number,F,Tuzla Canton,Live births,2112
2011,Number,F,Zenica-Doboj Canton,Live births,1815
2011,Number,F,Bosnian-Podrinje Canton,Live births,92
2011,Number,F,Central Bosnia Canton,Live births,1081
2011,Number,F,Herzegovina-Neretva Canton,Live births,871
2011,Number,F,West Herzegovina Canton,Live births,371
2011,Number,F,Sarajevo Canton,Live births,2311
