Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2019,Number,Sarajevo Canton,High schools for students with disabilities,F,
2020,Number,Sarajevo Canton,Gymnasium,F,
2020,Number,Sarajevo Canton,Technical high schools,F,
2020,Number,Sarajevo Canton,Vocational high schools,F,
2020,Number,Sarajevo Canton,Art schools,F,
2020,Number,Sarajevo Canton,Religious schools,F,
2020,Number,Sarajevo Canton,High schools for students with disabilities,F,
2016,Number,Canton 10,Gymnasium,F,
2016,Number,Canton 10,Technical high schools,F,
2016,Number,Canton 10,Vocational high schools,F,
2016,Number,Canton 10,Art schools,F,
2016,Number,Canton 10,Religious schools,F,
2016,Number,Canton 10,High schools for students with disabilities,F,
2017,Number,Canton 10,Gymnasium,F,
2017,Number,Canton 10,Technical high schools,F,
2017,Number,Canton 10,Vocational high schools,F,
2017,Number,Canton 10,Art schools,F,
2017,Number,Canton 10,Religious schools,F,
2017,Number,Canton 10,High schools for students with disabilities,F,
2018,Number,Canton 10,Gymnasium,F,
2018,Number,Canton 10,Technical high schools,F,
2018,Number,Canton 10,Vocational high schools,F,
2018,Number,Canton 10,Art schools,F,
2018,Number,Canton 10,Religious schools,F,
2018,Number,Canton 10,High schools for students with disabilities,F,
2019,Number,Canton 10,Gymnasium,F,
2019,Number,Canton 10,Technical high schools,F,
2019,Number,Canton 10,Vocational high schools,F,
2019,Number,Canton 10,Art schools,F,
2019,Number,Canton 10,Religious schools,F,
2019,Number,Canton 10,High schools for students with disabilities,F,
2020,Number,Canton 10,Gymnasium,F,
2020,Number,Canton 10,Technical high schools,F,
2020,Number,Canton 10,Vocational high schools,F,
2020,Number,Canton 10,Art schools,F,
2020,Number,Canton 10,Religious schools,F,
2020,Number,Canton 10,High schools for students with disabilities,F,
