Year,UNIT_MEASURE,Municipality,Vital statistics,Value
2013,Number,Jablanica,5+ children,313
2013,Number,Jajce,5+ children,1160
2013,Number,Kakanj,5+ children,1128
2013,Number,Kalesija,5+ children,879
2013,Number,Kiseljak,5+ children,459
2013,Number,Kladanj,5+ children,332
2013,Number,Kljuc,5+ children,610
2013,Number,Konjic,5+ children,679
2013,Number,Kresevo,5+ children,117
2013,Number,Kupres-FBiH,5+ children,170
2013,Number,Livno,5+ children,869
2013,Number,Lukavac,5+ children,614
2013,Number,Ljubuski,5+ children,683
2013,Number,Maglaj,5+ children,547
2013,Number,Mostar,5+ children,1366
2013,Number,Neum,5+ children,141
2013,Number,Sarajevo-Novi Grad,5+ children,1226
2013,Number,Novi Travnik,5+ children,777
2013,Number,Sarajevo-Novo Sarajevo,5+ children,367
2013,Number,Odzak,5+ children,319
2013,Number,Olovo,5+ children,319
2013,Number,Orasje,5+ children,598
2013,Number,Pale-FBiH,5+ children,33
2013,Number,Posusje,5+ children,795
2013,Number,Prozor,5+ children,776
2013,Number,Ravno,5+ children,18
2013,Number,Sanski Most,5+ children,1059
2013,Number,Sapna,5+ children,361
2013,Number,Srebrenik,5+ children,902
2013,Number,Sarajevo-Stari Grad,5+ children,323
2013,Number,Stolac,5+ children,347
2013,Number,Siroki Brijeg,5+ children,863
2013,Number,Teocak,5+ children,180
2013,Number,Tesanj,5+ children,986
2013,Number,Tomislavgrad,5+ children,970
2013,Number,Travnik,5+ children,1485
2013,Number,Trnovo-FBiH,5+ children,40
2013,Number,Tuzla,5+ children,1356
2013,Number,Usora,5+ children,207
2013,Number,Vares,5+ children,216
2013,Number,Velika Kladusa,5+ children,2148
2013,Number,Visoko,5+ children,615
2013,Number,Vitez,5+ children,718
2013,Number,Sarajevo-Vogosca,5+ children,358
2013,Number,Zavidovici,5+ children,988
2013,Number,Zenica,5+ children,2155
2013,Number,Zepce,5+ children,1169
2013,Number,Zivinice,5+ children,1342
