Year,UNIT_MEASURE,Administrative area,Sex,Value
2010,Number,central_bosnia_canton,M,7780.0
2010,Number,herzegovina-neretva_canton,M,3427.0
2010,Number,west_herzegovina_canton,M,2148.0
2010,Number,sarajevo_canton,M,88379.0
2010,Number,canton_10,M,918.0
2010,Number,federation_of_bih,F,193809.0
2010,Number,una-sana_canton,F,12016.0
2010,Number,posavina_canton,F,535.0
2010,Number,tuzla_canton,F,39111.0
2010,Number,zenica-doboj_canton,F,41422.0
2010,Number,bosnian-podrinje_canton,F,
2010,Number,central_bosnia_canton,F,9397.0
2010,Number,herzegovina-neretva_canton,F,11496.0
2010,Number,west_herzegovina_canton,F,1536.0
2010,Number,sarajevo_canton,F,76539.0
2010,Number,canton_10,F,1757.0
2011,Number,federation_of_bih,Both sexes,344976.0
2011,Number,una-sana_canton,Both sexes,21212.0
2011,Number,posavina_canton,Both sexes,228.0
2011,Number,tuzla_canton,Both sexes,79042.0
2011,Number,zenica-doboj_canton,Both sexes,73550.0
2011,Number,bosnian-podrinje_canton,Both sexes,
2011,Number,central_bosnia_canton,Both sexes,11560.0
2011,Number,herzegovina-neretva_canton,Both sexes,15304.0
2011,Number,west_herzegovina_canton,Both sexes,3174.0
2011,Number,sarajevo_canton,Both sexes,137012.0
2011,Number,canton_10,Both sexes,3894.0
2011,Number,federation_of_bih,M,162768.0
2011,Number,una-sana_canton,M,8760.0
2011,Number,posavina_canton,M,93.0
2011,Number,tuzla_canton,M,31106.0
2011,Number,zenica-doboj_canton,M,35157.0
2011,Number,bosnian-podrinje_canton,M,
2011,Number,central_bosnia_canton,M,5787.0
2011,Number,herzegovina-neretva_canton,M,6800.0
2011,Number,west_herzegovina_canton,M,1583.0
2011,Number,sarajevo_canton,M,71509.0
2011,Number,canton_10,M,1973.0
2011,Number,federation_of_bih,F,182208.0
2011,Number,una-sana_canton,F,12452.0
2011,Number,posavina_canton,F,135.0
2011,Number,tuzla_canton,F,47936.0
2011,Number,zenica-doboj_canton,F,38393.0
2011,Number,bosnian-podrinje_canton,F,
2011,Number,central_bosnia_canton,F,5773.0
2011,Number,herzegovina-neretva_canton,F,8504.0
2011,Number,west_herzegovina_canton,F,1591.0
2011,Number,sarajevo_canton,F,65503.0
2011,Number,canton_10,F,1921.0
2012,Number,federation_of_bih,Both sexes,364552.0
2012,Number,una-sana_canton,Both sexes,18348.0
2012,Number,posavina_canton,Both sexes,350.0
2012,Number,tuzla_canton,Both sexes,87038.0
2012,Number,zenica-doboj_canton,Both sexes,61780.0
2012,Number,bosnian-podrinje_canton,Both sexes,
2012,Number,central_bosnia_canton,Both sexes,20320.0
2012,Number,herzegovina-neretva_canton,Both sexes,13180.0
2012,Number,west_herzegovina_canton,Both sexes,3944.0
2012,Number,sarajevo_canton,Both sexes,155065.0
2012,Number,canton_10,Both sexes,4527.0
2012,Number,federation_of_bih,M,184723.0
2012,Number,una-sana_canton,M,7074.0
2012,Number,posavina_canton,M,170.0
2012,Number,tuzla_canton,M,40077.0
2012,Number,zenica-doboj_canton,M,28689.0
2012,Number,bosnian-podrinje_canton,M,
2012,Number,central_bosnia_canton,M,9341.0
2012,Number,herzegovina-neretva_canton,M,4865.0
2012,Number,west_herzegovina_canton,M,2260.0
2012,Number,sarajevo_canton,M,89973.0
2012,Number,canton_10,M,2274.0
2012,Number,federation_of_bih,F,179829.0
2012,Number,una-sana_canton,F,11274.0
2012,Number,posavina_canton,F,180.0
2012,Number,tuzla_canton,F,46961.0
2012,Number,zenica-doboj_canton,F,33091.0
