Year,UNIT_MEASURE,Administrative Area,Sex,Highest educational attainment,Value
2013,Number,Posavina Canton,F,Elementary education,4649
2013,Number,Posavina Canton,F,Secondary education,7637
2013,Number,Posavina Canton,F,Secondary specialisation,54
2013,Number,Posavina Canton,F,Higher school and first degree of faculty,429
2013,Number,Posavina Canton,F,Faculty / academy / university,1197
2013,Number,Tuzla Canton,F,Total,193689
2013,Number,Tuzla Canton,F,No education,16146
2013,Number,Tuzla Canton,F,Incomplete elementary education,30621
2013,Number,Tuzla Canton,F,Elementary education,51141
2013,Number,Tuzla Canton,F,Secondary education,78306
2013,Number,Tuzla Canton,F,Secondary specialisation,367
2013,Number,Tuzla Canton,F,Higher school and first degree of faculty,3077
2013,Number,Tuzla Canton,F,Faculty / academy / university,14031
2013,Number,Zenica-Doboj Canton,F,Total,154153
2013,Number,Zenica-Doboj Canton,F,No education,11104
2013,Number,Zenica-Doboj Canton,F,Incomplete elementary education,23417
2013,Number,Zenica-Doboj Canton,F,Elementary education,43263
2013,Number,Zenica-Doboj Canton,F,Secondary education,62410
2013,Number,Zenica-Doboj Canton,F,Secondary specialisation,440
2013,Number,Zenica-Doboj Canton,F,Higher school and first degree of faculty,3141
2013,Number,Zenica-Doboj Canton,F,Faculty / academy / university,10378
2013,Number,Bosnian-Podrinje Canton,F,Total,10567
2013,Number,Bosnian-Podrinje Canton,F,No education,974
2013,Number,Bosnian-Podrinje Canton,F,Incomplete elementary education,1300
2013,Number,Bosnian-Podrinje Canton,F,Elementary education,3047
2013,Number,Bosnian-Podrinje Canton,F,Secondary education,4213
2013,Number,Bosnian-Podrinje Canton,F,Secondary specialisation,30
2013,Number,Bosnian-Podrinje Canton,F,Higher school and first degree of faculty,166
2013,Number,Bosnian-Podrinje Canton,F,Faculty / academy / university,837
2013,Number,Central Bosnia Canton,F,Total,106469
2013,Number,Central Bosnia Canton,F,No education,8977
2013,Number,Central Bosnia Canton,F,Incomplete elementary education,16622
2013,Number,Central Bosnia Canton,F,Elementary education,28299
2013,Number,Central Bosnia Canton,F,Secondary education,43466
2013,Number,Central Bosnia Canton,F,Secondary specialisation,189
2013,Number,Central Bosnia Canton,F,Higher school and first degree of faculty,2300
2013,Number,Central Bosnia Canton,F,Faculty / academy / university,6616
2013,Number,Herzegovina-Neretva Canton,F,Total,96219
2013,Number,Herzegovina-Neretva Canton,F,No education,5742
2013,Number,Herzegovina-Neretva Canton,F,Incomplete elementary education,9991
2013,Number,Herzegovina-Neretva Canton,F,Elementary education,19610
2013,Number,Herzegovina-Neretva Canton,F,Secondary education,44167
2013,Number,Herzegovina-Neretva Canton,F,Secondary specialisation,249
2013,Number,Herzegovina-Neretva Canton,F,Higher school and first degree of faculty,3797
2013,Number,Herzegovina-Neretva Canton,F,Faculty / academy / university,12663
2013,Number,West Herzegovina Canton,F,Total,39369
2013,Number,West Herzegovina Canton,F,No education,2510
2013,Number,West Herzegovina Canton,F,Incomplete elementary education,4195
2013,Number,West Herzegovina Canton,F,Elementary education,6518
2013,Number,West Herzegovina Canton,F,Secondary education,19340
2013,Number,West Herzegovina Canton,F,Secondary specialisation,130
2013,Number,West Herzegovina Canton,F,Higher school and first degree of faculty,1798
2013,Number,West Herzegovina Canton,F,Faculty / academy / university,4878
2013,Number,Sarajevo Canton,F,Total,187635
2013,Number,Sarajevo Canton,F,No education,8349
2013,Number,Sarajevo Canton,F,Incomplete elementary education,12101
2013,Number,Sarajevo Canton,F,Elementary education,35528
2013,Number,Sarajevo Canton,F,Secondary education,87633
2013,Number,Sarajevo Canton,F,Secondary specialisation,447
2013,Number,Sarajevo Canton,F,Higher school and first degree of faculty,6841
2013,Number,Sarajevo Canton,F,Faculty / academy / university,36736
2013,Number,Canton 10,F,Total,36041
2013,Number,Canton 10,F,No education,3106
2013,Number,Canton 10,F,Incomplete elementary education,4766
2013,Number,Canton 10,F,Elementary education,7161
2013,Number,Canton 10,F,Secondary education,15717
2013,Number,Canton 10,F,Secondary specialisation,99
2013,Number,Canton 10,F,Higher school and first degree of faculty,1450
2013,Number,Canton 10,F,Faculty / academy / university,3742
