Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2006,Broj,herzegovina-neretva_canton,Oba spola,21145.0
2006,Broj,west_herzegovina_canton,Oba spola,2345.0
2006,Broj,sarajevo_canton,Oba spola,117743.0
2006,Broj,canton_10,Oba spola,2855.0
2006,Broj,federation_of_bih,M,188431.0
2006,Broj,una-sana_canton,M,8672.0
2006,Broj,posavina_canton,M,136.0
2006,Broj,tuzla_canton,M,26081.0
2006,Broj,zenica-doboj_canton,M,57897.0
2006,Broj,bosnian-podrinje_canton,M,
2006,Broj,central_bosnia_canton,M,8419.0
2006,Broj,herzegovina-neretva_canton,M,10559.0
2006,Broj,west_herzegovina_canton,M,1460.0
2006,Broj,sarajevo_canton,M,73991.0
2006,Broj,canton_10,M,1219.0
2006,Broj,federation_of_bih,Ž,145487.0
2006,Broj,una-sana_canton,Ž,12701.0
2006,Broj,posavina_canton,Ž,0.0
2006,Broj,tuzla_canton,Ž,22889.0
2006,Broj,zenica-doboj_canton,Ž,42796.0
2006,Broj,bosnian-podrinje_canton,Ž,
2006,Broj,central_bosnia_canton,Ž,10239.0
2006,Broj,herzegovina-neretva_canton,Ž,10586.0
2006,Broj,west_herzegovina_canton,Ž,885.0
2006,Broj,sarajevo_canton,Ž,43752.0
2006,Broj,canton_10,Ž,1636.0
2007,Broj,federation_of_bih,Oba spola,334660.0
2007,Broj,una-sana_canton,Oba spola,17226.0
2007,Broj,posavina_canton,Oba spola,1287.0
2007,Broj,tuzla_canton,Oba spola,46851.0
2007,Broj,zenica-doboj_canton,Oba spola,77762.0
2007,Broj,bosnian-podrinje_canton,Oba spola,
2007,Broj,central_bosnia_canton,Oba spola,19464.0
2007,Broj,herzegovina-neretva_canton,Oba spola,21708.0
2007,Broj,west_herzegovina_canton,Oba spola,2560.0
2007,Broj,sarajevo_canton,Oba spola,144940.0
2007,Broj,canton_10,Oba spola,2862.0
2007,Broj,federation_of_bih,M,183592.0
2007,Broj,una-sana_canton,M,7586.0
2007,Broj,posavina_canton,M,481.0
2007,Broj,tuzla_canton,M,21048.0
2007,Broj,zenica-doboj_canton,M,39940.0
2007,Broj,bosnian-podrinje_canton,M,
2007,Broj,central_bosnia_canton,M,8681.0
2007,Broj,herzegovina-neretva_canton,M,9489.0
2007,Broj,west_herzegovina_canton,M,1579.0
2007,Broj,sarajevo_canton,M,93705.0
2007,Broj,canton_10,M,1083.0
2007,Broj,federation_of_bih,Ž,151068.0
2007,Broj,una-sana_canton,Ž,9640.0
2007,Broj,posavina_canton,Ž,806.0
2007,Broj,tuzla_canton,Ž,25803.0
2007,Broj,zenica-doboj_canton,Ž,37822.0
2007,Broj,bosnian-podrinje_canton,Ž,
2007,Broj,central_bosnia_canton,Ž,10783.0
2007,Broj,herzegovina-neretva_canton,Ž,12219.0
2007,Broj,west_herzegovina_canton,Ž,981.0
2007,Broj,sarajevo_canton,Ž,51235.0
2007,Broj,canton_10,Ž,1779.0
2008,Broj,federation_of_bih,Oba spola,340152.0
2008,Broj,una-sana_canton,Oba spola,17453.0
2008,Broj,posavina_canton,Oba spola,892.0
2008,Broj,tuzla_canton,Oba spola,55890.0
2008,Broj,zenica-doboj_canton,Oba spola,70513.0
2008,Broj,bosnian-podrinje_canton,Oba spola,
2008,Broj,central_bosnia_canton,Oba spola,22556.0
2008,Broj,herzegovina-neretva_canton,Oba spola,15078.0
2008,Broj,west_herzegovina_canton,Oba spola,2765.0
2008,Broj,sarajevo_canton,Oba spola,152336.0
2008,Broj,canton_10,Oba spola,2669.0
2008,Broj,federation_of_bih,M,182103.0
2008,Broj,una-sana_canton,M,8106.0
2008,Broj,posavina_canton,M,371.0
2008,Broj,tuzla_canton,M,23290.0
2008,Broj,zenica-doboj_canton,M,35712.0
2008,Broj,bosnian-podrinje_canton,M,
2008,Broj,central_bosnia_canton,M,9089.0
2008,Broj,herzegovina-neretva_canton,M,6274.0
2008,Broj,west_herzegovina_canton,M,1620.0
2008,Broj,sarajevo_canton,M,96671.0
2008,Broj,canton_10,M,970.0
2008,Broj,federation_of_bih,Ž,158049.0
