Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2018,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Vjerske škole,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Tehničke škole,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Stručne škole,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Vjerske škole,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Tehničke škole,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Stručne škole,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Vjerske škole,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2016,Broj,Srednjobosanski kanton,Tehničke škole,Oba spola,
2016,Broj,Srednjobosanski kanton,Stručne škole,Oba spola,
2016,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Srednjobosanski kanton,Vjerske škole,Oba spola,
2016,Broj,Srednjobosanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2017,Broj,Srednjobosanski kanton,Tehničke škole,Oba spola,
2017,Broj,Srednjobosanski kanton,Stručne škole,Oba spola,
2017,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Srednjobosanski kanton,Vjerske škole,Oba spola,
2017,Broj,Srednjobosanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2018,Broj,Srednjobosanski kanton,Tehničke škole,Oba spola,
2018,Broj,Srednjobosanski kanton,Stručne škole,Oba spola,
2018,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Srednjobosanski kanton,Vjerske škole,Oba spola,
2018,Broj,Srednjobosanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2019,Broj,Srednjobosanski kanton,Tehničke škole,Oba spola,
2019,Broj,Srednjobosanski kanton,Stručne škole,Oba spola,
2019,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2019,Broj,Srednjobosanski kanton,Vjerske škole,Oba spola,
2019,Broj,Srednjobosanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2020,Broj,Srednjobosanski kanton,Tehničke škole,Oba spola,
2020,Broj,Srednjobosanski kanton,Stručne škole,Oba spola,
2020,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Srednjobosanski kanton,Vjerske škole,Oba spola,
2020,Broj,Srednjobosanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Stručne škole,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Stručne škole,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Stručne škole,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Stručne škole,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Tehničke škole,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Stručne škole,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Vjerske škole,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Tehničke škole,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Stručne škole,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Vjerske škole,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Tehničke škole,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Stručne škole,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Vjerske škole,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Tehničke škole,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Stručne škole,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Vjerske škole,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Tehničke škole,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Stručne škole,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
