Year,UNIT_MEASURE,Oпштина,Literacy,Пол,Value
2013,Број,Грачаница,Непознато,M,141
2013,Број,Градачац,Непознато,M,96
2013,Број,Груде,Непознато,M,89
2013,Број,hadzici,Непознато,M,43
2013,Број,ilidza,Непознато,M,108
2013,Број,ilijas,Непознато,M,30
2013,Број,Јабланица,Непознато,M,15
2013,Број,Јајце,Непознато,M,157
2013,Број,Какањ,Непознато,M,92
2013,Број,Калесија,Непознато,M,136
2013,Број,Кисељак,Непознато,M,86
2013,Број,Кладањ,Непознато,M,33
2013,Број,Кључ,Непознато,M,67
2013,Број,Коњиц,Непознато,M,119
2013,Број,Крешево,Непознато,M,31
2013,Број,kupres-fbih,Непознато,M,19
2013,Број,Ливно,Непознато,M,157
2013,Број,Лукавац,Непознато,M,125
2013,Број,Љубушки,Непознато,M,131
2013,Број,Маглај,Непознато,M,70
2013,Број,Мостар,Непознато,M,338
2013,Број,Неум,Непознато,M,18
2013,Број,novi_grad_sarajevo,Непознато,M,176
2013,Број,Нови Травник,Непознато,M,153
2013,Број,novo_sarajevo,Непознато,M,62
2013,Број,Оџак,Непознато,M,114
2013,Број,Олово,Непознато,M,27
2013,Број,Орашје,Непознато,M,101
2013,Број,pale-fbih,Непознато,M,0
2013,Број,Посушје,Непознато,M,110
2013,Број,Прозор,Непознато,M,105
2013,Број,Равно,Непознато,M,10
2013,Број,Сански Мост,Непознато,M,179
2013,Број,Сапна,Непознато,M,45
2013,Број,Сребреник,Непознато,M,172
2013,Број,stari_grad_sarajevo,Непознато,M,63
2013,Број,Столац,Непознато,M,80
2013,Број,Широки Бријег,Непознато,M,144
2013,Број,Теочак,Непознато,M,23
2013,Број,Тешањ,Непознато,M,120
2013,Број,Томиславград,Непознато,M,183
2013,Број,Травник,Непознато,M,330
2013,Број,trnovo-fbih,Непознато,M,3
2013,Број,Тузла,Непознато,M,257
2013,Број,Усора,Непознато,M,23
2013,Број,Вареш,Непознато,M,31
2013,Број,Велика Кладуша,Непознато,M,126
2013,Број,Високо,Непознато,M,100
2013,Број,Витез,Непознато,M,129
2013,Број,vogosca,Непознато,M,31
2013,Број,Завидовићи,Непознато,M,119
2013,Број,Зеница,Непознато,M,190
2013,Број,Жепче,Непознато,M,96
2013,Број,Живинице,Непознато,M,125
2013,Број,Бановићи,Непознато,Ж,148
2013,Број,Бихаћ,Непознато,Ж,317
2013,Број,Босанска Крупа,Непознато,Ж,178
2013,Број,Босански Петровац,Непознато,Ж,75
2013,Број,Босанско Грахово,Непознато,Ж,19
2013,Број,Бреза,Непознато,Ж,34
2013,Број,Бугојно,Непознато,Ж,298
2013,Број,Бусовача,Непознато,Ж,144
2013,Број,Бужим,Непознато,Ж,103
2013,Број,Цазин,Непознато,Ж,445
2013,Број,centar_sarajevo,Непознато,Ж,158
2013,Број,Чапљина,Непознато,Ж,248
2013,Број,Челић,Непознато,Ж,67
2013,Број,Читлук,Непознато,Ж,184
2013,Број,doboj-istok,Непознато,Ж,48
2013,Број,doboj-jug,Непознато,Ж,32
2013,Број,Добретићи,Непознато,Ж,10
2013,Број,domaljevac-samac,Непознато,Ж,32
2013,Број,Доњи Вакуф,Непознато,Ж,105
2013,Број,Дрвар,Непознато,Ж,35
2013,Број,foca-fbih,Непознато,Ж,5
2013,Број,Фојница,Непознато,Ж,201
2013,Број,Гламоч,Непознато,Ж,27
2013,Број,Горажде,Непознато,Ж,105
2013,Број,gornji_vakuf-uskoplje,Непознато,Ж,267
2013,Број,Грачаница,Непознато,Ж,281
2013,Број,Градачац,Непознато,Ж,206
2013,Број,Груде,Непознато,Ж,135
2013,Број,hadzici,Непознато,Ж,130
2013,Број,ilidza,Непознато,Ж,269
2013,Број,ilijas,Непознато,Ж,77
2013,Број,Јабланица,Непознато,Ж,37
2013,Број,Јајце,Непознато,Ж,298
2013,Број,Какањ,Непознато,Ж,210
2013,Број,Калесија,Непознато,Ж,286
2013,Број,Кисељак,Непознато,Ж,135
2013,Број,Кладањ,Непознато,Ж,66
2013,Број,Кључ,Непознато,Ж,102
2013,Број,Коњиц,Непознато,Ж,222
2013,Број,Крешево,Непознато,Ж,35
2013,Број,kupres-fbih,Непознато,Ж,34
2013,Број,Ливно,Непознато,Ж,215
2013,Број,Лукавац,Непознато,Ж,225
2013,Број,Љубушки,Непознато,Ж,197
2013,Број,Маглај,Непознато,Ж,167
2013,Број,Мостар,Непознато,Ж,594
2013,Број,Неум,Непознато,Ж,27
2013,Број,novi_grad_sarajevo,Непознато,Ж,425
2013,Број,Нови Травник,Непознато,Ж,222
2013,Број,novo_sarajevo,Непознато,Ж,153
2013,Број,Оџак,Непознато,Ж,171
2013,Број,Олово,Непознато,Ж,101
2013,Број,Орашје,Непознато,Ж,153
2013,Број,pale-fbih,Непознато,Ж,3
2013,Број,Посушје,Непознато,Ж,142
2013,Број,Прозор,Непознато,Ж,194
2013,Број,Равно,Непознато,Ж,24
2013,Број,Сански Мост,Непознато,Ж,321
2013,Број,Сапна,Непознато,Ж,67
2013,Број,Сребреник,Непознато,Ж,329
2013,Број,stari_grad_sarajevo,Непознато,Ж,124
2013,Број,Столац,Непознато,Ж,100
2013,Број,Широки Бријег,Непознато,Ж,261
2013,Број,Теочак,Непознато,Ж,36
2013,Број,Тешањ,Непознато,Ж,220
2013,Број,Томиславград,Непознато,Ж,222
