Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2022,Broj,Srednjobosanska županija,M,1199
2010,Broj,Srednjobosanska županija,Ž,2076
2011,Broj,Srednjobosanska županija,Ž,2039
2012,Broj,Srednjobosanska županija,Ž,1744
2013,Broj,Srednjobosanska županija,Ž,1702
2014,Broj,Srednjobosanska županija,Ž,1528
2015,Broj,Srednjobosanska županija,Ž,1538
2016,Broj,Srednjobosanska županija,Ž,1255
2017,Broj,Srednjobosanska županija,Ž,1423
2018,Broj,Srednjobosanska županija,Ž,480
2019,Broj,Srednjobosanska županija,Ž,1285
2020,Broj,Srednjobosanska županija,Ž,1227
2021,Broj,Srednjobosanska županija,Ž,1186
2022,Broj,Srednjobosanska županija,Ž,1096
2010,Broj,Hercegovačko-neretvanska županija,Oba spola,3256
2011,Broj,Hercegovačko-neretvanska županija,Oba spola,3141
2012,Broj,Hercegovačko-neretvanska županija,Oba spola,2959
2013,Broj,Hercegovačko-neretvanska županija,Oba spola,2527
2014,Broj,Hercegovačko-neretvanska županija,Oba spola,2019
2015,Broj,Hercegovačko-neretvanska županija,Oba spola,2321
2016,Broj,Hercegovačko-neretvanska županija,Oba spola,2493
2017,Broj,Hercegovačko-neretvanska županija,Oba spola,2518
2018,Broj,Hercegovačko-neretvanska županija,Oba spola,1737
2019,Broj,Hercegovačko-neretvanska županija,Oba spola,2084
2020,Broj,Hercegovačko-neretvanska županija,Oba spola,1906
2021,Broj,Hercegovačko-neretvanska županija,Oba spola,1813
2022,Broj,Hercegovačko-neretvanska županija,Oba spola,1765
2010,Broj,Hercegovačko-neretvanska županija,M,1617
2011,Broj,Hercegovačko-neretvanska županija,M,1638
2012,Broj,Hercegovačko-neretvanska županija,M,1597
2013,Broj,Hercegovačko-neretvanska županija,M,1249
2014,Broj,Hercegovačko-neretvanska županija,M,996
2015,Broj,Hercegovačko-neretvanska županija,M,1208
2016,Broj,Hercegovačko-neretvanska županija,M,1284
2017,Broj,Hercegovačko-neretvanska županija,M,1250
2018,Broj,Hercegovačko-neretvanska županija,M,909
2019,Broj,Hercegovačko-neretvanska županija,M,1055
2020,Broj,Hercegovačko-neretvanska županija,M,959
2021,Broj,Hercegovačko-neretvanska županija,M,941
2022,Broj,Hercegovačko-neretvanska županija,M,961
2010,Broj,Hercegovačko-neretvanska županija,Ž,1639
2011,Broj,Hercegovačko-neretvanska županija,Ž,1503
2012,Broj,Hercegovačko-neretvanska županija,Ž,1362
2013,Broj,Hercegovačko-neretvanska županija,Ž,1278
2014,Broj,Hercegovačko-neretvanska županija,Ž,1023
2015,Broj,Hercegovačko-neretvanska županija,Ž,1113
2016,Broj,Hercegovačko-neretvanska županija,Ž,1209
2017,Broj,Hercegovačko-neretvanska županija,Ž,1268
2018,Broj,Hercegovačko-neretvanska županija,Ž,828
2019,Broj,Hercegovačko-neretvanska županija,Ž,1029
2020,Broj,Hercegovačko-neretvanska županija,Ž,947
2021,Broj,Hercegovačko-neretvanska županija,Ž,872
2022,Broj,Hercegovačko-neretvanska županija,Ž,804
2010,Broj,Zapadno-hercegovačka županija,Oba spola,1280
2011,Broj,Zapadno-hercegovačka županija,Oba spola,1226
2012,Broj,Zapadno-hercegovačka županija,Oba spola,1346
2013,Broj,Zapadno-hercegovačka županija,Oba spola,1291
2014,Broj,Zapadno-hercegovačka županija,Oba spola,1154
2015,Broj,Zapadno-hercegovačka županija,Oba spola,1080
2016,Broj,Zapadno-hercegovačka županija,Oba spola,1285
2017,Broj,Zapadno-hercegovačka županija,Oba spola,1490
2018,Broj,Zapadno-hercegovačka županija,Oba spola,681
2019,Broj,Zapadno-hercegovačka županija,Oba spola,827
2020,Broj,Zapadno-hercegovačka županija,Oba spola,916
2021,Broj,Zapadno-hercegovačka županija,Oba spola,957
2022,Broj,Zapadno-hercegovačka županija,Oba spola,831
2010,Broj,Zapadno-hercegovačka županija,M,670
2011,Broj,Zapadno-hercegovačka županija,M,632
2012,Broj,Zapadno-hercegovačka županija,M,676
2013,Broj,Zapadno-hercegovačka županija,M,630
2014,Broj,Zapadno-hercegovačka županija,M,562
2015,Broj,Zapadno-hercegovačka županija,M,566
2016,Broj,Zapadno-hercegovačka županija,M,633
2017,Broj,Zapadno-hercegovačka županija,M,766
2018,Broj,Zapadno-hercegovačka županija,M,372
2019,Broj,Zapadno-hercegovačka županija,M,417
2020,Broj,Zapadno-hercegovačka županija,M,475
2021,Broj,Zapadno-hercegovačka županija,M,469
2022,Broj,Zapadno-hercegovačka županija,M,471
2010,Broj,Zapadno-hercegovačka županija,Ž,610
2011,Broj,Zapadno-hercegovačka županija,Ž,594
2012,Broj,Zapadno-hercegovačka županija,Ž,670
2013,Broj,Zapadno-hercegovačka županija,Ž,661
2014,Broj,Zapadno-hercegovačka županija,Ž,592
2015,Broj,Zapadno-hercegovačka županija,Ž,514
2016,Broj,Zapadno-hercegovačka županija,Ž,652
2017,Broj,Zapadno-hercegovačka županija,Ž,724
2018,Broj,Zapadno-hercegovačka županija,Ž,309
2019,Broj,Zapadno-hercegovačka županija,Ž,410
2020,Broj,Zapadno-hercegovačka županija,Ž,441
2021,Broj,Zapadno-hercegovačka županija,Ž,488
2022,Broj,Zapadno-hercegovačka županija,Ž,360
2010,Broj,Sarajevska županija,Oba spola,5433
2011,Broj,Sarajevska županija,Oba spola,5900
2012,Broj,Sarajevska županija,Oba spola,4730
2013,Broj,Sarajevska županija,Oba spola,2612
2014,Broj,Sarajevska županija,Oba spola,4486
2015,Broj,Sarajevska županija,Oba spola,4183
2016,Broj,Sarajevska županija,Oba spola,3897
2017,Broj,Sarajevska županija,Oba spola,3900
2018,Broj,Sarajevska županija,Oba spola,3926
2019,Broj,Sarajevska županija,Oba spola,3838
2020,Broj,Sarajevska županija,Oba spola,3704
2021,Broj,Sarajevska županija,Oba spola,3890
2022,Broj,Sarajevska županija,Oba spola,3957
2010,Broj,Sarajevska županija,M,2777
2011,Broj,Sarajevska županija,M,2990
2012,Broj,Sarajevska županija,M,2453
2013,Broj,Sarajevska županija,M,1335
2014,Broj,Sarajevska županija,M,2299
