Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,velika_kladusa,M,eyesight,783
2013,NUMBER,visoko,M,eyesight,468
2013,NUMBER,vitez,M,eyesight,431
2013,NUMBER,vogosca,M,eyesight,428
2013,NUMBER,zavidovici,M,eyesight,626
2013,NUMBER,zenica,M,eyesight,1560
2013,NUMBER,zepce,M,eyesight,413
2013,NUMBER,zivinice,M,eyesight,1124
2013,NUMBER,banovici,F,eyesight,475
2013,NUMBER,bihac,F,eyesight,1223
2013,NUMBER,bosanska_krupa,F,eyesight,649
2013,NUMBER,bosanski_petrovac,F,eyesight,146
2013,NUMBER,bosansko_grahovo,F,eyesight,94
2013,NUMBER,breza,F,eyesight,281
2013,NUMBER,bugojno,F,eyesight,536
2013,NUMBER,busovaca,F,eyesight,286
2013,NUMBER,buzim,F,eyesight,229
2013,NUMBER,cazin,F,eyesight,1015
2013,NUMBER,centar_sarajevo,F,eyesight,1116
2013,NUMBER,capljina,F,eyesight,395
2013,NUMBER,celic,F,eyesight,334
2013,NUMBER,citluk,F,eyesight,232
2013,NUMBER,doboj-istok,F,eyesight,190
2013,NUMBER,doboj-jug,F,eyesight,76
2013,NUMBER,dobretici,F,eyesight,34
2013,NUMBER,domaljevac-samac,F,eyesight,122
2013,NUMBER,donji_vakuf,F,eyesight,278
2013,NUMBER,drvar,F,eyesight,311
2013,NUMBER,foca-fbih,F,eyesight,40
2013,NUMBER,fojnica,F,eyesight,316
2013,NUMBER,glamoc,F,eyesight,148
2013,NUMBER,gorazde,F,eyesight,538
2013,NUMBER,gornji_vakuf-uskoplje,F,eyesight,328
2013,NUMBER,gracanica,F,eyesight,818
2013,NUMBER,gradacac,F,eyesight,695
2013,NUMBER,grude,F,eyesight,216
2013,NUMBER,hadzici,F,eyesight,523
2013,NUMBER,ilidza,F,eyesight,1197
2013,NUMBER,ilijas,F,eyesight,443
2013,NUMBER,jablanica,F,eyesight,153
2013,NUMBER,jajce,F,eyesight,524
2013,NUMBER,kakanj,F,eyesight,588
2013,NUMBER,kalesija,F,eyesight,792
2013,NUMBER,kiseljak,F,eyesight,352
2013,NUMBER,kladanj,F,eyesight,251
2013,NUMBER,kljuc,F,eyesight,233
2013,NUMBER,konjic,F,eyesight,490
2013,NUMBER,kresevo,F,eyesight,101
2013,NUMBER,kupres-fbih,F,eyesight,92
2013,NUMBER,livno,F,eyesight,343
2013,NUMBER,lukavac,F,eyesight,1363
2013,NUMBER,ljubuski,F,eyesight,398
2013,NUMBER,maglaj,F,eyesight,572
2013,NUMBER,mostar,F,eyesight,1604
2013,NUMBER,neum,F,eyesight,63
2013,NUMBER,novi_grad_sarajevo,F,eyesight,2491
2013,NUMBER,novi_travnik,F,eyesight,454
2013,NUMBER,novo_sarajevo,F,eyesight,1146
2013,NUMBER,odzak,F,eyesight,272
2013,NUMBER,olovo,F,eyesight,271
2013,NUMBER,orasje,F,eyesight,400
2013,NUMBER,pale-fbih,F,eyesight,33
2013,NUMBER,posusje,F,eyesight,181
2013,NUMBER,prozor,F,eyesight,136
2013,NUMBER,ravno,F,eyesight,25
2013,NUMBER,sanski_most,F,eyesight,507
2013,NUMBER,sapna,F,eyesight,124
2013,NUMBER,srebrenik,F,eyesight,1082
2013,NUMBER,stari_grad_sarajevo,F,eyesight,959
2013,NUMBER,stolac,F,eyesight,209
2013,NUMBER,siroki_brijeg,F,eyesight,278
2013,NUMBER,teocak,F,eyesight,116
2013,NUMBER,tesanj,F,eyesight,769
2013,NUMBER,tomislavgrad,F,eyesight,198
2013,NUMBER,travnik,F,eyesight,965
2013,NUMBER,trnovo-fbih,F,eyesight,42
2013,NUMBER,tuzla,F,eyesight,3412
2013,NUMBER,usora,F,eyesight,94
2013,NUMBER,vares,F,eyesight,326
2013,NUMBER,velika_kladusa,F,eyesight,1004
2013,NUMBER,visoko,F,eyesight,621
2013,NUMBER,vitez,F,eyesight,540
2013,NUMBER,vogosca,F,eyesight,621
2013,NUMBER,zavidovici,F,eyesight,849
2013,NUMBER,zenica,F,eyesight,2146
2013,NUMBER,zepce,F,eyesight,561
2013,NUMBER,zivinice,F,eyesight,1632
2013,NUMBER,banovici,_T,hearing,357
2013,NUMBER,bihac,_T,hearing,1189
2013,NUMBER,bosanska_krupa,_T,hearing,651
2013,NUMBER,bosanski_petrovac,_T,hearing,188
2013,NUMBER,bosansko_grahovo,_T,hearing,84
2013,NUMBER,breza,_T,hearing,256
2013,NUMBER,bugojno,_T,hearing,551
2013,NUMBER,busovaca,_T,hearing,311
2013,NUMBER,buzim,_T,hearing,341
2013,NUMBER,cazin,_T,hearing,1107
2013,NUMBER,centar_sarajevo,_T,hearing,1049
2013,NUMBER,capljina,_T,hearing,442
2013,NUMBER,celic,_T,hearing,274
2013,NUMBER,citluk,_T,hearing,304
2013,NUMBER,doboj-istok,_T,hearing,233
2013,NUMBER,doboj-jug,_T,hearing,74
2013,NUMBER,dobretici,_T,hearing,48
2013,NUMBER,domaljevac-samac,_T,hearing,104
2013,NUMBER,donji_vakuf,_T,hearing,267
2013,NUMBER,drvar,_T,hearing,261
2013,NUMBER,foca-fbih,_T,hearing,50
2013,NUMBER,fojnica,_T,hearing,270
2013,NUMBER,glamoc,_T,hearing,160
2013,NUMBER,gorazde,_T,hearing,585
2013,NUMBER,gornji_vakuf-uskoplje,_T,hearing,361
2013,NUMBER,gracanica,_T,hearing,728
2013,NUMBER,gradacac,_T,hearing,674
2013,NUMBER,grude,_T,hearing,265
2013,NUMBER,hadzici,_T,hearing,528
2013,NUMBER,ilidza,_T,hearing,1185
2013,NUMBER,ilijas,_T,hearing,382
2013,NUMBER,jablanica,_T,hearing,192
2013,NUMBER,jajce,_T,hearing,494
2013,NUMBER,kakanj,_T,hearing,590
2013,NUMBER,kalesija,_T,hearing,626
2013,NUMBER,kiseljak,_T,hearing,351
2013,NUMBER,kladanj,_T,hearing,246
2013,NUMBER,kljuc,_T,hearing,226
2013,NUMBER,konjic,_T,hearing,491
2013,NUMBER,kresevo,_T,hearing,122
2013,NUMBER,kupres-fbih,_T,hearing,110
2013,NUMBER,livno,_T,hearing,448
2013,NUMBER,lukavac,_T,hearing,1252
2013,NUMBER,ljubuski,_T,hearing,414
2013,NUMBER,maglaj,_T,hearing,500
2013,NUMBER,mostar,_T,hearing,1743
2013,NUMBER,neum,_T,hearing,76
