Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2013,Broj,Hercegovačko-neretvanska županija,Oba spola,2952
2014,Broj,Hercegovačko-neretvanska županija,Oba spola,3088
2015,Broj,Hercegovačko-neretvanska županija,Oba spola,2767
2016,Broj,Hercegovačko-neretvanska županija,Oba spola,2774
2017,Broj,Hercegovačko-neretvanska županija,Oba spola,2918
2018,Broj,Hercegovačko-neretvanska županija,Oba spola,2622
2019,Broj,Hercegovačko-neretvanska županija,Oba spola,3082
2020,Broj,Hercegovačko-neretvanska županija,Oba spola,2612
2021,Broj,Hercegovačko-neretvanska županija,Oba spola,2867
2022,Broj,Hercegovačko-neretvanska županija,Oba spola,2242
2010,Broj,Hercegovačko-neretvanska županija,M,719
2011,Broj,Hercegovačko-neretvanska županija,M,823
2012,Broj,Hercegovačko-neretvanska županija,M,815
2013,Broj,Hercegovačko-neretvanska županija,M,873
2014,Broj,Hercegovačko-neretvanska županija,M,982
2015,Broj,Hercegovačko-neretvanska županija,M,929
2016,Broj,Hercegovačko-neretvanska županija,M,935
2017,Broj,Hercegovačko-neretvanska županija,M,910
2018,Broj,Hercegovačko-neretvanska županija,M,879
2019,Broj,Hercegovačko-neretvanska županija,M,1024
2020,Broj,Hercegovačko-neretvanska županija,M,783
2021,Broj,Hercegovačko-neretvanska županija,M,903
2022,Broj,Hercegovačko-neretvanska županija,M,739
2010,Broj,Hercegovačko-neretvanska županija,Ž,1419
2011,Broj,Hercegovačko-neretvanska županija,Ž,1598
2012,Broj,Hercegovačko-neretvanska županija,Ž,1607
2013,Broj,Hercegovačko-neretvanska županija,Ž,2079
2014,Broj,Hercegovačko-neretvanska županija,Ž,2106
2015,Broj,Hercegovačko-neretvanska županija,Ž,1838
2016,Broj,Hercegovačko-neretvanska županija,Ž,1839
2017,Broj,Hercegovačko-neretvanska županija,Ž,2008
2018,Broj,Hercegovačko-neretvanska županija,Ž,1743
2019,Broj,Hercegovačko-neretvanska županija,Ž,2058
2020,Broj,Hercegovačko-neretvanska županija,Ž,1829
2021,Broj,Hercegovačko-neretvanska županija,Ž,1964
2022,Broj,Hercegovačko-neretvanska županija,Ž,1503
2010,Broj,Zapadno-hercegovačka županija,Oba spola,19
2011,Broj,Zapadno-hercegovačka županija,Oba spola,13
2012,Broj,Zapadno-hercegovačka županija,Oba spola,19
2013,Broj,Zapadno-hercegovačka županija,Oba spola,17
2014,Broj,Zapadno-hercegovačka županija,Oba spola,9
2015,Broj,Zapadno-hercegovačka županija,Oba spola,16
2016,Broj,Zapadno-hercegovačka županija,Oba spola,15
2017,Broj,Zapadno-hercegovačka županija,Oba spola,25
2018,Broj,Zapadno-hercegovačka županija,Oba spola,16
2019,Broj,Zapadno-hercegovačka županija,Oba spola,6
2020,Broj,Zapadno-hercegovačka županija,Oba spola,17
2021,Broj,Zapadno-hercegovačka županija,Oba spola,31
2022,Broj,Zapadno-hercegovačka županija,Oba spola,27
2010,Broj,Zapadno-hercegovačka županija,M,6
