Year,UNIT_MEASURE,Općina,Spol,Vrsta poteškoće,Value
2013,Broj,Široki Brijeg,M,"Vid, iako nosi naočare",180
2013,Broj,Teočak,M,"Vid, iako nosi naočare",95
2013,Broj,Tešanj,M,"Vid, iako nosi naočare",549
2013,Broj,Tomislavgrad,M,"Vid, iako nosi naočare",167
2013,Broj,Travnik,M,"Vid, iako nosi naočare",731
2013,Broj,Trnovo-FBiH,M,"Vid, iako nosi naočare",32
2013,Broj,Tuzla,M,"Vid, iako nosi naočare",2096
2013,Broj,Usora,M,"Vid, iako nosi naočare",55
2013,Broj,Vareš,M,"Vid, iako nosi naočare",206
2013,Broj,Velika Kladuša,M,"Vid, iako nosi naočare",783
2013,Broj,Visoko,M,"Vid, iako nosi naočare",468
2013,Broj,Vitez,M,"Vid, iako nosi naočare",431
2013,Broj,Sarajevo-Vogošća,M,"Vid, iako nosi naočare",428
2013,Broj,Zavidovići,M,"Vid, iako nosi naočare",626
2013,Broj,Zenica,M,"Vid, iako nosi naočare",1560
2013,Broj,Žepče,M,"Vid, iako nosi naočare",413
2013,Broj,Živinice,M,"Vid, iako nosi naočare",1124
2013,Broj,Banovići,Ž,"Vid, iako nosi naočare",475
2013,Broj,Bihać,Ž,"Vid, iako nosi naočare",1223
2013,Broj,Bosanska Krupa,Ž,"Vid, iako nosi naočare",649
2013,Broj,Bosanski Petrovac,Ž,"Vid, iako nosi naočare",146
2013,Broj,Bosansko Grahovo,Ž,"Vid, iako nosi naočare",94
2013,Broj,Breza,Ž,"Vid, iako nosi naočare",281
2013,Broj,Bugojno,Ž,"Vid, iako nosi naočare",536
2013,Broj,Busovača,Ž,"Vid, iako nosi naočare",286
2013,Broj,Bužim,Ž,"Vid, iako nosi naočare",229
2013,Broj,Cazin,Ž,"Vid, iako nosi naočare",1015
2013,Broj,Sarajevo-Centar,Ž,"Vid, iako nosi naočare",1116
2013,Broj,Čapljina,Ž,"Vid, iako nosi naočare",395
2013,Broj,Čelić,Ž,"Vid, iako nosi naočare",334
2013,Broj,Čitluk,Ž,"Vid, iako nosi naočare",232
2013,Broj,Doboj-Istok,Ž,"Vid, iako nosi naočare",190
2013,Broj,Doboj-Jug,Ž,"Vid, iako nosi naočare",76
2013,Broj,Dobretići,Ž,"Vid, iako nosi naočare",34
2013,Broj,Domaljevac-Šamac,Ž,"Vid, iako nosi naočare",122
2013,Broj,Donji Vakuf,Ž,"Vid, iako nosi naočare",278
2013,Broj,Drvar,Ž,"Vid, iako nosi naočare",311
2013,Broj,Foča-FBiH,Ž,"Vid, iako nosi naočare",40
2013,Broj,Fojnica,Ž,"Vid, iako nosi naočare",316
2013,Broj,Glamoč,Ž,"Vid, iako nosi naočare",148
2013,Broj,Goražde,Ž,"Vid, iako nosi naočare",538
2013,Broj,Gornji Vakuf-Uskoplje,Ž,"Vid, iako nosi naočare",328
2013,Broj,Gračanica,Ž,"Vid, iako nosi naočare",818
2013,Broj,Gradačac,Ž,"Vid, iako nosi naočare",695
2013,Broj,Grude,Ž,"Vid, iako nosi naočare",216
2013,Broj,Sarajevo-Hadžići,Ž,"Vid, iako nosi naočare",523
2013,Broj,Sarajevo-Ilidža,Ž,"Vid, iako nosi naočare",1197
2013,Broj,Sarajevo-Ilijaš,Ž,"Vid, iako nosi naočare",443
2013,Broj,Jablanica,Ž,"Vid, iako nosi naočare",153
2013,Broj,Jajce,Ž,"Vid, iako nosi naočare",524
2013,Broj,Kakanj,Ž,"Vid, iako nosi naočare",588
2013,Broj,Kalesija,Ž,"Vid, iako nosi naočare",792
2013,Broj,Kiseljak,Ž,"Vid, iako nosi naočare",352
2013,Broj,Kladanj,Ž,"Vid, iako nosi naočare",251
2013,Broj,Ključ,Ž,"Vid, iako nosi naočare",233
2013,Broj,Konjic,Ž,"Vid, iako nosi naočare",490
2013,Broj,Kreševo,Ž,"Vid, iako nosi naočare",101
2013,Broj,Kupres-FBiH,Ž,"Vid, iako nosi naočare",92
2013,Broj,Livno,Ž,"Vid, iako nosi naočare",343
2013,Broj,Lukavac,Ž,"Vid, iako nosi naočare",1363
2013,Broj,Ljubuški,Ž,"Vid, iako nosi naočare",398
2013,Broj,Maglaj,Ž,"Vid, iako nosi naočare",572
2013,Broj,Mostar,Ž,"Vid, iako nosi naočare",1604
2013,Broj,Neum,Ž,"Vid, iako nosi naočare",63
2013,Broj,Sarajevo-Novi Grad,Ž,"Vid, iako nosi naočare",2491
2013,Broj,Novi Travnik,Ž,"Vid, iako nosi naočare",454
2013,Broj,Sarajevo-Novo Sarajevo,Ž,"Vid, iako nosi naočare",1146
2013,Broj,Odžak,Ž,"Vid, iako nosi naočare",272
2013,Broj,Olovo,Ž,"Vid, iako nosi naočare",271
2013,Broj,Orašje,Ž,"Vid, iako nosi naočare",400
2013,Broj,Pale-FBiH,Ž,"Vid, iako nosi naočare",33
2013,Broj,Posušje,Ž,"Vid, iako nosi naočare",181
2013,Broj,Prozor,Ž,"Vid, iako nosi naočare",136
2013,Broj,Ravno,Ž,"Vid, iako nosi naočare",25
2013,Broj,Sanski Most,Ž,"Vid, iako nosi naočare",507
2013,Broj,Sapna,Ž,"Vid, iako nosi naočare",124
2013,Broj,Srebrenik,Ž,"Vid, iako nosi naočare",1082
