Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Maglaj,2,1858
2023,Broj,Olovo,2,919
2023,Broj,Tešanj,2,2857
2023,Broj,Usora,2,397
2023,Broj,Vareš,2,996
2023,Broj,Visoko,2,2945
2023,Broj,Zavidovići,2,3024
2023,Broj,Zenica,2,9980
2023,Broj,Žepče,2,1796
2023,Broj,Bosansko-podrinjska županija,2,2413
2023,Broj,Foča-FBiH,2,211
2023,Broj,Goražde,2,2101
2023,Broj,Pale-FBiH,2,101
2023,Broj,Srednjobosanska županija,2,16738
2023,Broj,Bugojno,2,1991
2023,Broj,Busovača,2,1156
2023,Broj,Dobretići,2,112
2023,Broj,Donji Vakuf,2,843
2023,Broj,Fojnica,2,954
2023,Broj,Gornji Vakuf-Uskoplje,2,1030
2023,Broj,Jajce,2,1683
2023,Broj,Kiseljak,2,1636
2023,Broj,Kreševo,2,426
2023,Broj,Novi Travnik,2,1518
2023,Broj,Travnik,2,3618
2023,Broj,Vitez,2,1771
2023,Broj,Hercegovačko-neretvanska županija,2,14958
2023,Broj,Čapljina,2,1653
2023,Broj,Čitluk,2,846
2023,Broj,Mostar,2,7817
2023,Broj,Jablanica,2,718
2023,Broj,Konjic,2,2047
2023,Broj,Neum,2,312
2023,Broj,Prozor,2,640
2023,Broj,Ravno,2,197
2023,Broj,Stolac,2,728
2023,Broj,Zapadno-hercegovačka županija,2,4584
2023,Broj,Grude,2,843
2023,Broj,Ljubuški,2,1323
2023,Broj,Posušje,2,832
2023,Broj,Široki Brijeg,2,1586
2023,Broj,Sarajevska županija,2,38480
2023,Broj,Sarajevo-Centar,2,5977
2023,Broj,Sarajevo-Hadžići,2,1673
2023,Broj,Sarajevo-Ilidža,2,5455
2023,Broj,Sarajevo-Ilijaš,2,1516
2023,Broj,Sarajevo-Novi Grad,2,10926
2023,Broj,Sarajevo-Novo Sarajevo,2,7065
2023,Broj,Sarajevo-Stari Grad,2,3523
2023,Broj,Trnovo-FBiH,2,246
2023,Broj,Sarajevo-Vogošća,2,2099
2023,Broj,Županija 10,2,4933
2023,Broj,Bosansko Grahovo,2,335
2023,Broj,Drvar,2,940
2023,Broj,Glamoč,2,439
2023,Broj,kupres,2,311
2023,Broj,Livno,2,1728
2023,Broj,Tomislavgrad,2,1180
2023,Broj,Federacija Bosne i Hercegovine,3,148905
2023,Broj,Unsko-sanska županija,3,14714
2023,Broj,Bihać,3,3833
2023,Broj,Bosanska Krupa,3,1460
2023,Broj,Bosanski Petrovac,3,485
2023,Broj,Bužim,3,615
2023,Broj,Cazin,3,3075
2023,Broj,Ključ,3,929
2023,Broj,Sanski Most,3,2089
2023,Broj,Velika Kladuša,3,2228
2023,Broj,Posavska županija,3,2366
2023,Broj,Domaljevac-Šamac,3,202
2023,Broj,Odžak,3,1016
2023,Broj,Orašje,3,1148
2023,Broj,Tuzlanska županija,3,34556
2023,Broj,Banovići,3,1978
2023,Broj,Čelić,3,573
2023,Broj,Doboj-Istok,3,750
2023,Broj,Gračanica,3,3624
2023,Broj,Gradačac,3,2382
2023,Broj,Kalesija,3,2034
2023,Broj,Kladanj,3,822
2023,Broj,Lukavac,3,4194
2023,Broj,Sapna,3,497
2023,Broj,Srebrenik,3,2980
2023,Broj,Teočak,3,348
2023,Broj,Tuzla,3,9991
2023,Broj,Živinice,3,4383
2023,Broj,Zeničko-dobojska županija,3,27207
2023,Broj,Breza,3,1221
2023,Broj,Doboj-Jug,3,322
2023,Broj,Kakanj,3,2667
2023,Broj,Maglaj,3,1671
2023,Broj,Olovo,3,789
2023,Broj,Tešanj,3,2991
2023,Broj,Usora,3,318
2023,Broj,Vareš,3,739
2023,Broj,Visoko,3,2933
2023,Broj,Zavidovići,3,2792
2023,Broj,Zenica,3,9052
2023,Broj,Žepče,3,1712
2023,Broj,Bosansko-podrinjska županija,3,1732
2023,Broj,Foča-FBiH,3,108
2023,Broj,Goražde,3,1590
2023,Broj,Pale-FBiH,3,34
2023,Broj,Srednjobosanska županija,3,15345
2023,Broj,Bugojno,3,1770
2023,Broj,Busovača,3,1209
2023,Broj,Dobretići,3,73
2023,Broj,Donji Vakuf,3,829
2023,Broj,Fojnica,3,814
2023,Broj,Gornji Vakuf-Uskoplje,3,994
2023,Broj,Jajce,3,1438
2023,Broj,Kiseljak,3,1355
2023,Broj,Kreševo,3,330
2023,Broj,Novi Travnik,3,1526
2023,Broj,Travnik,3,3355
2023,Broj,Vitez,3,1652
2023,Broj,Hercegovačko-neretvanska županija,3,13109
2023,Broj,Čapljina,3,1426
2023,Broj,Čitluk,3,760
2023,Broj,Mostar,3,6904
2023,Broj,Jablanica,3,679
2023,Broj,Konjic,3,1676
2023,Broj,Neum,3,230
2023,Broj,Prozor,3,569
2023,Broj,Ravno,3,165
2023,Broj,Stolac,3,700
2023,Broj,Zapadno-hercegovačka županija,3,3831
2023,Broj,Grude,3,630
2023,Broj,Ljubuški,3,1126
2023,Broj,Posušje,3,810
2023,Broj,Široki Brijeg,3,1265
2023,Broj,Sarajevska županija,3,32297
2023,Broj,Sarajevo-Centar,3,4414
2023,Broj,Sarajevo-Hadžići,3,1608
