Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Kreševo,Troje djece,408
2013,Broj,Kupres-FBiH,Troje djece,365
2013,Broj,Livno,Troje djece,2986
2013,Broj,Lukavac,Troje djece,2140
2013,Broj,Ljubuški,Troje djece,2364
2013,Broj,Maglaj,Troje djece,1449
2013,Broj,Mostar,Troje djece,7025
2013,Broj,Neum,Troje djece,391
2013,Broj,Sarajevo-Novi Grad,Troje djece,5446
2013,Broj,Novi Travnik,Troje djece,1666
2013,Broj,Sarajevo-Novo Sarajevo,Troje djece,2461
2013,Broj,Odžak,Troje djece,1278
2013,Broj,Olovo,Troje djece,701
2013,Broj,Orašje,Troje djece,1289
2013,Broj,Pale-FBiH,Troje djece,81
2013,Broj,Posušje,Troje djece,1381
2013,Broj,Prozor,Troje djece,980
2013,Broj,Ravno,Troje djece,250
2013,Broj,Sanski Most,Troje djece,2676
2013,Broj,Sapna,Troje djece,861
2013,Broj,Srebrenik,Troje djece,2583
2013,Broj,Sarajevo-Stari Grad,Troje djece,1872
2013,Broj,Stolac,Troje djece,1128
2013,Broj,Široki Brijeg,Troje djece,2251
2013,Broj,Teočak,Troje djece,570
2013,Broj,Tešanj,Troje djece,3056
2013,Broj,Tomislavgrad,Troje djece,2425
2013,Broj,Travnik,Troje djece,3736
2013,Broj,Trnovo-FBiH,Troje djece,127
2013,Broj,Tuzla,Troje djece,4790
2013,Broj,Usora,Troje djece,496
2013,Broj,Vareš,Troje djece,667
2013,Broj,Velika Kladuša,Troje djece,2370
2013,Broj,Visoko,Troje djece,2483
2013,Broj,Vitez,Troje djece,2000
2013,Broj,Sarajevo-Vogošća,Troje djece,1423
2013,Broj,Zavidovići,Troje djece,2375
2013,Broj,Zenica,Troje djece,6404
2013,Broj,Žepče,Troje djece,2067
2013,Broj,Živinice,Troje djece,3494
2013,Broj,Banovići,Četvero djece,393
2013,Broj,Bihać,Četvero djece,1419
2013,Broj,Bosanska Krupa,Četvero djece,797
2013,Broj,Bosanski Petrovac,Četvero djece,162
2013,Broj,Bosansko Grahovo,Četvero djece,70
2013,Broj,Breza,Četvero djece,189
2013,Broj,Bugojno,Četvero djece,952
2013,Broj,Busovača,Četvero djece,598
2013,Broj,Bužim,Četvero djece,619
2013,Broj,Cazin,Četvero djece,1811
2013,Broj,Sarajevo-Centar,Četvero djece,549
2013,Broj,Čapljina,Četvero djece,864
2013,Broj,Čelić,Četvero djece,305
2013,Broj,Čitluk,Četvero djece,792
2013,Broj,Doboj-Istok,Četvero djece,239
2013,Broj,Doboj-Jug,Četvero djece,83
2013,Broj,Dobretići,Četvero djece,53
2013,Broj,Domaljevac-Šamac,Četvero djece,130
2013,Broj,Donji Vakuf,Četvero djece,466
2013,Broj,Drvar,Četvero djece,102
2013,Broj,Foča-FBiH,Četvero djece,81
2013,Broj,Fojnica,Četvero djece,377
2013,Broj,Glamoč,Četvero djece,148
2013,Broj,Goražde,Četvero djece,484
2013,Broj,Gornji Vakuf-Uskoplje,Četvero djece,770
2013,Broj,Gračanica,Četvero djece,953
2013,Broj,Gradačac,Četvero djece,805
2013,Broj,Grude,Četvero djece,735
2013,Broj,Sarajevo-Hadžići,Četvero djece,475
2013,Broj,Sarajevo-Ilidža,Četvero djece,1168
2013,Broj,Sarajevo-Ilijaš,Četvero djece,494
2013,Broj,Jablanica,Četvero djece,273
2013,Broj,Jajce,Četvero djece,902
2013,Broj,Kakanj,Četvero djece,1001
2013,Broj,Kalesija,Četvero djece,757
2013,Broj,Kiseljak,Četvero djece,548
2013,Broj,Kladanj,Četvero djece,302
2013,Broj,Ključ,Četvero djece,536
2013,Broj,Konjic,Četvero djece,696
2013,Broj,Kreševo,Četvero djece,174
2013,Broj,Kupres-FBiH,Četvero djece,192
2013,Broj,Livno,Četvero djece,1309
2013,Broj,Lukavac,Četvero djece,717
2013,Broj,Ljubuški,Četvero djece,1105
2013,Broj,Maglaj,Četvero djece,540
2013,Broj,Mostar,Četvero djece,2270
2013,Broj,Neum,Četvero djece,185
2013,Broj,Sarajevo-Novi Grad,Četvero djece,1594
2013,Broj,Novi Travnik,Četvero djece,729
2013,Broj,Sarajevo-Novo Sarajevo,Četvero djece,590
2013,Broj,Odžak,Četvero djece,416
2013,Broj,Olovo,Četvero djece,289
2013,Broj,Orašje,Četvero djece,590
2013,Broj,Pale-FBiH,Četvero djece,29
2013,Broj,Posušje,Četvero djece,888
2013,Broj,Prozor,Četvero djece,607
2013,Broj,Ravno,Četvero djece,71
2013,Broj,Sanski Most,Četvero djece,978
2013,Broj,Sapna,Četvero djece,369
2013,Broj,Srebrenik,Četvero djece,914
2013,Broj,Sarajevo-Stari Grad,Četvero djece,540
2013,Broj,Stolac,Četvero djece,526
2013,Broj,Široki Brijeg,Četvero djece,1198
2013,Broj,Teočak,Četvero djece,214
2013,Broj,Tešanj,Četvero djece,1038
2013,Broj,Tomislavgrad,Četvero djece,1266
2013,Broj,Travnik,Četvero djece,1619
2013,Broj,Trnovo-FBiH,Četvero djece,50
2013,Broj,Tuzla,Četvero djece,1591
2013,Broj,Usora,Četvero djece,217
2013,Broj,Vareš,Četvero djece,200
2013,Broj,Velika Kladuša,Četvero djece,1264
2013,Broj,Visoko,Četvero djece,729
2013,Broj,Vitez,Četvero djece,832
2013,Broj,Sarajevo-Vogošća,Četvero djece,421
2013,Broj,Zavidovići,Četvero djece,915
2013,Broj,Zenica,Četvero djece,2415
2013,Broj,Žepče,Četvero djece,1064
2013,Broj,Živinice,Četvero djece,1303
2013,Broj,Banovići,Pet i više djece,485
2013,Broj,Bihać,Pet i više djece,1523
2013,Broj,Bosanska Krupa,Pet i više djece,961
2013,Broj,Bosanski Petrovac,Pet i više djece,91
2013,Broj,Bosansko Grahovo,Pet i više djece,31
2013,Broj,Breza,Pet i više djece,144
2013,Broj,Bugojno,Pet i više djece,908
2013,Broj,Busovača,Pet i više djece,570
2013,Broj,Bužim,Pet i više djece,945
2013,Broj,Cazin,Pet i više djece,2484
2013,Broj,Sarajevo-Centar,Pet i više djece,335
2013,Broj,Čapljina,Pet i više djece,452
2013,Broj,Čelić,Pet i više djece,336
2013,Broj,Čitluk,Pet i više djece,405
2013,Broj,Doboj-Istok,Pet i više djece,232
2013,Broj,Doboj-Jug,Pet i više djece,88
2013,Broj,Dobretići,Pet i više djece,127
2013,Broj,Domaljevac-Šamac,Pet i više djece,110
2013,Broj,Donji Vakuf,Pet i više djece,392
2013,Broj,Drvar,Pet i više djece,43
2013,Broj,Foča-FBiH,Pet i više djece,61
2013,Broj,Fojnica,Pet i više djece,313
