Year,UNIT_MEASURE,Općina,Spol,Starosna dob,Value
2013,Broj,Sarajevo-Stari Grad,Oba spola,15-19,2301
2013,Broj,Stolac,Oba spola,15-19,1083
2013,Broj,Široki Brijeg,Oba spola,15-19,2331
2013,Broj,Teočak,Oba spola,15-19,605
2013,Broj,Tešanj,Oba spola,15-19,3588
2013,Broj,Tomislavgrad,Oba spola,15-19,2418
2013,Broj,Travnik,Oba spola,15-19,4087
2013,Broj,Trnovo-FBiH,Oba spola,15-19,59
2013,Broj,Tuzla,Oba spola,15-19,6823
2013,Broj,Usora,Oba spola,15-19,557
2013,Broj,Vareš,Oba spola,15-19,575
2013,Broj,Velika Kladuša,Oba spola,15-19,3202
2013,Broj,Visoko,Oba spola,15-19,2828
2013,Broj,Vitez,Oba spola,15-19,2114
2013,Broj,Sarajevo-Vogošća,Oba spola,15-19,1856
2013,Broj,Zavidovići,Oba spola,15-19,2919
2013,Broj,Zenica,Oba spola,15-19,7985
2013,Broj,Žepče,Oba spola,15-19,2586
2013,Broj,Živinice,Oba spola,15-19,4417
2013,Broj,Banovići,Oba spola,20-24,1721
2013,Broj,Bihać,Oba spola,20-24,3937
2013,Broj,Bosanska Krupa,Oba spola,20-24,1750
2013,Broj,Bosanski Petrovac,Oba spola,20-24,336
2013,Broj,Bosansko Grahovo,Oba spola,20-24,81
2013,Broj,Breza,Oba spola,20-24,964
2013,Broj,Bugojno,Oba spola,20-24,2252
2013,Broj,Busovača,Oba spola,20-24,1251
2013,Broj,Bužim,Oba spola,20-24,1572
2013,Broj,Cazin,Oba spola,20-24,5049
2013,Broj,Sarajevo-Centar,Oba spola,20-24,2985
2013,Broj,Čapljina,Oba spola,20-24,1753
2013,Broj,Čelić,Oba spola,20-24,702
2013,Broj,Čitluk,Oba spola,20-24,1365
2013,Broj,Doboj-Istok,Oba spola,20-24,725
2013,Broj,Doboj-Jug,Oba spola,20-24,296
2013,Broj,Dobretići,Oba spola,20-24,97
2013,Broj,Domaljevac-Šamac,Oba spola,20-24,311
2013,Broj,Donji Vakuf,Oba spola,20-24,940
2013,Broj,Drvar,Oba spola,20-24,298
2013,Broj,Foča-FBiH,Oba spola,20-24,125
2013,Broj,Fojnica,Oba spola,20-24,774
2013,Broj,Glamoč,Oba spola,20-24,174
2013,Broj,Goražde,Oba spola,20-24,1259
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,20-24,1551
2013,Broj,Gračanica,Oba spola,20-24,3206
2013,Broj,Gradačac,Oba spola,20-24,2535
2013,Broj,Grude,Oba spola,20-24,1155
2013,Broj,Sarajevo-Hadžići,Oba spola,20-24,1653
2013,Broj,Sarajevo-Ilidža,Oba spola,20-24,4537
2013,Broj,Sarajevo-Ilijaš,Oba spola,20-24,1577
2013,Broj,Jablanica,Oba spola,20-24,743
2013,Broj,Jajce,Oba spola,20-24,1853
2013,Broj,Kakanj,Oba spola,20-24,2740
2013,Broj,Kalesija,Oba spola,20-24,2617
2013,Broj,Kiseljak,Oba spola,20-24,1426
2013,Broj,Kladanj,Oba spola,20-24,934
2013,Broj,Ključ,Oba spola,20-24,1156
2013,Broj,Konjic,Oba spola,20-24,1503
2013,Broj,Kreševo,Oba spola,20-24,363
2013,Broj,Krupa Na Uni,Oba spola,20-24,81
2013,Broj,Kupres-FBiH,Oba spola,20-24,338
2013,Broj,Livno,Oba spola,20-24,2283
2013,Broj,Lukavac,Oba spola,20-24,2970
2013,Broj,Ljubuški,Oba spola,20-24,1976
2013,Broj,Maglaj,Oba spola,20-24,1563
2013,Broj,Mostar,Oba spola,20-24,6871
2013,Broj,Neum,Oba spola,20-24,278
2013,Broj,Sarajevo-Novi Grad,Oba spola,20-24,6821
2013,Broj,Novi Travnik,Oba spola,20-24,1804
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,20-24,3789
2013,Broj,Odžak,Oba spola,20-24,1191
2013,Broj,Olovo,Oba spola,20-24,719
2013,Broj,Orašje,Oba spola,20-24,1339
2013,Broj,Pale-FBiH,Oba spola,20-24,53
2013,Broj,Posušje,Oba spola,20-24,1512
2013,Broj,Prozor,Oba spola,20-24,979
2013,Broj,Ravno,Oba spola,20-24,191
2013,Broj,Sanski Most,Oba spola,20-24,2644
2013,Broj,Sapna,Oba spola,20-24,927
2013,Broj,Srebrenik,Oba spola,20-24,2915
2013,Broj,Sarajevo-Stari Grad,Oba spola,20-24,2178
2013,Broj,Stolac,Oba spola,20-24,943
2013,Broj,Široki Brijeg,Oba spola,20-24,2243
2013,Broj,Teočak,Oba spola,20-24,589
2013,Broj,Tešanj,Oba spola,20-24,3223
2013,Broj,Tomislavgrad,Oba spola,20-24,2189
2013,Broj,Travnik,Oba spola,20-24,3580
2013,Broj,Trnovo-FBiH,Oba spola,20-24,68
2013,Broj,Tuzla,Oba spola,20-24,7029
2013,Broj,Usora,Oba spola,20-24,469
2013,Broj,Vareš,Oba spola,20-24,514
2013,Broj,Velika Kladuša,Oba spola,20-24,3097
2013,Broj,Visoko,Oba spola,20-24,2752
2013,Broj,Vitez,Oba spola,20-24,1873
2013,Broj,Sarajevo-Vogošća,Oba spola,20-24,1876
2013,Broj,Zavidovići,Oba spola,20-24,2503
2013,Broj,Zenica,Oba spola,20-24,7463
2013,Broj,Žepče,Oba spola,20-24,2134
2013,Broj,Živinice,Oba spola,20-24,4750
2013,Broj,Banovići,Oba spola,25-29,1806
2013,Broj,Bihać,Oba spola,25-29,4061
2013,Broj,Bosanska Krupa,Oba spola,25-29,1879
2013,Broj,Bosanski Petrovac,Oba spola,25-29,378
2013,Broj,Bosansko Grahovo,Oba spola,25-29,113
2013,Broj,Breza,Oba spola,25-29,1036
2013,Broj,Bugojno,Oba spola,25-29,2365
2013,Broj,Busovača,Oba spola,25-29,1467
2013,Broj,Bužim,Oba spola,25-29,1611
2013,Broj,Cazin,Oba spola,25-29,5415
2013,Broj,Sarajevo-Centar,Oba spola,25-29,3995
2013,Broj,Čapljina,Oba spola,25-29,1734
2013,Broj,Čelić,Oba spola,25-29,671
2013,Broj,Čitluk,Oba spola,25-29,1261
2013,Broj,Doboj-Istok,Oba spola,25-29,721
2013,Broj,Doboj-Jug,Oba spola,25-29,285
2013,Broj,Dobretići,Oba spola,25-29,144
2013,Broj,Domaljevac-Šamac,Oba spola,25-29,298
2013,Broj,Donji Vakuf,Oba spola,25-29,999
2013,Broj,Drvar,Oba spola,25-29,348
2013,Broj,Foča-FBiH,Oba spola,25-29,110
2013,Broj,Fojnica,Oba spola,25-29,824
2013,Broj,Glamoč,Oba spola,25-29,193
