Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2017,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Oba spola,
2017,Broj,Zapadno-hercegovačka županija,Vjerske škole,Oba spola,
2017,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Gimnazija,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Tehničke škole,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Stručne škole,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Vjerske škole,Oba spola,
2018,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Gimnazija,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Tehničke škole,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Stručne škole,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Vjerske škole,Oba spola,
2019,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Gimnazija,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Tehničke škole,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Stručne škole,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Vjerske škole,Oba spola,
2020,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Sarajevska županija,Gimnazija,Oba spola,
2016,Broj,Sarajevska županija,Tehničke škole,Oba spola,
2016,Broj,Sarajevska županija,Stručne škole,Oba spola,
2016,Broj,Sarajevska županija,Umjetničke škole,Oba spola,
2016,Broj,Sarajevska županija,Vjerske škole,Oba spola,
2016,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Sarajevska županija,Gimnazija,Oba spola,
2017,Broj,Sarajevska županija,Tehničke škole,Oba spola,
2017,Broj,Sarajevska županija,Stručne škole,Oba spola,
2017,Broj,Sarajevska županija,Umjetničke škole,Oba spola,
2017,Broj,Sarajevska županija,Vjerske škole,Oba spola,
2017,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Sarajevska županija,Gimnazija,Oba spola,
2018,Broj,Sarajevska županija,Tehničke škole,Oba spola,
2018,Broj,Sarajevska županija,Stručne škole,Oba spola,
2018,Broj,Sarajevska županija,Umjetničke škole,Oba spola,
2018,Broj,Sarajevska županija,Vjerske škole,Oba spola,
2018,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Sarajevska županija,Gimnazija,Oba spola,
2019,Broj,Sarajevska županija,Tehničke škole,Oba spola,
2019,Broj,Sarajevska županija,Stručne škole,Oba spola,
2019,Broj,Sarajevska županija,Umjetničke škole,Oba spola,
2019,Broj,Sarajevska županija,Vjerske škole,Oba spola,
2019,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2020,Broj,Sarajevska županija,Gimnazija,Oba spola,
2020,Broj,Sarajevska županija,Tehničke škole,Oba spola,
2020,Broj,Sarajevska županija,Stručne škole,Oba spola,
2020,Broj,Sarajevska županija,Umjetničke škole,Oba spola,
2020,Broj,Sarajevska županija,Vjerske škole,Oba spola,
2020,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2016,Broj,Županija 10,Gimnazija,Oba spola,
2016,Broj,Županija 10,Tehničke škole,Oba spola,
2016,Broj,Županija 10,Stručne škole,Oba spola,
2016,Broj,Županija 10,Umjetničke škole,Oba spola,
2016,Broj,Županija 10,Vjerske škole,Oba spola,
2016,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2017,Broj,Županija 10,Gimnazija,Oba spola,
2017,Broj,Županija 10,Tehničke škole,Oba spola,
2017,Broj,Županija 10,Stručne škole,Oba spola,
2017,Broj,Županija 10,Umjetničke škole,Oba spola,
2017,Broj,Županija 10,Vjerske škole,Oba spola,
2017,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2018,Broj,Županija 10,Gimnazija,Oba spola,
2018,Broj,Županija 10,Tehničke škole,Oba spola,
2018,Broj,Županija 10,Stručne škole,Oba spola,
2018,Broj,Županija 10,Umjetničke škole,Oba spola,
2018,Broj,Županija 10,Vjerske škole,Oba spola,
2018,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Oba spola,
2019,Broj,Županija 10,Gimnazija,Oba spola,
