Year,UNIT_MEASURE,Admin_Area,Пол,Value
2008,Број,canton_10,Ж,1699.0
2009,Број,federation_of_bih,Оба пола,403628.0
2009,Број,una-sana_canton,Оба пола,20080.0
2009,Број,posavina_canton,Оба пола,538.0
2009,Број,tuzla_canton,Оба пола,68873.0
2009,Број,zenica-doboj_canton,Оба пола,83298.0
2009,Број,bosnian-podrinje_canton,Оба пола,
2009,Број,central_bosnia_canton,Оба пола,22343.0
2009,Број,herzegovina-neretva_canton,Оба пола,14039.0
2009,Број,west_herzegovina_canton,Оба пола,2897.0
2009,Број,sarajevo_canton,Оба пола,188504.0
2009,Број,canton_10,Оба пола,3056.0
2009,Број,federation_of_bih,M,198035.0
2009,Број,una-sana_canton,M,7518.0
2009,Број,posavina_canton,M,210.0
2009,Број,tuzla_canton,M,32281.0
2009,Број,zenica-doboj_canton,M,41961.0
2009,Број,bosnian-podrinje_canton,M,
2009,Број,central_bosnia_canton,M,9826.0
2009,Број,herzegovina-neretva_canton,M,5819.0
2009,Број,west_herzegovina_canton,M,1511.0
2009,Број,sarajevo_canton,M,97779.0
2009,Број,canton_10,M,1130.0
2009,Број,federation_of_bih,Ж,205593.0
2009,Број,una-sana_canton,Ж,12562.0
2009,Број,posavina_canton,Ж,328.0
2009,Број,tuzla_canton,Ж,36592.0
2009,Број,zenica-doboj_canton,Ж,41337.0
2009,Број,bosnian-podrinje_canton,Ж,
2009,Број,central_bosnia_canton,Ж,12517.0
2009,Број,herzegovina-neretva_canton,Ж,8220.0
2009,Број,west_herzegovina_canton,Ж,1386.0
2009,Број,sarajevo_canton,Ж,90725.0
2009,Број,canton_10,Ж,1926.0
2010,Број,federation_of_bih,Оба пола,368808.0
2010,Број,una-sana_canton,Оба пола,19595.0
2010,Број,posavina_canton,Оба пола,830.0
2010,Број,tuzla_canton,Оба пола,68396.0
2010,Број,zenica-doboj_canton,Оба пола,76610.0
2010,Број,bosnian-podrinje_canton,Оба пола,
2010,Број,central_bosnia_canton,Оба пола,17177.0
2010,Број,herzegovina-neretva_canton,Оба пола,14923.0
2010,Број,west_herzegovina_canton,Оба пола,3684.0
2010,Број,sarajevo_canton,Оба пола,164918.0
2010,Број,canton_10,Оба пола,2675.0
2010,Број,federation_of_bih,M,174999.0
2010,Број,una-sana_canton,M,7579.0
2010,Број,posavina_canton,M,295.0
2010,Број,tuzla_canton,M,29285.0
2010,Број,zenica-doboj_canton,M,35188.0
2010,Број,bosnian-podrinje_canton,M,
2010,Број,central_bosnia_canton,M,7780.0
2010,Број,herzegovina-neretva_canton,M,3427.0
2010,Број,west_herzegovina_canton,M,2148.0
2010,Број,sarajevo_canton,M,88379.0
2010,Број,canton_10,M,918.0
2010,Број,federation_of_bih,Ж,193809.0
2010,Број,una-sana_canton,Ж,12016.0
2010,Број,posavina_canton,Ж,535.0
2010,Број,tuzla_canton,Ж,39111.0
2010,Број,zenica-doboj_canton,Ж,41422.0
2010,Број,bosnian-podrinje_canton,Ж,
2010,Број,central_bosnia_canton,Ж,9397.0
2010,Број,herzegovina-neretva_canton,Ж,11496.0
2010,Број,west_herzegovina_canton,Ж,1536.0
2010,Број,sarajevo_canton,Ж,76539.0
2010,Број,canton_10,Ж,1757.0
2011,Број,federation_of_bih,Оба пола,344976.0
2011,Број,una-sana_canton,Оба пола,21212.0
2011,Број,posavina_canton,Оба пола,228.0
2011,Број,tuzla_canton,Оба пола,79042.0
2011,Број,zenica-doboj_canton,Оба пола,73550.0
2011,Број,bosnian-podrinje_canton,Оба пола,
2011,Број,central_bosnia_canton,Оба пола,11560.0
2011,Број,herzegovina-neretva_canton,Оба пола,15304.0
2011,Број,west_herzegovina_canton,Оба пола,3174.0
2011,Број,sarajevo_canton,Оба пола,137012.0
2011,Број,canton_10,Оба пола,3894.0
2011,Број,federation_of_bih,M,162768.0
2011,Број,una-sana_canton,M,8760.0
2011,Број,posavina_canton,M,93.0
2011,Број,tuzla_canton,M,31106.0
2011,Број,zenica-doboj_canton,M,35157.0
2011,Број,bosnian-podrinje_canton,M,
2011,Број,central_bosnia_canton,M,5787.0
2011,Број,herzegovina-neretva_canton,M,6800.0
2011,Број,west_herzegovina_canton,M,1583.0
2011,Број,sarajevo_canton,M,71509.0
2011,Број,canton_10,M,1973.0
2011,Број,federation_of_bih,Ж,182208.0
2011,Број,una-sana_canton,Ж,12452.0
2011,Број,posavina_canton,Ж,135.0
2011,Број,tuzla_canton,Ж,47936.0
2011,Број,zenica-doboj_canton,Ж,38393.0
2011,Број,bosnian-podrinje_canton,Ж,
2011,Број,central_bosnia_canton,Ж,5773.0
2011,Број,herzegovina-neretva_canton,Ж,8504.0
2011,Број,west_herzegovina_canton,Ж,1591.0
2011,Број,sarajevo_canton,Ж,65503.0
2011,Број,canton_10,Ж,1921.0
2012,Број,federation_of_bih,Оба пола,364552.0
2012,Број,una-sana_canton,Оба пола,18348.0
2012,Број,posavina_canton,Оба пола,350.0
2012,Број,tuzla_canton,Оба пола,87038.0
2012,Број,zenica-doboj_canton,Оба пола,61780.0
2012,Број,bosnian-podrinje_canton,Оба пола,
2012,Број,central_bosnia_canton,Оба пола,20320.0
2012,Број,herzegovina-neretva_canton,Оба пола,13180.0
2012,Број,west_herzegovina_canton,Оба пола,3944.0
2012,Број,sarajevo_canton,Оба пола,155065.0
2012,Број,canton_10,Оба пола,4527.0
2012,Број,federation_of_bih,M,184723.0
2012,Број,una-sana_canton,M,7074.0
2012,Број,posavina_canton,M,170.0
2012,Број,tuzla_canton,M,40077.0
2012,Број,zenica-doboj_canton,M,28689.0
2012,Број,bosnian-podrinje_canton,M,
2012,Број,central_bosnia_canton,M,9341.0
2012,Број,herzegovina-neretva_canton,M,4865.0
2012,Број,west_herzegovina_canton,M,2260.0
2012,Број,sarajevo_canton,M,89973.0
2012,Број,canton_10,M,2274.0
2012,Број,federation_of_bih,Ж,179829.0
2012,Број,una-sana_canton,Ж,11274.0
2012,Број,posavina_canton,Ж,180.0
2012,Број,tuzla_canton,Ж,46961.0
2012,Број,zenica-doboj_canton,Ж,33091.0
2012,Број,bosnian-podrinje_canton,Ж,
2012,Број,central_bosnia_canton,Ж,10979.0
2012,Број,herzegovina-neretva_canton,Ж,8315.0
2012,Број,west_herzegovina_canton,Ж,1684.0
2012,Број,sarajevo_canton,Ж,65092.0
2012,Број,canton_10,Ж,2253.0
2013,Број,federation_of_bih,Оба пола,312990.0
2013,Број,una-sana_canton,Оба пола,20984.0
2013,Број,posavina_canton,Оба пола,423.0
