Year,UNIT-MEASURE,Административна јединица,Пол,Највиша завршена школа,Value
2013,Број,Кантон Сарајево,M,Виша школа и први степен факултета,7875
2013,Број,Кантон Сарајево,M,Висока школа / факултет / академија / универзитет,30178
2013,Број,Кантон 10,M,Укупно,36209
2013,Број,Кантон 10,M,Без образовања,580
2013,Број,Кантон 10,M,Непотпуно основно образовање,2571
2013,Број,Кантон 10,M,Основна школа,6634
2013,Број,Кантон 10,M,Средња школа,20611
2013,Број,Кантон 10,M,Специјализација послије средње школе,198
2013,Број,Кантон 10,M,Виша школа и први степен факултета,1702
2013,Број,Кантон 10,M,Висока школа / факултет / академија / универзитет,3913
2013,Број,Федерација Босне и Херцеговине,Ж,Укупно,957422
2013,Број,Федерација Босне и Херцеговине,Ж,Без образовања,69089
2013,Број,Федерација Босне и Херцеговине,Ж,Непотпуно основно образовање,121486
2013,Број,Федерација Босне и Херцеговине,Ж,Основна школа,235110
2013,Број,Федерација Босне и Херцеговине,Ж,Средња школа,405039
2013,Број,Федерација Босне и Херцеговине,Ж,Специјализација послије средње школе,2249
2013,Број,Федерација Босне и Херцеговине,Ж,Виша школа и први степен факултета,26200
2013,Број,Федерација Босне и Херцеговине,Ж,Висока школа / факултет / академија / универзитет,98249
2013,Број,Унско-сански кантон,Ж,Укупно,114518
2013,Број,Унско-сански кантон,Ж,Без образовања,10671
2013,Број,Унско-сански кантон,Ж,Непотпуно основно образовање,15187
2013,Број,Унско-сански кантон,Ж,Основна школа,35894
2013,Број,Унско-сански кантон,Ж,Средња школа,42150
2013,Број,Унско-сански кантон,Ж,Специјализација послије средње школе,244
2013,Број,Унско-сански кантон,Ж,Виша школа и први степен факултета,3201
2013,Број,Унско-сански кантон,Ж,Висока школа / факултет / академија / универзитет,7171
2013,Број,Посавски кантон,Ж,Укупно,18762
2013,Број,Посавски кантон,Ж,Без образовања,1510
2013,Број,Посавски кантон,Ж,Непотпуно основно образовање,3286
2013,Број,Посавски кантон,Ж,Основна школа,4649
2013,Број,Посавски кантон,Ж,Средња школа,7637
2013,Број,Посавски кантон,Ж,Специјализација послије средње школе,54
2013,Број,Посавски кантон,Ж,Виша школа и први степен факултета,429
2013,Број,Посавски кантон,Ж,Висока школа / факултет / академија / универзитет,1197
2013,Број,Тузлански кантон,Ж,Укупно,193689
2013,Број,Тузлански кантон,Ж,Без образовања,16146
2013,Број,Тузлански кантон,Ж,Непотпуно основно образовање,30621
2013,Број,Тузлански кантон,Ж,Основна школа,51141
2013,Број,Тузлански кантон,Ж,Средња школа,78306
2013,Број,Тузлански кантон,Ж,Специјализација послије средње школе,367
2013,Број,Тузлански кантон,Ж,Виша школа и први степен факултета,3077
2013,Број,Тузлански кантон,Ж,Висока школа / факултет / академија / универзитет,14031
2013,Број,Зеничко-добојски кантон,Ж,Укупно,154153
2013,Број,Зеничко-добојски кантон,Ж,Без образовања,11104
2013,Број,Зеничко-добојски кантон,Ж,Непотпуно основно образовање,23417
2013,Број,Зеничко-добојски кантон,Ж,Основна школа,43263
2013,Број,Зеничко-добојски кантон,Ж,Средња школа,62410
2013,Број,Зеничко-добојски кантон,Ж,Специјализација послије средње школе,440
2013,Број,Зеничко-добојски кантон,Ж,Виша школа и први степен факултета,3141
2013,Број,Зеничко-добојски кантон,Ж,Висока школа / факултет / академија / универзитет,10378
2013,Број,Босанско-подрињски кантон,Ж,Укупно,10567
2013,Број,Босанско-подрињски кантон,Ж,Без образовања,974
2013,Број,Босанско-подрињски кантон,Ж,Непотпуно основно образовање,1300
2013,Број,Босанско-подрињски кантон,Ж,Основна школа,3047
2013,Број,Босанско-подрињски кантон,Ж,Средња школа,4213
2013,Број,Босанско-подрињски кантон,Ж,Специјализација послије средње школе,30
2013,Број,Босанско-подрињски кантон,Ж,Виша школа и први степен факултета,166
2013,Број,Босанско-подрињски кантон,Ж,Висока школа / факултет / академија / универзитет,837
2013,Број,Средњобосански кантон,Ж,Укупно,106469
