Year,UNIT_MEASURE,Пол,Admin Area,Витална статистика,Value
2020,Број,Оба пола,posavina_canton,Живорођени,128.0
2020,Број,Оба пола,tuzla_canton,Живорођени,3425.0
2020,Број,Оба пола,zenica-doboj_canton,Живорођени,3259.0
2020,Број,Оба пола,bosnian-podrinje_canton,Живорођени,173.0
2020,Број,Оба пола,central_bosnia_canton,Живорођени,1854.0
2020,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1532.0
2020,Број,Оба пола,west_herzegovina_canton,Живорођени,756.0
2020,Број,Оба пола,sarajevo_canton,Живорођени,4206.0
2020,Број,Оба пола,canton_10,Живорођени,326.0
2020,Број,M,federation_of_bih,Живорођени,8901.0
2020,Број,M,una-sana_canton,Живорођени,808.0
2020,Број,M,posavina_canton,Живорођени,69.0
2020,Број,M,tuzla_canton,Живорођени,1775.0
2020,Број,M,zenica-doboj_canton,Живорођени,1683.0
2020,Број,M,bosnian-podrinje_canton,Живорођени,88.0
2020,Број,M,central_bosnia_canton,Живорођени,978.0
2020,Број,M,herzegovina-neretva_canton,Живорођени,805.0
2020,Број,M,west_herzegovina_canton,Живорођени,373.0
2020,Број,M,sarajevo_canton,Живорођени,2164.0
2020,Број,M,canton_10,Живорођени,158.0
2020,Број,Ж,federation_of_bih,Живорођени,8310.0
2020,Број,Ж,una-sana_canton,Живорођени,744.0
2020,Број,Ж,posavina_canton,Живорођени,59.0
2020,Број,Ж,tuzla_canton,Живорођени,1650.0
2020,Број,Ж,zenica-doboj_canton,Живорођени,1576.0
2020,Број,Ж,bosnian-podrinje_canton,Живорођени,85.0
2020,Број,Ж,central_bosnia_canton,Живорођени,876.0
2020,Број,Ж,herzegovina-neretva_canton,Живорођени,727.0
2020,Број,Ж,west_herzegovina_canton,Живорођени,383.0
2020,Број,Ж,sarajevo_canton,Живорођени,2042.0
2020,Број,Ж,canton_10,Живорођени,168.0
2011,Број,Оба пола,federation_of_bih,Умрли,
2011,Број,Оба пола,una-sana_canton,Умрли,
2011,Број,Оба пола,posavina_canton,Умрли,
2011,Број,Оба пола,tuzla_canton,Умрли,
2011,Број,Оба пола,zenica-doboj_canton,Умрли,
2011,Број,Оба пола,bosnian-podrinje_canton,Умрли,
2011,Број,Оба пола,central_bosnia_canton,Умрли,
2011,Број,Оба пола,herzegovina-neretva_canton,Умрли,
2011,Број,Оба пола,west_herzegovina_canton,Умрли,
2011,Број,Оба пола,sarajevo_canton,Умрли,
2011,Број,Оба пола,canton_10,Умрли,
2011,Број,M,federation_of_bih,Умрли,
2011,Број,M,una-sana_canton,Умрли,
2011,Број,M,posavina_canton,Умрли,
2011,Број,M,tuzla_canton,Умрли,
2011,Број,M,zenica-doboj_canton,Умрли,
2011,Број,M,bosnian-podrinje_canton,Умрли,
2011,Број,M,central_bosnia_canton,Умрли,
2011,Број,M,herzegovina-neretva_canton,Умрли,
2011,Број,M,west_herzegovina_canton,Умрли,
2011,Број,M,sarajevo_canton,Умрли,
2011,Број,M,canton_10,Умрли,
2011,Број,Ж,federation_of_bih,Умрли,
2011,Број,Ж,una-sana_canton,Умрли,
2011,Број,Ж,posavina_canton,Умрли,
2011,Број,Ж,tuzla_canton,Умрли,
2011,Број,Ж,zenica-doboj_canton,Умрли,
2011,Број,Ж,bosnian-podrinje_canton,Умрли,
2011,Број,Ж,central_bosnia_canton,Умрли,
2011,Број,Ж,herzegovina-neretva_canton,Умрли,
2011,Број,Ж,west_herzegovina_canton,Умрли,
2011,Број,Ж,sarajevo_canton,Умрли,
2011,Број,Ж,canton_10,Умрли,
2012,Број,Оба пола,federation_of_bih,Умрли,
2012,Број,Оба пола,una-sana_canton,Умрли,
2012,Број,Оба пола,posavina_canton,Умрли,
2012,Број,Оба пола,tuzla_canton,Умрли,
2012,Број,Оба пола,zenica-doboj_canton,Умрли,
2012,Број,Оба пола,bosnian-podrinje_canton,Умрли,
2012,Број,Оба пола,central_bosnia_canton,Умрли,
2012,Број,Оба пола,herzegovina-neretva_canton,Умрли,
2012,Број,Оба пола,west_herzegovina_canton,Умрли,
2012,Број,Оба пола,sarajevo_canton,Умрли,
2012,Број,Оба пола,canton_10,Умрли,
2012,Број,M,federation_of_bih,Умрли,
2012,Број,M,una-sana_canton,Умрли,
2012,Број,M,posavina_canton,Умрли,
2012,Број,M,tuzla_canton,Умрли,
2012,Број,M,zenica-doboj_canton,Умрли,
2012,Број,M,bosnian-podrinje_canton,Умрли,
2012,Број,M,central_bosnia_canton,Умрли,
2012,Број,M,herzegovina-neretva_canton,Умрли,
2012,Број,M,west_herzegovina_canton,Умрли,
2012,Број,M,sarajevo_canton,Умрли,
2012,Број,M,canton_10,Умрли,
2012,Број,Ж,federation_of_bih,Умрли,
2012,Број,Ж,una-sana_canton,Умрли,
2012,Број,Ж,posavina_canton,Умрли,
2012,Број,Ж,tuzla_canton,Умрли,
2012,Број,Ж,zenica-doboj_canton,Умрли,
2012,Број,Ж,bosnian-podrinje_canton,Умрли,
2012,Број,Ж,central_bosnia_canton,Умрли,
2012,Број,Ж,herzegovina-neretva_canton,Умрли,
2012,Број,Ж,west_herzegovina_canton,Умрли,
2012,Број,Ж,sarajevo_canton,Умрли,
2012,Број,Ж,canton_10,Умрли,
2013,Број,Оба пола,federation_of_bih,Умрли,
2013,Број,Оба пола,una-sana_canton,Умрли,
2013,Број,Оба пола,posavina_canton,Умрли,
2013,Број,Оба пола,tuzla_canton,Умрли,
2013,Број,Оба пола,zenica-doboj_canton,Умрли,
2013,Број,Оба пола,bosnian-podrinje_canton,Умрли,
2013,Број,Оба пола,central_bosnia_canton,Умрли,
2013,Број,Оба пола,herzegovina-neretva_canton,Умрли,
2013,Број,Оба пола,west_herzegovina_canton,Умрли,
2013,Број,Оба пола,sarajevo_canton,Умрли,
2013,Број,Оба пола,canton_10,Умрли,
2013,Број,M,federation_of_bih,Умрли,
2013,Број,M,una-sana_canton,Умрли,
2013,Број,M,posavina_canton,Умрли,
2013,Број,M,tuzla_canton,Умрли,
2013,Број,M,zenica-doboj_canton,Умрли,
2013,Број,M,bosnian-podrinje_canton,Умрли,
2013,Број,M,central_bosnia_canton,Умрли,
2013,Број,M,herzegovina-neretva_canton,Умрли,
2013,Број,M,west_herzegovina_canton,Умрли,
2013,Број,M,sarajevo_canton,Умрли,
2013,Број,M,canton_10,Умрли,
2013,Број,Ж,federation_of_bih,Умрли,
2013,Број,Ж,una-sana_canton,Умрли,
2013,Број,Ж,posavina_canton,Умрли,
2013,Број,Ж,tuzla_canton,Умрли,
2013,Број,Ж,zenica-doboj_canton,Умрли,
2013,Број,Ж,bosnian-podrinje_canton,Умрли,
2013,Број,Ж,central_bosnia_canton,Умрли,
2013,Број,Ж,herzegovina-neretva_canton,Умрли,
2013,Број,Ж,west_herzegovina_canton,Умрли,
2013,Број,Ж,sarajevo_canton,Умрли,
2013,Број,Ж,canton_10,Умрли,
2014,Број,Оба пола,federation_of_bih,Умрли,
2014,Број,Оба пола,una-sana_canton,Умрли,
2014,Број,Оба пола,posavina_canton,Умрли,
2014,Број,Оба пола,tuzla_canton,Умрли,
2014,Број,Оба пола,zenica-doboj_canton,Умрли,
2014,Број,Оба пола,bosnian-podrinje_canton,Умрли,
2014,Број,Оба пола,central_bosnia_canton,Умрли,
2014,Број,Оба пола,herzegovina-neretva_canton,Умрли,
2014,Број,Оба пола,west_herzegovina_canton,Умрли,
2014,Број,Оба пола,sarajevo_canton,Умрли,
2014,Број,Оба пола,canton_10,Умрли,
2014,Број,M,federation_of_bih,Умрли,
2014,Број,M,una-sana_canton,Умрли,
2014,Број,M,posavina_canton,Умрли,
2014,Број,M,tuzla_canton,Умрли,
2014,Број,M,zenica-doboj_canton,Умрли,
2014,Број,M,bosnian-podrinje_canton,Умрли,
2014,Број,M,central_bosnia_canton,Умрли,
2014,Број,M,herzegovina-neretva_canton,Умрли,
2014,Број,M,west_herzegovina_canton,Умрли,
2014,Број,M,sarajevo_canton,Умрли,
2014,Број,M,canton_10,Умрли,
2014,Број,Ж,federation_of_bih,Умрли,
2014,Број,Ж,una-sana_canton,Умрли,
