Year,UNIT_MEASURE,Municipality,Пол,AGE,Value
2013,Број,hadzici,Оба пола,15-19,1818
2013,Број,ilidza,Оба пола,15-19,4839
2013,Број,ilijas,Оба пола,15-19,1440
2013,Број,jablanica,Оба пола,15-19,681
2013,Број,jajce,Оба пола,15-19,1878
2013,Број,kakanj,Оба пола,15-19,2929
2013,Број,kalesija,Оба пола,15-19,2670
2013,Број,kiseljak,Оба пола,15-19,1539
2013,Број,kladanj,Оба пола,15-19,1020
2013,Број,kljuc,Оба пола,15-19,1256
2013,Број,konjic,Оба пола,15-19,1851
2013,Број,kresevo,Оба пола,15-19,365
2013,Број,krupa_na_uni,Оба пола,15-19,102
2013,Број,kupres-fbih,Оба пола,15-19,367
2013,Број,livno,Оба пола,15-19,2423
2013,Број,lukavac,Оба пола,15-19,3047
2013,Број,ljubuski,Оба пола,15-19,2082
2013,Број,maglaj,Оба пола,15-19,1745
2013,Број,mostar,Оба пола,15-19,7793
2013,Број,neum,Оба пола,15-19,344
2013,Број,novi_grad_sarajevo,Оба пола,15-19,7216
2013,Број,novi_travnik,Оба пола,15-19,2000
2013,Број,novo_sarajevo,Оба пола,15-19,3701
2013,Број,odzak,Оба пола,15-19,1253
2013,Број,olovo,Оба пола,15-19,745
2013,Број,orasje,Оба пола,15-19,1407
2013,Број,pale-fbih,Оба пола,15-19,74
2013,Број,posusje,Оба пола,15-19,1702
2013,Број,prozor,Оба пола,15-19,1134
2013,Број,ravno,Оба пола,15-19,193
2013,Број,sanski_most,Оба пола,15-19,3121
2013,Број,sapna,Оба пола,15-19,1061
2013,Број,srebrenik,Оба пола,15-19,2934
2013,Број,stari_grad_sarajevo,Оба пола,15-19,2301
2013,Број,stolac,Оба пола,15-19,1083
2013,Број,siroki_brijeg,Оба пола,15-19,2331
2013,Број,teocak,Оба пола,15-19,605
2013,Број,tesanj,Оба пола,15-19,3588
2013,Број,tomislavgrad,Оба пола,15-19,2418
2013,Број,travnik,Оба пола,15-19,4087
2013,Број,trnovo-fbih,Оба пола,15-19,59
2013,Број,tuzla,Оба пола,15-19,6823
2013,Број,usora,Оба пола,15-19,557
2013,Број,vares,Оба пола,15-19,575
2013,Број,velika_kladusa,Оба пола,15-19,3202
2013,Број,visoko,Оба пола,15-19,2828
2013,Број,vitez,Оба пола,15-19,2114
2013,Број,vogosca,Оба пола,15-19,1856
2013,Број,zavidovici,Оба пола,15-19,2919
2013,Број,zenica,Оба пола,15-19,7985
2013,Број,zepce,Оба пола,15-19,2586
2013,Број,zivinice,Оба пола,15-19,4417
2013,Број,banovici,Оба пола,20-24,1721
2013,Број,bihac,Оба пола,20-24,3937
2013,Број,bosanska_krupa,Оба пола,20-24,1750
2013,Број,bosanski_petrovac,Оба пола,20-24,336
2013,Број,bosansko_grahovo,Оба пола,20-24,81
2013,Број,breza,Оба пола,20-24,964
2013,Број,bugojno,Оба пола,20-24,2252
2013,Број,busovaca,Оба пола,20-24,1251
2013,Број,buzim,Оба пола,20-24,1572
2013,Број,cazin,Оба пола,20-24,5049
2013,Број,centar_sarajevo,Оба пола,20-24,2985
2013,Број,capljina,Оба пола,20-24,1753
2013,Број,celic,Оба пола,20-24,702
2013,Број,citluk,Оба пола,20-24,1365
2013,Број,doboj-istok,Оба пола,20-24,725
2013,Број,doboj-jug,Оба пола,20-24,296
2013,Број,dobretici,Оба пола,20-24,97
2013,Број,domaljevac-samac,Оба пола,20-24,311
2013,Број,donji_vakuf,Оба пола,20-24,940
2013,Број,drvar,Оба пола,20-24,298
2013,Број,foca-fbih,Оба пола,20-24,125
2013,Број,fojnica,Оба пола,20-24,774
2013,Број,glamoc,Оба пола,20-24,174
2013,Број,gorazde,Оба пола,20-24,1259
2013,Број,gornji_vakuf-uskoplje,Оба пола,20-24,1551
2013,Број,gracanica,Оба пола,20-24,3206
2013,Број,gradacac,Оба пола,20-24,2535
2013,Број,grude,Оба пола,20-24,1155
2013,Број,hadzici,Оба пола,20-24,1653
2013,Број,ilidza,Оба пола,20-24,4537
2013,Број,ilijas,Оба пола,20-24,1577
2013,Број,jablanica,Оба пола,20-24,743
2013,Број,jajce,Оба пола,20-24,1853
2013,Број,kakanj,Оба пола,20-24,2740
2013,Број,kalesija,Оба пола,20-24,2617
2013,Број,kiseljak,Оба пола,20-24,1426
2013,Број,kladanj,Оба пола,20-24,934
2013,Број,kljuc,Оба пола,20-24,1156
2013,Број,konjic,Оба пола,20-24,1503
2013,Број,kresevo,Оба пола,20-24,363
2013,Број,krupa_na_uni,Оба пола,20-24,81
2013,Број,kupres-fbih,Оба пола,20-24,338
2013,Број,livno,Оба пола,20-24,2283
2013,Број,lukavac,Оба пола,20-24,2970
2013,Број,ljubuski,Оба пола,20-24,1976
2013,Број,maglaj,Оба пола,20-24,1563
2013,Број,mostar,Оба пола,20-24,6871
2013,Број,neum,Оба пола,20-24,278
2013,Број,novi_grad_sarajevo,Оба пола,20-24,6821
2013,Број,novi_travnik,Оба пола,20-24,1804
2013,Број,novo_sarajevo,Оба пола,20-24,3789
2013,Број,odzak,Оба пола,20-24,1191
2013,Број,olovo,Оба пола,20-24,719
2013,Број,orasje,Оба пола,20-24,1339
2013,Број,pale-fbih,Оба пола,20-24,53
2013,Број,posusje,Оба пола,20-24,1512
2013,Број,prozor,Оба пола,20-24,979
2013,Број,ravno,Оба пола,20-24,191
2013,Број,sanski_most,Оба пола,20-24,2644
2013,Број,sapna,Оба пола,20-24,927
2013,Број,srebrenik,Оба пола,20-24,2915
2013,Број,stari_grad_sarajevo,Оба пола,20-24,2178
2013,Број,stolac,Оба пола,20-24,943
2013,Број,siroki_brijeg,Оба пола,20-24,2243
