Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2016,Број,Zapadno-hercegovački kanton,Оба пола,4265.0
2017,Број,Zapadno-hercegovački kanton,Оба пола,4029.0
2018,Број,Zapadno-hercegovački kanton,Оба пола,3803.0
2019,Број,Zapadno-hercegovački kanton,Оба пола,3390.0
2010,Број,Zapadno-hercegovački kanton,M,
2011,Број,Zapadno-hercegovački kanton,M,
2012,Број,Zapadno-hercegovački kanton,M,
2013,Број,Zapadno-hercegovački kanton,M,
2014,Број,Zapadno-hercegovački kanton,M,
2015,Број,Zapadno-hercegovački kanton,M,
2016,Број,Zapadno-hercegovački kanton,M,
2017,Број,Zapadno-hercegovački kanton,M,
2018,Број,Zapadno-hercegovački kanton,M,
2019,Број,Zapadno-hercegovački kanton,M,
2010,Број,Zapadno-hercegovački kanton,Ж,
2011,Број,Zapadno-hercegovački kanton,Ж,
2012,Број,Zapadno-hercegovački kanton,Ж,
2013,Број,Zapadno-hercegovački kanton,Ж,
2014,Број,Zapadno-hercegovački kanton,Ж,
2015,Број,Zapadno-hercegovački kanton,Ж,
2016,Број,Zapadno-hercegovački kanton,Ж,
2017,Број,Zapadno-hercegovački kanton,Ж,
2018,Број,Zapadno-hercegovački kanton,Ж,
2019,Број,Zapadno-hercegovački kanton,Ж,
2010,Број,Kanton Sarajevo,Оба пола,17915.0
2011,Број,Kanton Sarajevo,Оба пола,18625.0
2012,Број,Kanton Sarajevo,Оба пола,20301.0
2013,Број,Kanton Sarajevo,Оба пола,21229.0
2014,Број,Kanton Sarajevo,Оба пола,18966.0
2015,Број,Kanton Sarajevo,Оба пола,17904.0
2016,Број,Kanton Sarajevo,Оба пола,16148.0
2017,Број,Kanton Sarajevo,Оба пола,15285.0
2018,Број,Kanton Sarajevo,Оба пола,15926.0
2019,Број,Kanton Sarajevo,Оба пола,15162.0
2010,Број,Kanton Sarajevo,M,
2011,Број,Kanton Sarajevo,M,
2012,Број,Kanton Sarajevo,M,
2013,Број,Kanton Sarajevo,M,
2014,Број,Kanton Sarajevo,M,
2015,Број,Kanton Sarajevo,M,
2016,Број,Kanton Sarajevo,M,
2017,Број,Kanton Sarajevo,M,
2018,Број,Kanton Sarajevo,M,
2019,Број,Kanton Sarajevo,M,
2010,Број,Kanton Sarajevo,Ж,
2011,Број,Kanton Sarajevo,Ж,
2012,Број,Kanton Sarajevo,Ж,
2013,Број,Kanton Sarajevo,Ж,
2014,Број,Kanton Sarajevo,Ж,
2015,Број,Kanton Sarajevo,Ж,
2016,Број,Kanton Sarajevo,Ж,
2017,Број,Kanton Sarajevo,Ж,
2018,Број,Kanton Sarajevo,Ж,
2019,Број,Kanton Sarajevo,Ж,
2010,Број,Kanton 10,Оба пола,2654.0
2011,Број,Kanton 10,Оба пола,2626.0
2012,Број,Kanton 10,Оба пола,2731.0
2013,Број,Kanton 10,Оба пола,2864.0
2014,Број,Kanton 10,Оба пола,2824.0
2015,Број,Kanton 10,Оба пола,2740.0
2016,Број,Kanton 10,Оба пола,2283.0
2017,Број,Kanton 10,Оба пола,2041.0
2018,Број,Kanton 10,Оба пола,1957.0
