Year,UNIT_MEASURE,Municipality,Пол,Disabilities,Value
2013,Број,tesanj,Оба пола,eyesight,1318
2013,Број,tomislavgrad,Оба пола,eyesight,365
2013,Број,travnik,Оба пола,eyesight,1696
2013,Број,trnovo-fbih,Оба пола,eyesight,74
2013,Број,tuzla,Оба пола,eyesight,5508
2013,Број,usora,Оба пола,eyesight,149
2013,Број,vares,Оба пола,eyesight,532
2013,Број,velika_kladusa,Оба пола,eyesight,1787
2013,Број,visoko,Оба пола,eyesight,1089
2013,Број,vitez,Оба пола,eyesight,971
2013,Број,vogosca,Оба пола,eyesight,1049
2013,Број,zavidovici,Оба пола,eyesight,1475
2013,Број,zenica,Оба пола,eyesight,3706
2013,Број,zepce,Оба пола,eyesight,974
2013,Број,zivinice,Оба пола,eyesight,2756
2013,Број,banovici,M,eyesight,275
2013,Број,bihac,M,eyesight,850
2013,Број,bosanska_krupa,M,eyesight,509
2013,Број,bosanski_petrovac,M,eyesight,108
2013,Број,bosansko_grahovo,M,eyesight,62
2013,Број,breza,M,eyesight,212
2013,Број,bugojno,M,eyesight,414
2013,Број,busovaca,M,eyesight,252
2013,Број,buzim,M,eyesight,236
2013,Број,cazin,M,eyesight,891
2013,Број,centar_sarajevo,M,eyesight,671
2013,Број,capljina,M,eyesight,341
2013,Број,celic,M,eyesight,219
2013,Број,citluk,M,eyesight,174
2013,Број,doboj-istok,M,eyesight,182
2013,Број,doboj-jug,M,eyesight,69
2013,Број,dobretici,M,eyesight,28
2013,Број,domaljevac-samac,M,eyesight,101
2013,Број,donji_vakuf,M,eyesight,225
2013,Број,drvar,M,eyesight,186
2013,Број,foca-fbih,M,eyesight,41
2013,Број,fojnica,M,eyesight,239
2013,Број,glamoc,M,eyesight,93
2013,Број,gorazde,M,eyesight,421
2013,Број,gornji_vakuf-uskoplje,M,eyesight,239
2013,Број,gracanica,M,eyesight,582
2013,Број,gradacac,M,eyesight,497
2013,Број,grude,M,eyesight,130
2013,Број,hadzici,M,eyesight,394
2013,Број,ilidza,M,eyesight,812
2013,Број,ilijas,M,eyesight,281
2013,Број,jablanica,M,eyesight,118
2013,Број,jajce,M,eyesight,388
2013,Број,kakanj,M,eyesight,406
2013,Број,kalesija,M,eyesight,613
2013,Број,kiseljak,M,eyesight,272
2013,Број,kladanj,M,eyesight,175
2013,Број,kljuc,M,eyesight,155
2013,Број,konjic,M,eyesight,348
2013,Број,kresevo,M,eyesight,75
2013,Број,kupres-fbih,M,eyesight,59
2013,Број,livno,M,eyesight,279
2013,Број,lukavac,M,eyesight,884
2013,Број,ljubuski,M,eyesight,254
2013,Број,maglaj,M,eyesight,364
2013,Број,mostar,M,eyesight,1129
2013,Број,neum,M,eyesight,50
2013,Број,novi_grad_sarajevo,M,eyesight,1587
2013,Број,novi_travnik,M,eyesight,350
2013,Број,novo_sarajevo,M,eyesight,657
2013,Број,odzak,M,eyesight,194
2013,Број,olovo,M,eyesight,168
2013,Број,orasje,M,eyesight,297
2013,Број,pale-fbih,M,eyesight,23
2013,Број,posusje,M,eyesight,175
2013,Број,prozor,M,eyesight,122
2013,Број,ravno,M,eyesight,17
2013,Број,sanski_most,M,eyesight,373
2013,Број,sapna,M,eyesight,102
2013,Број,srebrenik,M,eyesight,697
2013,Број,stari_grad_sarajevo,M,eyesight,579
2013,Број,stolac,M,eyesight,158
2013,Број,siroki_brijeg,M,eyesight,180
2013,Број,teocak,M,eyesight,95
2013,Број,tesanj,M,eyesight,549
2013,Број,tomislavgrad,M,eyesight,167
2013,Број,travnik,M,eyesight,731
2013,Број,trnovo-fbih,M,eyesight,32
2013,Број,tuzla,M,eyesight,2096
2013,Број,usora,M,eyesight,55
2013,Број,vares,M,eyesight,206
2013,Број,velika_kladusa,M,eyesight,783
2013,Број,visoko,M,eyesight,468
2013,Број,vitez,M,eyesight,431
2013,Број,vogosca,M,eyesight,428
2013,Број,zavidovici,M,eyesight,626
2013,Број,zenica,M,eyesight,1560
2013,Број,zepce,M,eyesight,413
2013,Број,zivinice,M,eyesight,1124
2013,Број,banovici,Ж,eyesight,475
2013,Број,bihac,Ж,eyesight,1223
2013,Број,bosanska_krupa,Ж,eyesight,649
2013,Број,bosanski_petrovac,Ж,eyesight,146
2013,Број,bosansko_grahovo,Ж,eyesight,94
2013,Број,breza,Ж,eyesight,281
2013,Број,bugojno,Ж,eyesight,536
2013,Број,busovaca,Ж,eyesight,286
2013,Број,buzim,Ж,eyesight,229
2013,Број,cazin,Ж,eyesight,1015
2013,Број,centar_sarajevo,Ж,eyesight,1116
2013,Број,capljina,Ж,eyesight,395
2013,Број,celic,Ж,eyesight,334
2013,Број,citluk,Ж,eyesight,232
2013,Број,doboj-istok,Ж,eyesight,190
2013,Број,doboj-jug,Ж,eyesight,76
2013,Број,dobretici,Ж,eyesight,34
2013,Број,domaljevac-samac,Ж,eyesight,122
2013,Број,donji_vakuf,Ж,eyesight,278
2013,Број,drvar,Ж,eyesight,311
2013,Број,foca-fbih,Ж,eyesight,40
2013,Број,fojnica,Ж,eyesight,316
2013,Број,glamoc,Ж,eyesight,148
2013,Број,gorazde,Ж,eyesight,538
2013,Број,gornji_vakuf-uskoplje,Ж,eyesight,328
2013,Број,gracanica,Ж,eyesight,818
2013,Број,gradacac,Ж,eyesight,695
2013,Број,grude,Ж,eyesight,216
2013,Број,hadzici,Ж,eyesight,523
2013,Број,ilidza,Ж,eyesight,1197
2013,Број,ilijas,Ж,eyesight,443
2013,Број,jablanica,Ж,eyesight,153
2013,Број,jajce,Ж,eyesight,524
2013,Број,kakanj,Ж,eyesight,588
2013,Број,kalesija,Ж,eyesight,792
2013,Број,kiseljak,Ж,eyesight,352
2013,Број,kladanj,Ж,eyesight,251
2013,Број,kljuc,Ж,eyesight,233
2013,Број,konjic,Ж,eyesight,490
2013,Број,kresevo,Ж,eyesight,101
2013,Број,kupres-fbih,Ж,eyesight,92
2013,Број,livno,Ж,eyesight,343
2013,Број,lukavac,Ж,eyesight,1363
2013,Број,ljubuski,Ж,eyesight,398
2013,Број,maglaj,Ж,eyesight,572
2013,Број,mostar,Ж,eyesight,1604
2013,Број,neum,Ж,eyesight,63
2013,Број,novi_grad_sarajevo,Ж,eyesight,2491
2013,Број,novi_travnik,Ж,eyesight,454
2013,Број,novo_sarajevo,Ж,eyesight,1146
2013,Број,odzak,Ж,eyesight,272
2013,Број,olovo,Ж,eyesight,271
2013,Број,orasje,Ж,eyesight,400
2013,Број,pale-fbih,Ж,eyesight,33
2013,Број,posusje,Ж,eyesight,181
2013,Број,prozor,Ж,eyesight,136
2013,Број,ravno,Ж,eyesight,25
2013,Број,sanski_most,Ж,eyesight,507
2013,Број,sapna,Ж,eyesight,124
2013,Број,srebrenik,Ж,eyesight,1082
2013,Број,stari_grad_sarajevo,Ж,eyesight,959
2013,Број,stolac,Ж,eyesight,209
2013,Број,siroki_brijeg,Ж,eyesight,278
2013,Број,teocak,Ж,eyesight,116
2013,Број,tesanj,Ж,eyesight,769
2013,Број,tomislavgrad,Ж,eyesight,198
2013,Број,travnik,Ж,eyesight,965
2013,Број,trnovo-fbih,Ж,eyesight,42
2013,Број,tuzla,Ж,eyesight,3412
2013,Број,usora,Ж,eyesight,94
2013,Број,vares,Ж,eyesight,326
2013,Број,velika_kladusa,Ж,eyesight,1004
2013,Број,visoko,Ж,eyesight,621
2013,Број,vitez,Ж,eyesight,540
2013,Број,vogosca,Ж,eyesight,621
2013,Број,zavidovici,Ж,eyesight,849
2013,Број,zenica,Ж,eyesight,2146
2013,Број,zepce,Ж,eyesight,561
2013,Број,zivinice,Ж,eyesight,1632
2013,Број,banovici,Оба пола,hearing,357
2013,Број,bihac,Оба пола,hearing,1189
2013,Број,bosanska_krupa,Оба пола,hearing,651
2013,Број,bosanski_petrovac,Оба пола,hearing,188
2013,Број,bosansko_grahovo,Оба пола,hearing,84
2013,Број,breza,Оба пола,hearing,256
2013,Број,bugojno,Оба пола,hearing,551
2013,Број,busovaca,Оба пола,hearing,311
2013,Број,buzim,Оба пола,hearing,341
2013,Број,cazin,Оба пола,hearing,1107
2013,Број,centar_sarajevo,Оба пола,hearing,1049
2013,Број,capljina,Оба пола,hearing,442
2013,Број,celic,Оба пола,hearing,274
2013,Број,citluk,Оба пола,hearing,304
2013,Број,doboj-istok,Оба пола,hearing,233
2013,Број,doboj-jug,Оба пола,hearing,74
2013,Број,dobretici,Оба пола,hearing,48
2013,Број,domaljevac-samac,Оба пола,hearing,104
2013,Број,donji_vakuf,Оба пола,hearing,267
2013,Број,drvar,Оба пола,hearing,261
2013,Број,foca-fbih,Оба пола,hearing,50
2013,Број,fojnica,Оба пола,hearing,270
