Year,UNIT_MEASURE,Oпштина,Пол,Education,Value
2013,Број,Крешево,Оба пола,Непотпуно основно образовање,477
2013,Број,Купрес-ФБиХ,Оба пола,Непотпуно основно образовање,421
2013,Број,Ливно,Оба пола,Непотпуно основно образовање,3312
2013,Број,Лукавац,Оба пола,Непотпуно основно образовање,4069
2013,Број,Љубушки,Оба пола,Непотпуно основно образовање,2547
2013,Број,Маглај,Оба пола,Непотпуно основно образовање,2087
2013,Број,Мостар,Оба пола,Непотпуно основно образовање,4310
2013,Број,Неум,Оба пола,Непотпуно основно образовање,282
2013,Број,novi_grad_sarajevo,Оба пола,Непотпуно основно образовање,4062
2013,Број,Нови Травник,Оба пола,Непотпуно основно образовање,1863
2013,Број,novo_sarajevo,Оба пола,Непотпуно основно образовање,1351
2013,Број,Оџак,Оба пола,Непотпуно основно образовање,1925
2013,Број,Олово,Оба пола,Непотпуно основно образовање,1122
2013,Број,Орашје,Оба пола,Непотпуно основно образовање,2799
2013,Број,Пале-ФБиХ,Оба пола,Непотпуно основно образовање,92
2013,Број,Посушје,Оба пола,Непотпуно основно образовање,864
2013,Број,Прозор,Оба пола,Непотпуно основно образовање,1507
2013,Број,Равно,Оба пола,Непотпуно основно образовање,206
2013,Број,Сански Мост,Оба пола,Непотпуно основно образовање,2511
2013,Број,Сапна,Оба пола,Непотпуно основно образовање,1367
2013,Број,Сребреник,Оба пола,Непотпуно основно образовање,4665
2013,Број,stari_grad_sarajevo,Оба пола,Непотпуно основно образовање,1020
2013,Број,Столац,Оба пола,Непотпуно основно образовање,902
2013,Број,Широки Бријег,Оба пола,Непотпуно основно образовање,1777
2013,Број,Теочак,Оба пола,Непотпуно основно образовање,762
2013,Број,Тешањ,Оба пола,Непотпуно основно образовање,3225
2013,Број,Томиславград,Оба пола,Непотпуно основно образовање,2290
2013,Број,Травник,Оба пола,Непотпуно основно образовање,5388
2013,Број,Трново-ФБиХ,Оба пола,Непотпуно основно образовање,217
2013,Број,Тузла,Оба пола,Непотпуно основно образовање,6228
2013,Број,Усора,Оба пола,Непотпуно основно образовање,478
2013,Број,Вареш,Оба пола,Непотпуно основно образовање,1345
2013,Број,Велика Кладуша,Оба пола,Непотпуно основно образовање,5157
2013,Број,Високо,Оба пола,Непотпуно основно образовање,3457
2013,Број,Витез,Оба пола,Непотпуно основно образовање,1941
2013,Број,vogosca,Оба пола,Непотпуно основно образовање,1115
2013,Број,Завидовићи,Оба пола,Непотпуно основно образовање,3318
2013,Број,Зеница,Оба пола,Непотпуно основно образовање,8547
2013,Број,Жепче,Оба пола,Непотпуно основно образовање,2487
2013,Број,Живинице,Оба пола,Непотпуно основно образовање,5685
2013,Број,Бановићи,M,Непотпуно основно образовање,295
2013,Број,Бихаћ,M,Непотпуно основно образовање,1050
2013,Број,Босанска Крупа,M,Непотпуно основно образовање,998
2013,Број,Босански Петровац,M,Непотпуно основно образовање,284
2013,Број,Босанско Грахово,M,Непотпуно основно образовање,109
2013,Број,Бреза,M,Непотпуно основно образовање,303
2013,Број,Бугојно,M,Непотпуно основно образовање,621
2013,Број,Бусовача,M,Непотпуно основно образовање,359
2013,Број,Бужим,M,Непотпуно основно образовање,703
2013,Број,Цазин,M,Непотпуно основно образовање,2086
2013,Број,centar_sarajevo,M,Непотпуно основно образовање,181
2013,Број,Чапљина,M,Непотпуно основно образовање,425
2013,Број,Челић,M,Непотпуно основно образовање,544
2013,Број,Читлук,M,Непотпуно основно образовање,325
2013,Број,Добој-Исток,M,Непотпуно основно образовање,279
2013,Број,Добој-Југ,M,Непотпуно основно образовање,61
2013,Број,Добретићи,M,Непотпуно основно образовање,81
2013,Број,Домаљевац-Шамац,M,Непотпуно основно образовање,297
2013,Број,donji_vakuf,M,Непотпуно основно образовање,370
2013,Број,Дрвар,M,Непотпуно основно образовање,105
2013,Број,Фоча-ФБиХ,M,Непотпуно основно образовање,71
2013,Број,Фојница,M,Непотпуно основно образовање,466
2013,Број,Гламоч,M,Непотпуно основно образовање,146
2013,Број,Горажде,M,Непотпуно основно образовање,309
2013,Број,Горњи Вакуф-Ускопље,M,Непотпуно основно образовање,449
2013,Број,Грачаница,M,Непотпуно основно образовање,1278
2013,Број,Градачац,M,Непотпуно основно образовање,1387
2013,Број,Груде,M,Непотпуно основно образовање,352
2013,Број,hadzici,M,Непотпуно основно образовање,272
2013,Број,ilidza,M,Непотпуно основно образовање,419
2013,Број,ilijas,M,Непотпуно основно образовање,336
2013,Број,Јабланица,M,Непотпуно основно образовање,254
2013,Број,Јајце,M,Непотпуно основно образовање,1039
2013,Број,Какањ,M,Непотпуно основно образовање,821
2013,Број,Калесија,M,Непотпуно основно образовање,878
2013,Број,Кисељак,M,Непотпуно основно образовање,493
2013,Број,Кладањ,M,Непотпуно основно образовање,287
2013,Број,Кључ,M,Непотпуно основно образовање,536
2013,Број,Коњиц,M,Непотпуно основно образовање,778
2013,Број,Крешево,M,Непотпуно основно образовање,138
2013,Број,Купрес-ФБиХ,M,Непотпуно основно образовање,170
2013,Број,Ливно,M,Непотпуно основно образовање,1238
2013,Број,Лукавац,M,Непотпуно основно образовање,778
2013,Број,Љубушки,M,Непотпуно основно образовање,889
2013,Број,Маглај,M,Непотпуно основно образовање,553
2013,Број,Мостар,M,Непотпуно основно образовање,929
2013,Број,Неум,M,Непотпуно основно образовање,87
2013,Број,novi_grad_sarajevo,M,Непотпуно основно образовање,739
2013,Број,Нови Травник,M,Непотпуно основно образовање,359
2013,Број,novo_sarajevo,M,Непотпуно основно образовање,210
2013,Број,Оџак,M,Непотпуно основно образовање,718
2013,Број,Олово,M,Непотпуно основно образовање,243
2013,Број,Орашје,M,Непотпуно основно образовање,1110
2013,Број,Пале-ФБиХ,M,Непотпуно основно образовање,25
2013,Број,Посушје,M,Непотпуно основно образовање,293
2013,Број,Прозор,M,Непотпуно основно образовање,528
2013,Број,Равно,M,Непотпуно основно образовање,53
2013,Број,Сански Мост,M,Непотпуно основно образовање,849
2013,Број,Сапна,M,Непотпуно основно образовање,325
2013,Број,Сребреник,M,Непотпуно основно образовање,1428
2013,Број,stari_grad_sarajevo,M,Непотпуно основно образовање,155
2013,Број,Столац,M,Непотпуно основно образовање,278
2013,Број,Широки Бријег,M,Непотпуно основно образовање,538
2013,Број,Теочак,M,Непотпуно основно образовање,197
2013,Број,Тешањ,M,Непотпуно основно образовање,947
2013,Број,Томиславград,M,Непотпуно основно образовање,803
2013,Број,Травник,M,Непотпуно основно образовање,1567
2013,Број,Трново-ФБиХ,M,Непотпуно основно образовање,67
2013,Број,Тузла,M,Непотпуно основно образовање,1450
2013,Број,Усора,M,Непотпуно основно образовање,178
2013,Број,Вареш,M,Непотпуно основно образовање,264
2013,Број,Велика Кладуша,M,Непотпуно основно образовање,2005
2013,Број,Високо,M,Непотпуно основно образовање,921
2013,Број,Витез,M,Непотпуно основно образовање,481
2013,Број,vogosca,M,Непотпуно основно образовање,189
2013,Број,Завидовићи,M,Непотпуно основно образовање,1010
2013,Број,Зеница,M,Непотпуно основно образовање,1864
2013,Број,Жепче,M,Непотпуно основно образовање,743
2013,Број,Живинице,M,Непотпуно основно образовање,1104
2013,Број,Бановићи,Ж,Непотпуно основно образовање,1550
2013,Број,Бихаћ,Ж,Непотпуно основно образовање,2428
2013,Број,Босанска Крупа,Ж,Непотпуно основно образовање,1677
2013,Број,Босански Петровац,Ж,Непотпуно основно образовање,498
2013,Број,Босанско Грахово,Ж,Непотпуно основно образовање,228
2013,Број,Бреза,Ж,Непотпуно основно образовање,986
2013,Број,Бугојно,Ж,Непотпуно основно образовање,1644
2013,Број,Бусовача,Ж,Непотпуно основно образовање,1133
2013,Број,Бужим,Ж,Непотпуно основно образовање,1172
2013,Број,Цазин,Ж,Непотпуно основно образовање,3618
2013,Број,centar_sarajevo,Ж,Непотпуно основно образовање,948
2013,Број,Чапљина,Ж,Непотпуно основно образовање,1246
2013,Број,Челић,Ж,Непотпуно основно образовање,792
2013,Број,Читлук,Ж,Непотпуно основно образовање,749
2013,Број,Добој-Исток,Ж,Непотпуно основно образовање,695
2013,Број,Добој-Југ,Ж,Непотпуно основно образовање,205
2013,Број,Добретићи,Ж,Непотпуно основно образовање,69
2013,Број,Домаљевац-Шамац,Ж,Непотпуно основно образовање,390
2013,Број,donji_vakuf,Ж,Непотпуно основно образовање,938
2013,Број,Дрвар,Ж,Непотпуно основно образовање,429
2013,Број,Фоча-ФБиХ,Ж,Непотпуно основно образовање,154
2013,Број,Фојница,Ж,Непотпуно основно образовање,903
2013,Број,Гламоч,Ж,Непотпуно основно образовање,297
2013,Број,Горажде,Ж,Непотпуно основно образовање,1079
2013,Број,Горњи Вакуф-Ускопље,Ж,Непотпуно основно образовање,1179
2013,Број,Грачаница,Ж,Непотпуно основно образовање,3383
2013,Број,Градачац,Ж,Непотпуно основно образовање,3190
