Year,UNIT_MEASURE,Administrative area,Sex,Disabilities,Value
2013,Number,novo_sarajevo,M,eyesight,657
2013,Number,Odzak,M,eyesight,194
2013,Number,Olovo,M,eyesight,168
2013,Number,Orasje,M,eyesight,297
2013,Number,pale-fbih,M,eyesight,23
2013,Number,Posusje,M,eyesight,175
2013,Number,Prozor,M,eyesight,122
2013,Number,Ravno,M,eyesight,17
2013,Number,Sanski Most,M,eyesight,373
2013,Number,Sapna,M,eyesight,102
2013,Number,Srebrenik,M,eyesight,697
2013,Number,stari_grad_sarajevo,M,eyesight,579
2013,Number,Stolac,M,eyesight,158
2013,Number,Siroki Brijeg,M,eyesight,180
2013,Number,Teocak,M,eyesight,95
2013,Number,Tesanj,M,eyesight,549
2013,Number,Tomislavgrad,M,eyesight,167
2013,Number,Travnik,M,eyesight,731
2013,Number,trnovo-fbih,M,eyesight,32
2013,Number,Tuzla,M,eyesight,2096
2013,Number,Usora,M,eyesight,55
2013,Number,Vares,M,eyesight,206
2013,Number,Velika Kladusa,M,eyesight,783
2013,Number,Visoko,M,eyesight,468
2013,Number,Vitez,M,eyesight,431
2013,Number,vogosca,M,eyesight,428
2013,Number,Zavidovici,M,eyesight,626
2013,Number,Zenica,M,eyesight,1560
2013,Number,Zepce,M,eyesight,413
2013,Number,Zivinice,M,eyesight,1124
2013,Number,Banovici,F,eyesight,475
2013,Number,Bihac,F,eyesight,1223
2013,Number,Bosanska Krupa,F,eyesight,649
2013,Number,Bosanski Petrovac,F,eyesight,146
2013,Number,Bosansko Grahovo,F,eyesight,94
2013,Number,Breza,F,eyesight,281
2013,Number,Bugojno,F,eyesight,536
2013,Number,Busovaca,F,eyesight,286
2013,Number,Buzim,F,eyesight,229
2013,Number,Cazin,F,eyesight,1015
2013,Number,centar_sarajevo,F,eyesight,1116
2013,Number,Capljina,F,eyesight,395
2013,Number,Celic,F,eyesight,334
2013,Number,Citluk,F,eyesight,232
2013,Number,doboj-istok,F,eyesight,190
2013,Number,doboj-jug,F,eyesight,76
2013,Number,Dobretici,F,eyesight,34
2013,Number,domaljevac-samac,F,eyesight,122
2013,Number,Donji Vakuf,F,eyesight,278
2013,Number,Drvar,F,eyesight,311
2013,Number,foca-fbih,F,eyesight,40
2013,Number,Fojnica,F,eyesight,316
2013,Number,Glamoc,F,eyesight,148
2013,Number,Gorazde,F,eyesight,538
2013,Number,gornji_vakuf-uskoplje,F,eyesight,328
2013,Number,Gracanica,F,eyesight,818
2013,Number,Gradacac,F,eyesight,695
2013,Number,Grude,F,eyesight,216
2013,Number,hadzici,F,eyesight,523
2013,Number,ilidza,F,eyesight,1197
2013,Number,ilijas,F,eyesight,443
2013,Number,Jablanica,F,eyesight,153
2013,Number,Jajce,F,eyesight,524
2013,Number,Kakanj,F,eyesight,588
2013,Number,Kalesija,F,eyesight,792
2013,Number,Kiseljak,F,eyesight,352
2013,Number,Kladanj,F,eyesight,251
2013,Number,Ključ,F,eyesight,233
2013,Number,Konjic,F,eyesight,490
2013,Number,Kresevo,F,eyesight,101
2013,Number,kupres-fbih,F,eyesight,92
2013,Number,Livno,F,eyesight,343
2013,Number,Lukavac,F,eyesight,1363
2013,Number,Ljubuski,F,eyesight,398
2013,Number,Maglaj,F,eyesight,572
2013,Number,Mostar,F,eyesight,1604
2013,Number,Neum,F,eyesight,63
2013,Number,novi_grad_sarajevo,F,eyesight,2491
2013,Number,Novi Travnik,F,eyesight,454
2013,Number,novo_sarajevo,F,eyesight,1146
2013,Number,Odzak,F,eyesight,272
2013,Number,Olovo,F,eyesight,271
2013,Number,Orasje,F,eyesight,400
2013,Number,pale-fbih,F,eyesight,33
2013,Number,Posusje,F,eyesight,181
2013,Number,Prozor,F,eyesight,136
2013,Number,Ravno,F,eyesight,25
2013,Number,Sanski Most,F,eyesight,507
2013,Number,Sapna,F,eyesight,124
2013,Number,Srebrenik,F,eyesight,1082
2013,Number,stari_grad_sarajevo,F,eyesight,959
2013,Number,Stolac,F,eyesight,209
2013,Number,Siroki Brijeg,F,eyesight,278
2013,Number,Teocak,F,eyesight,116
2013,Number,Tesanj,F,eyesight,769
2013,Number,Tomislavgrad,F,eyesight,198
2013,Number,Travnik,F,eyesight,965
2013,Number,trnovo-fbih,F,eyesight,42
2013,Number,Tuzla,F,eyesight,3412
2013,Number,Usora,F,eyesight,94
2013,Number,Vares,F,eyesight,326
2013,Number,Velika Kladusa,F,eyesight,1004
2013,Number,Visoko,F,eyesight,621
2013,Number,Vitez,F,eyesight,540
2013,Number,vogosca,F,eyesight,621
2013,Number,Zavidovici,F,eyesight,849
2013,Number,Zenica,F,eyesight,2146
2013,Number,Zepce,F,eyesight,561
2013,Number,Zivinice,F,eyesight,1632
2013,Number,Banovici,Both sexes,hearing,357
2013,Number,Bihac,Both sexes,hearing,1189
2013,Number,Bosanska Krupa,Both sexes,hearing,651
2013,Number,Bosanski Petrovac,Both sexes,hearing,188
2013,Number,Bosansko Grahovo,Both sexes,hearing,84
2013,Number,Breza,Both sexes,hearing,256
2013,Number,Bugojno,Both sexes,hearing,551
2013,Number,Busovaca,Both sexes,hearing,311
2013,Number,Buzim,Both sexes,hearing,341
2013,Number,Cazin,Both sexes,hearing,1107
2013,Number,centar_sarajevo,Both sexes,hearing,1049
2013,Number,Capljina,Both sexes,hearing,442
2013,Number,Celic,Both sexes,hearing,274
2013,Number,Citluk,Both sexes,hearing,304
2013,Number,doboj-istok,Both sexes,hearing,233
2013,Number,doboj-jug,Both sexes,hearing,74
2013,Number,Dobretici,Both sexes,hearing,48
2013,Number,domaljevac-samac,Both sexes,hearing,104
2013,Number,Donji Vakuf,Both sexes,hearing,267
2013,Number,Drvar,Both sexes,hearing,261
2013,Number,foca-fbih,Both sexes,hearing,50
2013,Number,Fojnica,Both sexes,hearing,270
2013,Number,Glamoc,Both sexes,hearing,160
2013,Number,Gorazde,Both sexes,hearing,585
2013,Number,gornji_vakuf-uskoplje,Both sexes,hearing,361
2013,Number,Gracanica,Both sexes,hearing,728
2013,Number,Gradacac,Both sexes,hearing,674
2013,Number,Grude,Both sexes,hearing,265
2013,Number,hadzici,Both sexes,hearing,528
2013,Number,ilidza,Both sexes,hearing,1185
2013,Number,ilijas,Both sexes,hearing,382
2013,Number,Jablanica,Both sexes,hearing,192
2013,Number,Jajce,Both sexes,hearing,494
2013,Number,Kakanj,Both sexes,hearing,590
2013,Number,Kalesija,Both sexes,hearing,626
2013,Number,Kiseljak,Both sexes,hearing,351
2013,Number,Kladanj,Both sexes,hearing,246
2013,Number,Ključ,Both sexes,hearing,226
2013,Number,Konjic,Both sexes,hearing,491
2013,Number,Kresevo,Both sexes,hearing,122
2013,Number,kupres-fbih,Both sexes,hearing,110
2013,Number,Livno,Both sexes,hearing,448
2013,Number,Lukavac,Both sexes,hearing,1252
2013,Number,Ljubuski,Both sexes,hearing,414
2013,Number,Maglaj,Both sexes,hearing,500
2013,Number,Mostar,Both sexes,hearing,1743
2013,Number,Neum,Both sexes,hearing,76
2013,Number,novi_grad_sarajevo,Both sexes,hearing,2297
2013,Number,Novi Travnik,Both sexes,hearing,473
2013,Number,novo_sarajevo,Both sexes,hearing,1142
2013,Number,Odzak,Both sexes,hearing,271
2013,Number,Olovo,Both sexes,hearing,295
2013,Number,Orasje,Both sexes,hearing,387
2013,Number,pale-fbih,Both sexes,hearing,47
2013,Number,Posusje,Both sexes,hearing,292
2013,Number,Prozor,Both sexes,hearing,180
2013,Number,Ravno,Both sexes,hearing,43
2013,Number,Sanski Most,Both sexes,hearing,556
2013,Number,Sapna,Both sexes,hearing,148
2013,Number,Srebrenik,Both sexes,hearing,974
2013,Number,stari_grad_sarajevo,Both sexes,hearing,857
2013,Number,Stolac,Both sexes,hearing,241
2013,Number,Siroki Brijeg,Both sexes,hearing,338
2013,Number,Teocak,Both sexes,hearing,116
2013,Number,Tesanj,Both sexes,hearing,611
2013,Number,Tomislavgrad,Both sexes,hearing,270
2013,Number,Travnik,Both sexes,hearing,878
2013,Number,trnovo-fbih,Both sexes,hearing,46
2013,Number,Tuzla,Both sexes,hearing,2945
2013,Number,Usora,Both sexes,hearing,111
2013,Number,Vares,Both sexes,hearing,274
2013,Number,Velika Kladusa,Both sexes,hearing,881
2013,Number,Visoko,Both sexes,hearing,606
2013,Number,Vitez,Both sexes,hearing,493
2013,Number,vogosca,Both sexes,hearing,581
2013,Number,Zavidovici,Both sexes,hearing,814
2013,Number,Zenica,Both sexes,hearing,2012
2013,Number,Zepce,Both sexes,hearing,507
2013,Number,Zivinice,Both sexes,hearing,1375
2013,Number,Banovici,M,hearing,151
2013,Number,Bihac,M,hearing,586
2013,Number,Bosanska Krupa,M,hearing,369
2013,Number,Bosanski Petrovac,M,hearing,92
2013,Number,Bosansko Grahovo,M,hearing,48
2013,Number,Breza,M,hearing,133
2013,Number,Bugojno,M,hearing,254
2013,Number,Busovaca,M,hearing,169
2013,Number,Buzim,M,hearing,180
2013,Number,Cazin,M,hearing,570
2013,Number,centar_sarajevo,M,hearing,475
2013,Number,Capljina,M,hearing,231
2013,Number,Celic,M,hearing,130
2013,Number,Citluk,M,hearing,155
2013,Number,doboj-istok,M,hearing,135
2013,Number,doboj-jug,M,hearing,40
2013,Number,Dobretici,M,hearing,29
2013,Number,domaljevac-samac,M,hearing,54
2013,Number,Donji Vakuf,M,hearing,138
2013,Number,Drvar,M,hearing,117
2013,Number,foca-fbih,M,hearing,20
2013,Number,Fojnica,M,hearing,129
2013,Number,Glamoc,M,hearing,75
2013,Number,Gorazde,M,hearing,279
2013,Number,gornji_vakuf-uskoplje,M,hearing,180
2013,Number,Gracanica,M,hearing,342
2013,Number,Gradacac,M,hearing,295
2013,Number,Grude,M,hearing,112
2013,Number,hadzici,M,hearing,249
2013,Number,ilidza,M,hearing,569
2013,Number,ilijas,M,hearing,178
2013,Number,Jablanica,M,hearing,74
2013,Number,Jajce,M,hearing,245
2013,Number,Kakanj,M,hearing,281
2013,Number,Kalesija,M,hearing,327
2013,Number,Kiseljak,M,hearing,175
2013,Number,Kladanj,M,hearing,125
