Year,UNIT-MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Kanton Sarajevo,M,Ukupno,162698
2013,Broj,Kanton Sarajevo,M,Bez obrazovanja,1417
2013,Broj,Kanton Sarajevo,M,Nepotpuno osnovno obrazovanje,2568
2013,Broj,Kanton Sarajevo,M,Osnovna škola,19427
2013,Broj,Kanton Sarajevo,M,Srednja škola,99295
2013,Broj,Kanton Sarajevo,M,Specijalizacija poslije srednje škole,1938
2013,Broj,Kanton Sarajevo,M,Viša škola i prvi stepen fakulteta,7875
2013,Broj,Kanton Sarajevo,M,Visoka škola / fakultet / akademija / univerzitet,30178
2013,Broj,Kanton 10,M,Ukupno,36209
2013,Broj,Kanton 10,M,Bez obrazovanja,580
2013,Broj,Kanton 10,M,Nepotpuno osnovno obrazovanje,2571
2013,Broj,Kanton 10,M,Osnovna škola,6634
2013,Broj,Kanton 10,M,Srednja škola,20611
2013,Broj,Kanton 10,M,Specijalizacija poslije srednje škole,198
2013,Broj,Kanton 10,M,Viša škola i prvi stepen fakulteta,1702
2013,Broj,Kanton 10,M,Visoka škola / fakultet / akademija / univerzitet,3913
2013,Broj,Federacija Bosne i Hercegovine,Ž,Ukupno,957422
2013,Broj,Federacija Bosne i Hercegovine,Ž,Bez obrazovanja,69089
2013,Broj,Federacija Bosne i Hercegovine,Ž,Nepotpuno osnovno obrazovanje,121486
2013,Broj,Federacija Bosne i Hercegovine,Ž,Osnovna škola,235110
2013,Broj,Federacija Bosne i Hercegovine,Ž,Srednja škola,405039
2013,Broj,Federacija Bosne i Hercegovine,Ž,Specijalizacija poslije srednje škole,2249
2013,Broj,Federacija Bosne i Hercegovine,Ž,Viša škola i prvi stepen fakulteta,26200
2013,Broj,Federacija Bosne i Hercegovine,Ž,Visoka škola / fakultet / akademija / univerzitet,98249
2013,Broj,Unsko-sanski kanton,Ž,Ukupno,114518
2013,Broj,Unsko-sanski kanton,Ž,Bez obrazovanja,10671
2013,Broj,Unsko-sanski kanton,Ž,Nepotpuno osnovno obrazovanje,15187
2013,Broj,Unsko-sanski kanton,Ž,Osnovna škola,35894
2013,Broj,Unsko-sanski kanton,Ž,Srednja škola,42150
2013,Broj,Unsko-sanski kanton,Ž,Specijalizacija poslije srednje škole,244
2013,Broj,Unsko-sanski kanton,Ž,Viša škola i prvi stepen fakulteta,3201
2013,Broj,Unsko-sanski kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,7171
2013,Broj,Posavski kanton,Ž,Ukupno,18762
2013,Broj,Posavski kanton,Ž,Bez obrazovanja,1510
2013,Broj,Posavski kanton,Ž,Nepotpuno osnovno obrazovanje,3286
2013,Broj,Posavski kanton,Ž,Osnovna škola,4649
2013,Broj,Posavski kanton,Ž,Srednja škola,7637
2013,Broj,Posavski kanton,Ž,Specijalizacija poslije srednje škole,54
2013,Broj,Posavski kanton,Ž,Viša škola i prvi stepen fakulteta,429
